,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Kokain,Bonez MC,269364,at,1H3oIeKUEHpBhXUiso0IMH,2018-09-21,2018-09-28,0.608,0.677,-7.906
1,2,In My Mind,Dynoro,205016,at,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
2,3,UFF,Veysel,186409,at,6XjEOPgbgHKcaHcunEHSJJ,2018-09-21,2018-09-28,0.311,0.828,-3.559
3,4,BONNIE & CLYDE,Loredana,178762,at,5UtiebKGhsSce9gX1qCqic,2018-09-21,2018-09-28,0.637,0.62,-4.832
4,5,500 PS,Bonez MC,172779,at,641R77CBy4bOLGRcA9sgHy,2018-09-21,2018-09-28,0.836,0.923,-5.885
5,6,INTERNATIONAL GANGSTAS,Farid Bang,161350,at,4IAVIBh9jbYN30DwpHFMD4,2018-09-21,2018-09-28,0.393,0.622,-6.297
6,7,Dior 2001,RIN,150970,at,2eNSyVH3sNPiAj9WpRYK73,2018-09-21,2018-09-28,0.473,0.699,-5.892
7,8,Happier,Marshmello,150524,at,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
8,9,I Love It (& Lil Pump),Kanye West,145505,at,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
9,10,Risiko,Bonez MC,141349,at,0mjbIwkdLPK5g2nGzhacjU,2018-09-21,2018-09-28,0.226,0.74,-7.21
10,11,Falling Down - Bonus Track,Lil Peep,138879,at,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
11,12,Facetime,Dardan,136599,at,0oZyouBDStcJEUbTmSfys2,2018-09-21,2018-09-28,0.446,0.682,-6.873
12,13,Melodien (feat. Juju),Capital Bra,128315,at,5d35jcJj7WjDQBOHCHPY6t,2018-09-21,2018-09-28,0.33,0.529,-7.407
13,14,Shotgun,George Ezra,124806,at,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
14,15,Promises (with Sam Smith),Calvin Harris,112710,at,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
15,16,Body (feat. Brando),Loud Luxury,105547,at,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
16,17,Eastside (with Halsey & Khalid),benny blanco,101445,at,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
17,18,Rise,Jonas Blue,101044,at,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
18,19,High Hopes,Panic! At The Disco,93646,at,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
19,20,Casanova,Summer Cem,92537,at,0jB0RNZIfaihaDKNmdrI40,2018-09-21,2018-09-28,0.195,0.588,-4.461
20,21,Lucky You (feat. Joyner Lucas),Eminem,91494,at,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
21,22,Girls Like You (feat. Cardi B),Maroon 5,90546,at,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
22,23,Bella ciao - HUGEL Remix,El Profesor,89499,at,1MFSD0AkPk8Yq7TDEhrHcb,2018-09-21,2018-09-28,0.655,0.406,-11.833
23,24,2002,Anne-Marie,85690,at,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
24,25,Cordula Grün,Josh.,84214,at,483ykNWhSQXYprueXUMNeo,2018-09-21,2018-09-28,0.73,0.649,-6.842
25,26,Be Alright,Dean Lewis,83756,at,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
26,27,Solo (feat. Demi Lovato),Clean Bandit,81262,at,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
27,28,Wie ein Alpha,Kollegah,80584,at,6ctK397vh20Ok72DMhbRI6,2018-09-21,2018-09-28,0.414,0.689,-8.339
28,29,BlaBla,Azzi Memo,77543,at,4mGxpq4nAOz9ZHe7GmPcgO,2018-09-21,2018-09-28,0.524,0.788,-6.369
29,30,Mercedes,Eno,74884,at,0VNlBq4JKqvlIlveSwC4WJ,2018-09-21,2018-09-28,0.802,0.782,-6.435
30,31,Blah Blah Blah,Armin van Buuren,74379,at,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
31,32,Nevermind,Dennis Lloyd,73861,at,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
32,33,Wellou,Kurdo,70110,at,1phPPgHcR590i0y8c9H36r,2018-09-21,2018-09-28,0.729,0.776,-5.771
33,34,Copacabana,Leon Machère,69966,at,214Mx6MSJhtaO1uPtZGqLH,2018-09-21,2018-09-28,0.623,0.849,-5.709
34,35,Jackie Chan,Tiësto,69152,at,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
35,36,Born To Be Yours,Kygo,68937,at,0kHyKhJMukHEPfeh8s7rdM,2018-09-21,2018-09-28,0.451,0.688,-5.84
