,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,1900411,au,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Eastside (with Halsey & Khalid),benny blanco,1745504,au,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
2,3,Be Alright,Dean Lewis,1555781,au,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
3,4,Shotgun,George Ezra,1426323,au,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
4,5,Falling Down - Bonus Track,Lil Peep,1396606,au,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
5,6,Happier,Marshmello,1303316,au,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
6,7,Better,Khalid,1286603,au,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
7,8,Promises (with Sam Smith),Calvin Harris,1161485,au,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
8,9,Lucky You (feat. Joyner Lucas),Eminem,1060949,au,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
9,10,In My Mind,Dynoro,1035882,au,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
10,11,High Hopes,Panic! At The Disco,971438,au,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
11,12,Rise,Jonas Blue,967931,au,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
12,13,In My Feelings,Drake,930764,au,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
13,14,Girls Like You (feat. Cardi B),Maroon 5,895146,au,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
14,15,No Brainer,DJ Khaled,890216,au,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
15,16,Electricity (with Dua Lipa),Silk City,886998,au,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
16,17,SICKO MODE,Travis Scott,874150,au,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
17,18,REMEDY,Alesso,810420,au,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
18,19,Youngblood,5 Seconds of Summer,809754,au,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
19,20,Killshot,Eminem,799531,au,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
20,21,Lucid Dreams,Juice WRLD,757943,au,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
21,22,Beautiful (feat. Camila Cabello),Bazzi,734863,au,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
22,23,Taste (feat. Offset),Tyga,730873,au,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
23,24,Jackie Chan,Tiësto,729924,au,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
24,25,breathin,Ariana Grande,728814,au,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
25,26,Ocean (feat. Khalid),Martin Garrix,680301,au,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
26,27,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,662587,au,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
27,28,I'll Be There,Jess Glynne,632050,au,083Qf6hn6sFL6xiOHlZUyn,2018-09-21,2018-09-28,0.4,0.851,-3.111
28,29,SAD!,XXXTENTACION,627500,au,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
29,30,Happy Now,Zedd,625541,au,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
30,31,Body (feat. Brando),Loud Luxury,614370,au,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
31,32,Better Now,Post Malone,613636,au,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
32,33,Never Ever (feat. Sarah),The Rubens,604463,au,4E2s2lCNKxbWJMwHPMzOfq,2018-09-21,2018-09-28,0.239,0.399,-7.159
33,34,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,586506,au,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
34,35,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,585699,au,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
