,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,314679,be,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,I Love It (& Lil Pump),Kanye West,247481,be,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Promises (with Sam Smith),Calvin Harris,242426,be,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
3,4,Be Alright,Dean Lewis,232923,be,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
4,5,Verleden Tijd,Frenna,222553,be,4kuexchmxuc5NXmokfo1WH,2018-09-21,2018-09-28,0.183,0.661,-6.718
5,6,Shotgun,George Ezra,220892,be,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
6,7,Falling Down - Bonus Track,Lil Peep,202592,be,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
7,8,Happier,Marshmello,193408,be,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
8,9,Natural,Imagine Dragons,165881,be,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
9,10,Eastside (with Halsey & Khalid),benny blanco,163085,be,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
10,11,In My Feelings,Drake,159217,be,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
11,12,Djadja,Aya Nakamura,158170,be,3XfnssSD9HMQ9LhVOJvXTE,2018-09-21,2018-09-28,0.559,0.698,-6.215
12,13,Lucky You (feat. Joyner Lucas),Eminem,157563,be,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
13,14,Ellie,Regi,153401,be,0vJFpxm8SDKAzqtJyVNXFw,2018-09-21,2018-09-28,0.535,0.778,-5.623
14,15,Rise,Jonas Blue,149884,be,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
