,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,21737,bg,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Lucky You (feat. Joyner Lucas),Eminem,19907,bg,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
2,3,Falling Down - Bonus Track,Lil Peep,16460,bg,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
3,4,Killshot,Eminem,15898,bg,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
4,5,In My Mind,Dynoro,13352,bg,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
5,6,SICKO MODE,Travis Scott,12612,bg,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
6,7,Fall,Eminem,12495,bg,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
7,8,Promises (with Sam Smith),Calvin Harris,12262,bg,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
8,9,In My Feelings,Drake,12059,bg,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
9,10,The Ringer,Eminem,11899,bg,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
10,11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,11289,bg,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
11,12,God is a woman,Ariana Grande,11192,bg,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
12,13,Not Alike (feat. Royce Da 5'9),Eminem,10697,bg,28FGV3ORH14MYORd7s5dlU,2018-09-21,2018-09-28,0.342,0.756,-3.746
13,14,Eastside (with Halsey & Khalid),benny blanco,10190,bg,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
