,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Cuando Te Besé,Becky G,85086,bo,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
1,2,Vaina Loca,Ozuna,76109,bo,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,Amigos Con Derechos,Reik,68515,bo,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
3,4,Mala Mía,Maluma,66732,bo,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
4,5,No Es Justo,J Balvin,66413,bo,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
5,6,BEBE,6ix9ine,58719,bo,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
6,7,Ya No Tiene Novio,Sebastian Yatra,57330,bo,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
7,8,Por Perro,Sebastian Yatra,55187,bo,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
8,9,Quiere Beber,Anuel AA,54919,bo,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
9,10,Sin Pijama,Becky G,54236,bo,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
10,11,Te Boté - Remix,Nio Garcia,50824,bo,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
11,12,Culpables,Manuel Turizo,43889,bo,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
12,13,No Me Acuerdo,Thalía,43703,bo,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
13,14,Clandestino,Shakira,43209,bo,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
14,15,Asesina,Brytiago,42464,bo,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
15,16,Toda - Remix,Alex Rose,41138,bo,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
16,17,La player (Bandolera),Zion & Lennox,37190,bo,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
17,18,Hipócrita,Anuel AA,35630,bo,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
18,19,Chica Paranormal,Paulo Londra,33885,bo,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
19,20,Puntos Suspensivos,Piso 21,31725,bo,04cd1MHVq1D8v1nuTZoCdv,2018-09-21,2018-09-28,0.952,0.731,-3.399
20,21,Me Niego (feat. Ozuna & Wisin),Reik,30784,bo,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
21,22,Epa Wei,Danny Ocean,30775,bo,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
22,23,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,30677,bo,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
23,24,Te Amo,Piso 21,30616,bo,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
24,25,X - Remix,Nicky Jam,29367,bo,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
25,26,Culpables,KAROL G,28691,bo,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
26,27,I Like It,Cardi B,28477,bo,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
27,28,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,27848,bo,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
28,29,El Clavo (feat. Maluma) - Remix,Prince Royce,27183,bo,6bI00brFpeprqCDqKouEJS,2018-09-21,2018-09-28,0.73,0.797,-2.726
29,30,Mi Cama - Remix,KAROL G,26787,bo,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
30,31,Ella Me Persigue,Alkilados,26576,bo,5lKfxy2Lzs2yJWqHuWHUIq,2018-09-21,2018-09-28,0.797,0.799,-5.265
31,32,Bella - Remix,Wolfine,25925,bo,0SaYeGhSXN0dDWstyNTQ56,2018-09-21,2018-09-28,0.87,0.476,-6.621
32,33,Dura - Remix,Daddy Yankee,24792,bo,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
33,34,Déjala que vuelva (feat. Manuel Turizo),Piso 21,24215,bo,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
34,35,Madura (feat. Bad Bunny),Cosculluela,23342,bo,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
35,36,Estamos Bien,Bad Bunny,23198,bo,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
36,37,Celoso,Lele Pons,22980,bo,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
37,38,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,22681,bo,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
38,39,Me Dijeron,Ozuna,22533,bo,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
39,40,In My Feelings,Drake,21944,bo,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
40,41,Borracha,Yera,21905,bo,50c90QkLEHoUknqxwUrPls,2018-09-21,2018-09-28,0.791,0.724,-5.477
41,42,Dembow,Danny Ocean,20820,bo,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
42,43,Calypso,Luis Fonsi,20699,bo,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
43,44,Unica,Ozuna,20535,bo,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
44,45,Ni Gucci Ni Prada,Kenny Man,20056,bo,32lexhcz93AinKK0qLTZaZ,2018-09-21,2018-09-28,0.91,0.676,-5.644
