,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Ciumeira - Ao Vivo,Marília Mendonça,4065303,br,2H1liABu20HXBOmbt5SQz1,2018-09-21,2018-09-28,0.765,0.813,-4.83
1,2,O Bebê,MC Kevinho,3242621,br,51HrDv54pSe1IqynORNXBd,2018-09-21,2018-09-28,0.795,0.749,-3.734
2,3,Só Você,Dennis DJ,2895351,br,4xc6RrWzEOdprPqYn9Cyen,2018-09-21,2018-09-28,0.697,0.751,-0.787
3,4,Favela,Alok,2886184,br,2JVbZEpewmqNlSzmXJTx2E,2018-09-21,2018-09-28,0.283,0.812,-3.206
4,5,Medley da Gaiola - Dennis DJ Remix,MC Kevin o Chris,2866430,br,7rLegaz7zKB6EtDNzcslKE,2018-09-21,2018-09-28,0.613,0.757,-5.243
5,6,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,2865160,br,1IJH7QjV5V99eJBtKXqGXE,2018-09-21,2018-09-28,0.786,0.869,-5.26
6,7,Ao Vivo E A Cores,Matheus & Kauan,2572710,br,2Ab1wPTEqulaCGoBak1gUo,2018-09-21,2018-09-28,0.42,0.526,-6.174
7,8,Meu Abrigo,Melim,2556620,br,5U28PY9MekLyCBYtLHGQpe,2018-09-21,2018-09-28,0.741,0.572,-7.527
8,9,Pouca Pausa,Clau,2255067,br,2odzriVVZBwYOiYJEj30tm,2018-09-21,2018-09-28,0.883,0.583,-6.639
9,10,Propaganda - Ao Vivo,Jorge & Mateus,2224561,br,74n5d5M21JnC4WJ6gdkggK,2018-09-21,2018-09-28,0.77,0.782,-4.603
10,11,Zé da Recaída,Gusttavo Lima,2218755,br,4iGwWeV7XVIWO9Yy5QExOr,2018-09-21,2018-09-28,0.904,0.832,-2.018
11,12,Medicina,Anitta,2083539,br,4R5xvs5X0phd0EYWyGigju,2018-09-21,2018-09-28,0.653,0.784,-3.545
12,13,Sofazinho - Ao Vivo,Luan Santana,2036983,br,2PMLdLt5QeOuOgxfAvx1in,2018-09-21,2018-09-28,0.672,0.875,-3.997
13,14,Saudade Nível Hard,Yasmin Santos,1942922,br,2dmGj5Nf01FcR6N4HPzAbL,2018-09-21,2018-09-28,0.716,0.811,-5.604
14,15,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,1908123,br,2qkNnJvQvhLiZ63X1L3eFz,2018-09-21,2018-09-28,0.206,0.838,-4.734
15,16,Quero Que Tu Vá,Ananda,1882451,br,7ppLcVgxpoWAhAa2c0CN3b,2018-09-21,2018-09-28,0.674,0.504,-5.298
16,17,O Alvo - Ao Vivo,Diego & Victor Hugo,1854914,br,5Vw6ZLNB6Ko7VZM6vmNIbr,2018-09-21,2018-09-28,0.505,0.808,-3.367
17,18,Só Pra Castigar,Wesley Safadão,1828346,br,2X8sssaxS5GReg6945B6RW,2018-09-21,2018-09-28,0.648,0.94,-1.77
18,19,Kikadinha,Jerry Smith,1807694,br,5TUYLsiIi3tuvR2fCJjZUy,2018-09-21,2018-09-28,0.848,0.662,-6.15
19,20,Romance Com Safadeza,Wesley Safadão,1791026,br,0RBOFW5424gCCCZrgECbt6,2018-09-21,2018-09-28,0.765,0.903,-4.11
20,21,Status Que Eu Não Queria - Ao Vivo,Zé Neto & Cristiano,1770757,br,1fyhyOy6iS9E2NckAzjmTo,2018-09-21,2018-09-28,0.911,0.871,-4.052
21,22,Fuleragem,MC WM,1727766,br,6tuzPD1zPPvwMbGiD0TBay,2018-09-21,2018-09-28,0.755,0.836,-2.3
22,23,Pra Inveja É Tchau,Mc Kevin,1722774,br,4cnNrOojGyU6J3OXqVTPIg,2018-09-21,2018-09-28,0.51,0.341,-4.706
