,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,1811405,ca,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,1548808,ca,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,Killshot,Eminem,1406474,ca,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
3,4,Lucky You (feat. Joyner Lucas),Eminem,1341357,ca,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
4,5,SICKO MODE,Travis Scott,1279975,ca,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
5,6,Happier,Marshmello,1171157,ca,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
6,7,No Stylist,French Montana,1055190,ca,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
7,8,Eastside (with Halsey & Khalid),benny blanco,1028306,ca,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,In My Feelings,Drake,921157,ca,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
9,10,Better,Khalid,920422,ca,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
10,11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,916571,ca,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
11,12,New Patek,Lil Uzi Vert,916433,ca,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
12,13,Lucid Dreams,Juice WRLD,906087,ca,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
13,14,Nonstop,Drake,829555,ca,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
14,15,Promises (with Sam Smith),Calvin Harris,786544,ca,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
15,16,Taste (feat. Offset),Tyga,723097,ca,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
16,17,Better Now,Post Malone,707122,ca,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
17,18,Mo Bamba,Sheck Wes,667423,ca,3QybPutx0Tjk472bBKjNWn,2018-09-21,2018-09-28,0.319,0.629,-4.882
18,19,No Brainer,DJ Khaled,664879,ca,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
19,20,SAD!,XXXTENTACION,662861,ca,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
20,21,Youngblood,5 Seconds of Summer,647784,ca,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
21,22,Girls Like You (feat. Cardi B),Maroon 5,638287,ca,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
22,23,RAP DEVIL,Machine Gun Kelly,633305,ca,43TP6JCWXgkc2D7Xjz5hBr,2018-09-21,2018-09-28,0.767,0.835,-4.662
23,24,I Like It,Cardi B,621638,ca,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
24,25,Natural,Imagine Dragons,617470,ca,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
25,26,Wake Up in the Sky,Gucci Mane,609004,ca,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
26,27,Body (feat. Brando),Loud Luxury,606797,ca,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
27,28,Drip Too Hard,Lil Baby,604748,ca,1BxkZE73h9BN3qwuA15TA3,2018-09-21,2018-09-28,0.399,0.653,-6.962
28,29,The Ringer,Eminem,592936,ca,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
29,30,Noticed,Lil Mosey,591899,ca,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
30,31,In My Mind,Dynoro,589322,ca,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
31,32,Be Alright,Dean Lewis,565524,ca,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
32,33,Moonlight,XXXTENTACION,563281,ca,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
33,34,breathin,Ariana Grande,557362,ca,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
34,35,Yes Indeed,Lil Baby,536383,ca,6vN77lE9LK6HP2DewaN6HZ,2018-09-21,2018-09-28,0.562,0.346,-9.309
35,36,STARGAZING,Travis Scott,530080,ca,7wBJfHzpfI3032CSD7CE2m,2018-09-21,2018-09-28,0.0564,0.789,-3.69
36,37,Jackie Chan,Tiësto,512143,ca,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
37,38,Not Alike (feat. Royce Da 5'9),Eminem,506191,ca,28FGV3ORH14MYORd7s5dlU,2018-09-21,2018-09-28,0.342,0.756,-3.746
38,39,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,504117,ca,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
39,40,Electricity (with Dua Lipa),Silk City,502881,ca,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
40,41,Beautiful (feat. Camila Cabello),Bazzi,493886,ca,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
41,42,God is a woman,Ariana Grande,484033,ca,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
42,43,Love No More,Loud Luxury,481747,ca,15fZrZhdK0g1BS9sDeW6sD,2018-09-21,2018-09-28,0.217,0.678,-6.249
43,44,God's Plan,Drake,479769,ca,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
44,45,Fall,Eminem,473522,ca,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
45,46,I'm a Mess,Bebe Rexha,469878,ca,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
46,47,REMEDY,Alesso,469836,ca,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
47,48,rockstar (feat. 21 Savage),Post Malone,464783,ca,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
48,49,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,463810,ca,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
49,50,Rise,Jonas Blue,442785,ca,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
50,51,Nice For What,Drake,438611,ca,3CA9pLiwRIGtUBiMjbZmRw,2018-09-21,2018-09-28,0.757,0.909,-6.474
51,52,Psycho (feat. Ty Dolla $ign),Post Malone,427417,ca,3swc6WTsr7rl9DqQKQA55C,2018-09-21,2018-09-28,0.439,0.559,-8.011
52,53,Look Alive (feat. Drake),BlocBoy JB,420076,ca,4qKcDkK6siZ7Jp1Jb4m0aL,2018-09-21,2018-09-28,0.595,0.581,-7.495
53,54,YOSEMITE,Travis Scott,415365,ca,7lAK3oHbfEnvUQWosrMMpR,2018-09-21,2018-09-28,0.144,0.554,-6.571
54,55,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,412029,ca,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
55,56,Jocelyn Flores,XXXTENTACION,407828,ca,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
56,57,Solo (feat. Demi Lovato),Clean Bandit,391688,ca,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
57,58,Leave Me Alone,Flipp Dinero,386423,ca,14mHfNsSHN0FbLftyjrV9g,2018-09-21,2018-09-28,0.742,0.743,-2.806
58,59,Happy Now,Zedd,383514,ca,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
59,60,Greatest,Eminem,370705,ca,2XTquzYQAdT1Hk78bOUwsv,2018-09-21,2018-09-28,0.367,0.737,-5.186
60,61,Thunderclouds,Sia,366075,ca,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
61,62,SWISH,Tyga,365243,ca,55GiOwtxNajXVbpjjIzMnD,2018-09-21,2018-09-28,0.274,0.541,-5.608
62,63,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,364514,ca,0ZNrc4kNeQYD9koZ3KvCsy,2018-09-21,2018-09-28,0.112,0.346,-7.709
63,64,High Hopes,Panic! At The Disco,364402,ca,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
64,65,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,355252,ca,7IBSffWIu7P2MC7kMwy2FM,2018-09-21,2018-09-28,0.552,0.477,-7.379
65,66,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,351927,ca,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
66,67,Drew Barrymore,Bryce Vine,350970,ca,0OgGn1ofaj55l2PcihQQGV,2018-09-21,2018-09-28,0.25,0.572,-7.312
67,68,I Like Me Better,Lauv,350791,ca,2P91MQbaiQOfbiz9VqhqKQ,2018-09-21,2018-09-28,0.419,0.505,-7.621
68,69,Mob Ties,Drake,349244,ca,7rC5Pl8rQSX4myONQHYPBK,2018-09-21,2018-09-28,0.49,0.575,-8.393
69,70,Love Lies (with Normani),Khalid,347814,ca,45Egmo7icyopuzJN0oMEdk,2018-09-21,2018-09-28,0.338,0.648,-5.626
70,71,no tears left to cry,Ariana Grande,345241,ca,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
71,72,Venom - Music From The Motion Picture,Eminem,345098,ca,2SL6oP2YAEQbqsrkOzRGO4,2018-09-21,2018-09-28,0.46,0.794,-5.063
72,73,SLOW DANCING IN THE DARK,Joji,344715,ca,0UyljEbX9dqI1K0sqdv6B6,2018-09-21,2018-09-28,0.284,0.479,-7.458
73,74,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,344056,ca,4e4fqjx0Izh4svvTef1z7e,2018-09-21,2018-09-28,0.589,0.772,-6.61
74,75,Kamikaze,Eminem,342372,ca,2gsNpSn7VvvJuSrIDfRoYy,2018-09-21,2018-09-28,0.642,0.808,-5.175
75,76,changes,XXXTENTACION,337327,ca,7AFASza1mXqntmGtbxXprO,2018-09-21,2018-09-28,0.52,0.308,-10.068
76,77,One Kiss (with Dua Lipa),Calvin Harris,320888,ca,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
77,78,Lean Wit Me,Juice WRLD,319844,ca,29tc0GbW0pTSBZSCZF3NWk,2018-09-21,2018-09-28,0.237,0.651,-5.515
78,79,Fuck Love (feat. Trippie Redd),XXXTENTACION,318725,ca,7AQim7LbvFVZJE3O8TYgf2,2018-09-21,2018-09-28,0.329,0.533,-9.74
79,80,OTW,Khalid,317588,ca,6Hgh47WXVKtXN5zGOu0hjI,2018-09-21,2018-09-28,0.28,0.678,-6.183
80,81,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,316309,ca,4hQ6UGyWQIGJmHSo0J88JW,2018-09-21,2018-09-28,0.508,0.724,-4.856
81,82,Self Care,Mac Miller,315513,ca,5bJ1DrEM4hNCafcDd1oxHx,2018-09-21,2018-09-28,0.177,0.538,-8.109
82,83,All Girls Are The Same,Juice WRLD,314626,ca,0XySogm94T51XF5F2jumXm,2018-09-21,2018-09-28,0.203,0.529,-7.226
83,84,lovely (with Khalid),Billie Eilish,312341,ca,0u2P5u6lvoDfwTYjAADbn4,2018-09-21,2018-09-28,0.12,0.296,-10.109
84,85,Ball For Me (feat. Nicki Minaj),Post Malone,310768,ca,6IaieqiCVvsNvEt6Y7yOFa,2018-09-21,2018-09-28,0.505,0.56,-4.125
85,86,REEL IT IN,Aminé,309083,ca,5qHirGR7M9tdm6C17DlzSY,2018-09-21,2018-09-28,0.423,0.342,-8.677
86,87,Champion (feat. Travis Scott),NAV,307482,ca,6nO3tr47nr2P7f3hXb8JIo,2018-09-21,2018-09-28,0.396,0.782,-3.395
87,88,Right Now,Nick Jonas,300349,ca,43wzy7JxMEfvCh8ZFeZKYk,2018-09-21,2018-09-28,0.568,0.751,-4.982
88,89,Real Friends,Camila Cabello,298964,ca,5vnpANH92iEajvGwE2oQ6r,2018-09-21,2018-09-28,0.663,0.512,-6.869
89,90,I Fall Apart,Post Malone,297270,ca,75ZvA4QfFiZvzhj2xkaWAh,2018-09-21,2018-09-28,0.291,0.538,-5.408
90,91,broken,lovelytheband,296031,ca,6XcfKZvJio9Z0fQy11GnNX,2018-09-21,2018-09-28,0.51,0.728,-5.808
91,92,Nevermind,Dennis Lloyd,295572,ca,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
92,93,WORKIN ME,Quavo,293718,ca,33tNYw9oMtSkGe27NpgS64,2018-09-21,2018-09-28,0.267,0.629,-4.055
93,94,Ocean (feat. Khalid),Martin Garrix,291603,ca,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
94,95,Ric Flair Drip (& Metro Boomin),Offset,289131,ca,7sO5G9EABYOXQKNPNiE9NR,2018-09-21,2018-09-28,0.333,0.428,-8.28
95,96,I'm Upset,Drake,288619,ca,3qN5qMTKyEEmiTZD38BNTT,2018-09-21,2018-09-28,0.492,0.586,-7.866
96,97,XO Tour Llif3,Lil Uzi Vert,286336,ca,7GX5flRQZVHRAGd6B4TmDO,2018-09-21,2018-09-28,0.401,0.75,-6.366
97,98,Wasted (feat. Lil Uzi Vert),Juice WRLD,284772,ca,3obgSF06ki98lYNLNq5vCB,2018-09-21,2018-09-28,0.502,0.579,-5.024
98,99,High On Life (feat. Bonn),Martin Garrix,278866,ca,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
99,100,ANTI EVERYBODY,KILLY,277051,ca,70QV2FCEWH7SZK6wZJtXLk,2018-09-21,2018-09-28,0.697,0.621,-6.611
100,101,Simple,Florida Georgia Line,274477,ca,1co0puPTYvqAdUEjFOjne9,2018-09-21,2018-09-28,0.881,0.889,-3.704
101,102,Havana (feat. Young Thug),Camila Cabello,273933,ca,1rfofaqEpACxVEHIZBJe6W,2018-09-21,2018-09-28,0.394,0.523,-4.333
102,103,BEBE,6ix9ine,272973,ca,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
103,104,Plug Walk,Rich The Kid,265363,ca,1ZAyjvIk9YiD76yYy0TEG6,2018-09-21,2018-09-28,0.158,0.519,-6.531
104,105,The Middle,Zedd,263435,ca,09IStsImFySgyp0pIQdqAc,2018-09-21,2018-09-28,0.437,0.657,-3.061
105,106,Guatemala - From Swaecation,Rae Sremmurd,262510,ca,0TCnOEVeLQMXOUrpPlM7uY,2018-09-21,2018-09-28,0.0778,0.699,-5.193
106,107,Say My Name,David Guetta,261021,ca,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
107,108,HUMBLE.,Kendrick Lamar,260799,ca,7KXjTSCq5nL1LoYtL7XAwS,2018-09-21,2018-09-28,0.421,0.621,-6.638
108,109,Pretty Little Fears (feat. J. Cole),6LACK,260163,ca,4at3d5QWnlibMVN75ECDrp,2018-09-21,2018-09-28,0.223,0.466,-11.361
109,110,Don’t Matter To Me (with Michael Jackson),Drake,257354,ca,6G8kHiVZ1jW7vHMPVRNZU0,2018-09-21,2018-09-28,0.138,0.318,-12.391
110,111,Unforgettable,French Montana,255154,ca,3B54sVLJ402zGa6Xm4YGNe,2018-09-21,2018-09-28,0.733,0.769,-5.043
111,112,Shape of You,Ed Sheeran,254816,ca,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
112,113,IDWK,DVBBS,254635,ca,4ABdTWafMCXfATpILRuZFW,2018-09-21,2018-09-28,0.414,0.847,-6.159
113,114,Normal,Eminem,254243,ca,0evt4UZbdhnHtcAnxkm6A1,2018-09-21,2018-09-28,0.803,0.64,-6.542
114,115,Head Above Water,Avril Lavigne,254203,ca,1N7YeVU0ZwAFbOhwM61ef6,2018-09-21,2018-09-28,0.268,0.694,-5.351
115,116,Perfect,Ed Sheeran,251923,ca,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
116,117,Stepping Stone,Eminem,251275,ca,60Z57Wdrn0pEVpHI7d7GAX,2018-09-21,2018-09-28,0.312,0.684,-6.032
117,118,TAlk tO Me (with Rich The Kid),Tory Lanez,251103,ca,49NhxprbG9oTtMunQCSXxA,2018-09-21,2018-09-28,0.492,0.656,-8.56
118,119,BUTTERFLY EFFECT,Travis Scott,250789,ca,6xcJyGpfZbuuiequtnlKt4,2018-09-21,2018-09-28,0.196,0.628,-5.851
119,120,Creep On Me,GASHI,247363,ca,1MUL6DO2gVimj2YrVedubd,2018-09-21,2018-09-28,0.505,0.597,-4.401
120,121,Born To Be Yours,Kygo,246238,ca,0kHyKhJMukHEPfeh8s7rdM,2018-09-21,2018-09-28,0.451,0.688,-5.84
121,122,1942,G-Eazy,245438,ca,794QVQtFNy7hvtjQP1keQd,2018-09-21,2018-09-28,0.835,0.646,-5.12
122,123,Thunder,Imagine Dragons,244496,ca,1zB4vmk8tFRmM9UULNzbLB,2018-09-21,2018-09-28,0.288,0.822,-4.833
123,124,Tie Me Down (with Elley Duhé),Gryffin,244189,ca,4QVS8YCpK71R4FsxSMCjhP,2018-09-21,2018-09-28,0.314,0.839,-2.371
124,125,The Flute Song,Russ,242672,ca,6pGuOWYOFDcSgmVvFWRWSv,2018-09-21,2018-09-28,0.343,0.524,-7.942
125,126,Everybody Dies In Their Nightmares,XXXTENTACION,242292,ca,3GVkPk8mqxz0itaAriG1L7,2018-09-21,2018-09-28,0.689,0.57,-7.066
126,127,Trip,Ella Mai,241406,ca,7noud145AHZGg74vpWOsCa,2018-09-21,2018-09-28,0.387,0.605,-5.68
127,128,8 Letters,Why Don't We,239699,ca,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
128,129,Fr Fr (feat. Lil Skies),Wiz Khalifa,239129,ca,1RagpNpkD3KcjXMLGMe99V,2018-09-21,2018-09-28,0.327,0.493,-7.371
129,130,FRIENDS,Marshmello,238033,ca,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
130,131,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,237813,ca,1BuZAIO8WZpavWVbbq3Lci,2018-09-21,2018-09-28,0.584,0.831,-4.75
131,132,Taking A Walk,Trippie Redd,237474,ca,4mHgYpuGHu99Mw69E83CP2,2018-09-21,2018-09-28,0.343,0.538,-6.044
132,133,Silence,Marshmello,235543,ca,7vGuf3Y35N4wmASOKLUVVU,2018-09-21,2018-09-28,0.286,0.761,-3.093
133,134,Good Guy (feat. Jessie Reyez),Eminem,235494,ca,4g32MdRoqwGKQd3NXIRhpU,2018-09-21,2018-09-28,0.728,0.634,-6.918
134,135,Believer,Imagine Dragons,235289,ca,0pqnGHJpmpxLKifKRmU6WP,2018-09-21,2018-09-28,0.666,0.78,-4.374
135,136,Magic In The Hamptons (feat. Lil Yachty),Social House,235259,ca,2Yer0p7uB2lVBUAtANuuQp,2018-09-21,2018-09-28,0.803,0.479,-5.339
136,137,Love Someone,Lukas Graham,233162,ca,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
137,138,Young Dumb & Broke,Khalid,231286,ca,5Z3GHaZ6ec9bsiI5BenrbY,2018-09-21,2018-09-28,0.394,0.539,-6.351
138,139,Look At Me!,XXXTENTACION,230246,ca,6eYxmK9fdL4hwLnXG2zY3s,2018-09-21,2018-09-28,0.349,0.726,-6.405
139,140,Narcos,Migos,229369,ca,0wbnC9AUenxp613TYaJsGK,2018-09-21,2018-09-28,0.238,0.588,-6.948
140,141,Congratulations,Post Malone,228269,ca,3a1lNhkSLSkpJE4MSHpDu9,2018-09-21,2018-09-28,0.492,0.804,-4.183
141,142,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,225211,ca,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
142,143,Guiding Light,Mumford & Sons,224522,ca,7wDqHhtRkP1TXSlZK0sEQH,2018-09-21,2018-09-28,0.281,0.667,-9.343
143,144,Walk It Talk It,Migos,223966,ca,6n4U3TlzUGhdSFbUUhTvLP,2018-09-21,2018-09-28,0.406,0.628,-5.456
144,145,Sin (feat. Jaden Smith),Young Thug,223385,ca,1Jl21sidRpEdlVBvYbssLx,2018-09-21,2018-09-28,0.235,0.385,-11.767
145,146,Want To,Dua Lipa,222041,ca,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
146,147,Lust,Lil Skies,220638,ca,7oJrVhiTPZGBXWPwhxjy9S,2018-09-21,2018-09-28,0.519,0.767,-5.641
