,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,280669,ch,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,I Love It (& Lil Pump),Kanye West,229725,ch,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,UFF,Veysel,210010,ch,6XjEOPgbgHKcaHcunEHSJJ,2018-09-21,2018-09-28,0.311,0.828,-3.559
3,4,Falling Down - Bonus Track,Lil Peep,198889,ch,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
4,5,INTERNATIONAL GANGSTAS,Farid Bang,197635,ch,4IAVIBh9jbYN30DwpHFMD4,2018-09-21,2018-09-28,0.393,0.622,-6.297
5,6,BONNIE & CLYDE,Loredana,190989,ch,5UtiebKGhsSce9gX1qCqic,2018-09-21,2018-09-28,0.637,0.62,-4.832
6,7,Kokain,Bonez MC,187296,ch,1H3oIeKUEHpBhXUiso0IMH,2018-09-21,2018-09-28,0.608,0.677,-7.906
7,8,Promises (with Sam Smith),Calvin Harris,171842,ch,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
8,9,Lucky You (feat. Joyner Lucas),Eminem,169569,ch,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
9,10,Happier,Marshmello,152533,ch,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
10,11,Shotgun,George Ezra,146335,ch,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
11,12,Natural,Imagine Dragons,145473,ch,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
12,13,Amore e Capoeira,Takagi & Ketra,142905,ch,5Vwqy3CS2aCB6jcgm1qWfk,2018-09-21,2018-09-28,0.836,0.697,-4.368
13,14,Eastside (with Halsey & Khalid),benny blanco,139604,ch,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
14,15,Creep On Me,GASHI,137617,ch,1MUL6DO2gVimj2YrVedubd,2018-09-21,2018-09-28,0.505,0.597,-4.401
15,16,Dior 2001,RIN,134372,ch,2eNSyVH3sNPiAj9WpRYK73,2018-09-21,2018-09-28,0.473,0.699,-5.892
16,17,Be Alright,Dean Lewis,132992,ch,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
17,18,Girls Like You (feat. Cardi B),Maroon 5,129078,ch,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
18,19,500 PS,Bonez MC,127218,ch,641R77CBy4bOLGRcA9sgHy,2018-09-21,2018-09-28,0.836,0.923,-5.885
19,20,Facetime,Dardan,126768,ch,0oZyouBDStcJEUbTmSfys2,2018-09-21,2018-09-28,0.446,0.682,-6.873
20,21,Melodien (feat. Juju),Capital Bra,118522,ch,5d35jcJj7WjDQBOHCHPY6t,2018-09-21,2018-09-28,0.33,0.529,-7.407
21,22,Risiko,Bonez MC,118490,ch,0mjbIwkdLPK5g2nGzhacjU,2018-09-21,2018-09-28,0.226,0.74,-7.21
22,23,Wellou,Kurdo,113180,ch,1phPPgHcR590i0y8c9H36r,2018-09-21,2018-09-28,0.729,0.776,-5.771
23,24,Better,Khalid,111672,ch,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
24,25,In My Feelings,Drake,111499,ch,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
25,26,Rise,Jonas Blue,108307,ch,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
26,27,Solo (feat. Demi Lovato),Clean Bandit,107670,ch,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
27,28,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,107267,ch,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
