,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,BEBE,6ix9ine,1779885,cl,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
1,2,Quiere Beber,Anuel AA,1610647,cl,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
2,3,Vaina Loca,Ozuna,1534624,cl,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
3,4,Hipócrita,Anuel AA,1438377,cl,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
4,5,Cuando Te Besé,Becky G,1206726,cl,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
5,6,No Es Justo,J Balvin,1190000,cl,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
6,7,Culpables,KAROL G,1061119,cl,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
7,8,Te Boté - Remix,Nio Garcia,923489,cl,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
8,9,No Me Acuerdo,Thalía,854618,cl,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
9,10,Toda - Remix,Alex Rose,853549,cl,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
10,11,Sin Pijama,Becky G,841178,cl,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
11,12,Asesina,Brytiago,837110,cl,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
12,13,La player (Bandolera),Zion & Lennox,807727,cl,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
13,14,Ya No Tiene Novio,Sebastian Yatra,670335,cl,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
14,15,Me Dijeron,Ozuna,611741,cl,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
15,16,Por Perro,Sebastian Yatra,607785,cl,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
16,17,Duro y Suave,Leslie Grace,586456,cl,31M5m42C3EGlbydf9XB5to,2018-09-21,2018-09-28,0.618,0.721,-4.483
17,18,Mala Mía,Maluma,579436,cl,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
18,19,Chica Paranormal,Paulo Londra,560238,cl,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
19,20,Madura (feat. Bad Bunny),Cosculluela,559749,cl,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
20,21,Estamos Bien,Bad Bunny,558581,cl,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
21,22,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,534323,cl,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
22,23,Me Niego (feat. Ozuna & Wisin),Reik,529000,cl,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
23,24,Pensando en Ti,Anuel AA,528392,cl,3aY5VP7fEtVHfEc1o8eRNK,2018-09-21,2018-09-28,0.828,0.833,-3.723
24,25,Clandestino,Shakira,508312,cl,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
25,26,Unica,Ozuna,499376,cl,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
26,27,Dura - Remix,Daddy Yankee,482150,cl,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
27,28,Brindemos,Anuel AA,477885,cl,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
28,29,Amigos Con Derechos,Reik,463506,cl,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
29,30,Supuestamente,Ozuna,460416,cl,1ZBU5DSoYQwaZVgep6pfn2,2018-09-21,2018-09-28,0.805,0.682,-4.426
30,31,El Gil de Tu Ex,Santaferia,459743,cl,3cUE3p7E39CzGjQoEsg7sM,2018-09-21,2018-09-28,0.874,0.77,-3.074
31,32,X - Remix,Nicky Jam,453489,cl,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
32,33,Zum Zum,Daddy Yankee,447766,cl,7lEhOiFtcLXY4P7cuTKuQ8,2018-09-21,2018-09-28,0.529,0.832,-2.492
33,34,Unica - Remix,Ozuna,445712,cl,5Sv1rKKMX1yl9kfJ2HTluk,2018-09-21,2018-09-28,0.682,0.868,-3.19
34,35,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,432452,cl,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
35,36,¿Cual es tu plan?,Bad Bunny,416619,cl,4HRDBtek0ayfLQ6uc7rjO9,2018-09-21,2018-09-28,0.872,0.601,-5.418
36,37,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,405261,cl,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
