,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Mocca,Lalo Ebratt,467720,co,0NKoPGc72yUKTIneVhFfg1,2018-09-21,2018-09-28,0.591,0.695,-5.343
1,2,Vaina Loca,Ozuna,453641,co,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,No Es Justo,J Balvin,429864,co,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
3,4,Culpables,Manuel Turizo,410917,co,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
4,5,BEBE,6ix9ine,396200,co,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
5,6,Ya No Tiene Novio,Sebastian Yatra,379779,co,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
6,7,Mala Mía,Maluma,340376,co,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
7,8,La player (Bandolera),Zion & Lennox,311872,co,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
8,9,Quiere Beber,Anuel AA,303410,co,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
9,10,Cuando Te Besé,Becky G,299886,co,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
10,11,PPP,Kevin Roldan,294388,co,1DcxnVNFAyVl2sDQ646pXS,2018-09-21,2018-09-28,0.712,0.65,-6.839
11,12,Sin Pijama,Becky G,260318,co,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
12,13,Culpables,KAROL G,256859,co,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
13,14,Justicia,Silvestre Dangond,250428,co,6ipp8Dhs33KinlF4BStgca,2018-09-21,2018-09-28,0.733,0.899,-1.098
14,15,Magia (feat. Sebastian Yatra),Andrés Cepeda,237112,co,6xAhkN7uE1qdhPa8jZwhTb,2018-09-21,2018-09-28,0.594,0.705,-5.281
15,16,Por Perro,Sebastian Yatra,233415,co,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
16,17,Te Amo,Piso 21,216780,co,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
17,18,Te Boté - Remix,Nio Garcia,213603,co,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
18,19,Toda - Remix,Alex Rose,212940,co,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
19,20,Madura (feat. Bad Bunny),Cosculluela,209736,co,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
20,21,Ambiente,J Balvin,203365,co,6VrBWh90BiwWmwKtvwWFcq,2018-09-21,2018-09-28,0.79,0.731,-6.245
21,22,Me Niego (feat. Ozuna & Wisin),Reik,200081,co,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
22,23,Hipócrita,Anuel AA,191032,co,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
23,24,Amigos Con Derechos,Reik,189371,co,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
24,25,I Like It,Cardi B,189217,co,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
25,26,Déjala que vuelva (feat. Manuel Turizo),Piso 21,186405,co,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
26,27,Ibiza,Ozuna,184893,co,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
27,28,Epa Wei,Danny Ocean,181189,co,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
28,29,Asesina,Brytiago,174128,co,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
29,30,Clandestino,Shakira,169228,co,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
30,31,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,167950,co,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
31,32,Girls Like You (feat. Cardi B),Maroon 5,162503,co,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
32,33,Esperándote,Manuel Turizo,162472,co,1nfyE13arjOuO54HH0zmqj,2018-09-21,2018-09-28,0.313,0.648,-7.123
