,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Toda - Remix,Alex Rose,149367,cr,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
1,2,Vaina Loca,Ozuna,144096,cr,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,BEBE,6ix9ine,134692,cr,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
3,4,Quiere Beber,Anuel AA,133825,cr,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
4,5,Te Boté - Remix,Nio Garcia,106060,cr,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
5,6,No Es Justo,J Balvin,101722,cr,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
6,7,Cuando Te Besé,Becky G,101041,cr,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
7,8,Culpables,Manuel Turizo,98344,cr,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
8,9,Asesina,Brytiago,98266,cr,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
9,10,La player (Bandolera),Zion & Lennox,88591,cr,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
10,11,Sin Pijama,Becky G,73429,cr,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
11,12,Unica,Ozuna,71808,cr,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
12,13,In My Feelings,Drake,66696,cr,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
13,14,I Like It,Cardi B,65730,cr,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
14,15,Hipócrita,Anuel AA,65594,cr,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
15,16,Madura (feat. Bad Bunny),Cosculluela,64508,cr,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
16,17,Culpables,KAROL G,63487,cr,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
17,18,I Love It (& Lil Pump),Kanye West,63218,cr,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
18,19,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,62019,cr,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
19,20,Te Amo,Piso 21,61113,cr,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
20,21,No Me Acuerdo,Thalía,59467,cr,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
21,22,Ya No Tiene Novio,Sebastian Yatra,59287,cr,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
22,23,Estamos Bien,Bad Bunny,58029,cr,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
23,24,Mala Mía,Maluma,58008,cr,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
24,25,Chica Paranormal,Paulo Londra,57408,cr,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
25,26,Me Niego (feat. Ozuna & Wisin),Reik,55587,cr,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
26,27,Amigos Con Derechos,Reik,53766,cr,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
27,28,Clandestino,Shakira,53382,cr,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
28,29,Girls Like You (feat. Cardi B),Maroon 5,53061,cr,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
29,30,Falling Down - Bonus Track,Lil Peep,49431,cr,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
30,31,Por Perro,Sebastian Yatra,48121,cr,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
31,32,Síguelo Bailando,Ozuna,46953,cr,5Y9fnynLlIvqtM710MHzfz,2018-09-21,2018-09-28,0.626,0.664,-7.11
32,33,Brindemos,Anuel AA,46831,cr,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
33,34,Déjala que vuelva (feat. Manuel Turizo),Piso 21,46121,cr,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
34,35,Ibiza,Ozuna,45340,cr,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
35,36,No Hay Nadie Más,Sebastian Yatra,45133,cr,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
36,37,X - Remix,Nicky Jam,44862,cr,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
37,38,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,42169,cr,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
38,39,La Modelo,Ozuna,42156,cr,2SbzdGpOKlH3HIAGTWTbwU,2018-09-21,2018-09-28,0.769,0.734,-2.697
39,40,Me Dijeron,Ozuna,41725,cr,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
40,41,One Kiss (with Dua Lipa),Calvin Harris,41466,cr,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
41,42,Quiero Repetir,Ozuna,40816,cr,0MIcPSq9n2z5H8TAfEstri,2018-09-21,2018-09-28,0.482,0.753,-4.748
42,43,Se Preparó,Ozuna,40376,cr,1m69ELEgE6k5ZWsap40ozt,2018-09-21,2018-09-28,0.693,0.821,-4.233
43,44,Cuando Nadie Ve,Morat,40319,cr,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
44,45,X,Nicky Jam,40034,cr,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
45,46,Shape of You,Ed Sheeran,39268,cr,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
46,47,God's Plan,Drake,39260,cr,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
47,48,Loca Remix,Khea,38597,cr,2CRbiMK0W14l71SpDKqKZM,2018-09-21,2018-09-28,0.537,0.751,-3.661
48,49,Lucky You (feat. Joyner Lucas),Eminem,37325,cr,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
49,50,So High,Mr. Vegas,37034,cr,41Q5dO5UhYF7ufAZ9wbWHa,2018-09-21,2018-09-28,0.367,0.891,-1.567
50,51,Criminal,Natti Natasha,36402,cr,6Za3190Sbw39BBC77WSS1C,2018-09-21,2018-09-28,0.839,0.813,-3.023
51,52,Me Rehúso,Danny Ocean,34578,cr,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
52,53,Solita,Ozuna,33753,cr,7rwX0O3RlxqqIjQM8evm5E,2018-09-21,2018-09-28,0.325,0.633,-6.016
53,54,SAD!,XXXTENTACION,32873,cr,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
54,55,Promises (with Sam Smith),Calvin Harris,32753,cr,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
55,56,Believer,Imagine Dragons,32538,cr,0pqnGHJpmpxLKifKRmU6WP,2018-09-21,2018-09-28,0.666,0.78,-4.374
56,57,God is a woman,Ariana Grande,32186,cr,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
57,58,Dura - Remix,Daddy Yankee,32058,cr,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
58,59,Electricity (with Dua Lipa),Silk City,32014,cr,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
59,60,Taste (feat. Offset),Tyga,31977,cr,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
60,61,Perfect,Ed Sheeran,31944,cr,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
61,62,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,31079,cr,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
62,63,New Rules,Dua Lipa,30770,cr,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
63,64,rockstar (feat. 21 Savage),Post Malone,30209,cr,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
64,65,IDGAF,Dua Lipa,29367,cr,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
65,66,Dembow,Danny Ocean,29173,cr,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
66,67,Calypso,Luis Fonsi,28859,cr,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
67,68,Epa Wei,Danny Ocean,28535,cr,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
68,69,Adiós Amor,Christian Nodal,28533,cr,63bmZnBN1CiJ9sA4qTEe8y,2018-09-21,2018-09-28,0.687,0.426,-6.437
69,70,no tears left to cry,Ariana Grande,28335,cr,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
70,71,Happier,Marshmello,28320,cr,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
71,72,Esperándote,Manuel Turizo,28100,cr,1nfyE13arjOuO54HH0zmqj,2018-09-21,2018-09-28,0.313,0.648,-7.123
72,73,SICKO MODE,Travis Scott,28007,cr,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
