,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,9167,cy,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,8407,cy,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,Lucky You (feat. Joyner Lucas),Eminem,7136,cy,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
3,4,Promises (with Sam Smith),Calvin Harris,6282,cy,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Killshot,Eminem,6198,cy,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
5,6,In My Mind,Dynoro,6145,cy,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
6,7,Happier,Marshmello,5896,cy,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,Eastside (with Halsey & Khalid),benny blanco,5377,cy,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,In My Feelings,Drake,5266,cy,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
9,10,Better,Khalid,5192,cy,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
10,11,Be Alright,Dean Lewis,4655,cy,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
11,12,Natural,Imagine Dragons,4283,cy,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
12,13,SICKO MODE,Travis Scott,4060,cy,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
13,14,breathin,Ariana Grande,3928,cy,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
14,15,Thunderclouds,Sia,3833,cy,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
15,16,Electricity (with Dua Lipa),Silk City,3831,cy,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
16,17,Lucid Dreams,Juice WRLD,3714,cy,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
17,18,I Like It,Cardi B,3703,cy,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
18,19,Girls Like You (feat. Cardi B),Maroon 5,3679,cy,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
19,20,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,3608,cy,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
20,21,Wake Up in the Sky,Gucci Mane,3587,cy,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
21,22,No Stylist,French Montana,3466,cy,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
22,23,No Brainer,DJ Khaled,3375,cy,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
23,24,God is a woman,Ariana Grande,3314,cy,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
24,25,Taste (feat. Offset),Tyga,3279,cy,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
25,26,Shotgun,George Ezra,3261,cy,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
26,27,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,3256,cy,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
27,28,Better Now,Post Malone,3237,cy,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
28,29,Jackie Chan,Tiësto,3192,cy,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
29,30,Solo (feat. Demi Lovato),Clean Bandit,3184,cy,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
30,31,no tears left to cry,Ariana Grande,3052,cy,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
31,32,Beautiful (feat. Camila Cabello),Bazzi,2986,cy,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
32,33,The Ringer,Eminem,2955,cy,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
33,34,SAD!,XXXTENTACION,2948,cy,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
34,35,REMEDY,Alesso,2815,cy,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
35,36,Nonstop,Drake,2808,cy,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
36,37,Fall,Eminem,2767,cy,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
37,38,Body (feat. Brando),Loud Luxury,2718,cy,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
38,39,Rise,Jonas Blue,2717,cy,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
39,40,Youngblood,5 Seconds of Summer,2674,cy,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
40,41,Not Alike (feat. Royce Da 5'9),Eminem,2645,cy,28FGV3ORH14MYORd7s5dlU,2018-09-21,2018-09-28,0.342,0.756,-3.746
41,42,One Kiss (with Dua Lipa),Calvin Harris,2611,cy,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
42,43,Ocean (feat. Khalid),Martin Garrix,2611,cy,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
43,44,God's Plan,Drake,2598,cy,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
44,45,rockstar (feat. 21 Savage),Post Malone,2564,cy,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
45,46,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,2534,cy,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
46,47,Nevermind,Dennis Lloyd,2447,cy,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
47,48,Moonlight,XXXTENTACION,2439,cy,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
48,49,Giati,Melisses,2427,cy,0jB3HjnsEVcbBPSt7q5coh,2018-09-21,2018-09-28,0.592,0.394,-7.414
49,50,Happy Now,Zedd,2199,cy,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
50,51,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,2196,cy,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
51,52,Let You Love Me,Rita Ora,2168,cy,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
52,53,Say My Name,David Guetta,2056,cy,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
53,54,2002,Anne-Marie,2035,cy,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
54,55,Want To,Dua Lipa,2028,cy,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
55,56,New Patek,Lil Uzi Vert,2013,cy,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
56,57,Noticed,Lil Mosey,2006,cy,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
57,58,Flames,David Guetta,1971,cy,66BjcDhhwWCcQIBxHMpKXh,2018-09-21,2018-09-28,0.421,0.649,-5.892
58,59,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1957,cy,4hQ6UGyWQIGJmHSo0J88JW,2018-09-21,2018-09-28,0.508,0.724,-4.856
59,60,Jocelyn Flores,XXXTENTACION,1953,cy,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
60,61,Love Someone,Lukas Graham,1942,cy,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
61,62,Kamikaze,Eminem,1936,cy,2gsNpSn7VvvJuSrIDfRoYy,2018-09-21,2018-09-28,0.642,0.808,-5.175
62,63,Venom - Music From The Motion Picture,Eminem,1915,cy,2SL6oP2YAEQbqsrkOzRGO4,2018-09-21,2018-09-28,0.46,0.794,-5.063
63,64,Greatest,Eminem,1904,cy,2XTquzYQAdT1Hk78bOUwsv,2018-09-21,2018-09-28,0.367,0.737,-5.186
64,65,RAP DEVIL,Machine Gun Kelly,1896,cy,43TP6JCWXgkc2D7Xjz5hBr,2018-09-21,2018-09-28,0.767,0.835,-4.662
65,66,IDGAF,Dua Lipa,1874,cy,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
66,67,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1870,cy,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
67,68,I'm a Mess,Bebe Rexha,1857,cy,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
68,69,lovely (with Khalid),Billie Eilish,1833,cy,0u2P5u6lvoDfwTYjAADbn4,2018-09-21,2018-09-28,0.12,0.296,-10.109
69,70,Te Boté - Remix,Nio Garcia,1823,cy,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
70,71,FRIENDS,Marshmello,1794,cy,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
71,72,High On Life (feat. Bonn),Martin Garrix,1787,cy,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
72,73,Havana (feat. Young Thug),Camila Cabello,1781,cy,1rfofaqEpACxVEHIZBJe6W,2018-09-21,2018-09-28,0.394,0.523,-4.333
73,74,Nice For What,Drake,1774,cy,3CA9pLiwRIGtUBiMjbZmRw,2018-09-21,2018-09-28,0.757,0.909,-6.474
74,75,Blah Blah Blah,Armin van Buuren,1771,cy,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
75,76,Thunder,Imagine Dragons,1741,cy,1zB4vmk8tFRmM9UULNzbLB,2018-09-21,2018-09-28,0.288,0.822,-4.833
76,77,Born To Be Yours,Kygo,1703,cy,0kHyKhJMukHEPfeh8s7rdM,2018-09-21,2018-09-28,0.451,0.688,-5.84
77,78,High Hopes,Panic! At The Disco,1687,cy,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
