,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Cizí zeď,ONEMANSHOW Foundation,183605,cz,7nLZ336nDC44S0CCXcCBJm,2018-09-21,2018-09-28,0.66,0.852,-5.79
1,2,Falling Down - Bonus Track,Lil Peep,138674,cz,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,In My Mind,Dynoro,129812,cz,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
3,4,I Love It (& Lil Pump),Kanye West,107505,cz,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
4,5,Natural,Imagine Dragons,97232,cz,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
5,6,Promises (with Sam Smith),Calvin Harris,78607,cz,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
6,7,Happier,Marshmello,74679,cz,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,Lucky You (feat. Joyner Lucas),Eminem,70471,cz,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
8,9,Rise,Jonas Blue,63355,cz,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
9,10,Eastside (with Halsey & Khalid),benny blanco,63233,cz,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
10,11,Be Alright,Dean Lewis,61680,cz,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
11,12,Solo (feat. Demi Lovato),Clean Bandit,61462,cz,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
12,13,Blah Blah Blah,Armin van Buuren,53993,cz,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
13,14,Nevermind,Dennis Lloyd,51322,cz,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
14,15,Better,Khalid,49681,cz,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
15,16,Girls Like You (feat. Cardi B),Maroon 5,49307,cz,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
16,17,In My Feelings,Drake,46107,cz,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
17,18,Thunderclouds,Sia,45789,cz,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
18,19,Born To Be Yours,Kygo,44623,cz,0kHyKhJMukHEPfeh8s7rdM,2018-09-21,2018-09-28,0.451,0.688,-5.84
19,20,Jackie Chan,Tiësto,43546,cz,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
20,21,Electricity (with Dua Lipa),Silk City,43049,cz,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
21,22,Believer,Imagine Dragons,42550,cz,0pqnGHJpmpxLKifKRmU6WP,2018-09-21,2018-09-28,0.666,0.78,-4.374
22,23,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,41729,cz,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
23,24,Thunder,Imagine Dragons,41592,cz,1zB4vmk8tFRmM9UULNzbLB,2018-09-21,2018-09-28,0.288,0.822,-4.833
24,25,Shape of You,Ed Sheeran,40910,cz,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
25,26,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,40757,cz,0cDwUAF7yQrOLRcFfJpSc2,2018-09-21,2018-09-28,0.264,0.652,-7.49
26,27,Killshot,Eminem,40659,cz,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
27,28,Shotgun,George Ezra,40289,cz,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
28,29,Darkside,Alan Walker,39154,cz,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
29,30,One Kiss (with Dua Lipa),Calvin Harris,39142,cz,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
30,31,Happy Now,Zedd,38953,cz,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
31,32,SAD!,XXXTENTACION,38878,cz,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
32,33,Better Now,Post Malone,38827,cz,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
33,34,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,37521,cz,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
34,35,rockstar (feat. 21 Savage),Post Malone,36185,cz,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
35,36,High On Life (feat. Bonn),Martin Garrix,35993,cz,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
36,37,REMEDY,Alesso,35639,cz,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
37,38,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,35187,cz,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
38,39,Body (feat. Brando),Loud Luxury,35008,cz,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
39,40,Wake Up in the Sky,Gucci Mane,34988,cz,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
40,41,breathin,Ariana Grande,34987,cz,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
41,42,High Hopes,Panic! At The Disco,34638,cz,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
42,43,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,33911,cz,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
43,44,Emma Smetana,DJ Rusty,33187,cz,3sEdFCqhm6qwN0ncMpPDqD,2018-09-21,2018-09-28,0.478,0.656,-8.197
44,45,No Brainer,DJ Khaled,32977,cz,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
45,46,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,31951,cz,4hQ6UGyWQIGJmHSo0J88JW,2018-09-21,2018-09-28,0.508,0.724,-4.856
46,47,I Like It,Cardi B,31507,cz,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
47,48,SICKO MODE,Travis Scott,30919,cz,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
48,49,These Days,Rudimental,30373,cz,5CLGzJsGqhCEECcpnFQA8x,2018-09-21,2018-09-28,0.55,0.809,-4.057
49,50,Let You Love Me,Rita Ora,29971,cz,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
50,51,Whatever It Takes,Imagine Dragons,29929,cz,6Qn5zhYkTa37e91HC1D7lb,2018-09-21,2018-09-28,0.556,0.655,-5.021
51,52,Youngblood,5 Seconds of Summer,29750,cz,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
52,53,Fall,Eminem,29294,cz,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
53,54,FRIENDS,Marshmello,29107,cz,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
54,55,The Ringer,Eminem,28812,cz,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
55,56,no tears left to cry,Ariana Grande,28708,cz,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
56,57,No Stylist,French Montana,28654,cz,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
57,58,I'm a Mess,Bebe Rexha,28327,cz,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
58,59,Havana (feat. Young Thug),Camila Cabello,27771,cz,1rfofaqEpACxVEHIZBJe6W,2018-09-21,2018-09-28,0.394,0.523,-4.333
59,60,2002,Anne-Marie,27709,cz,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
60,61,More Than You Know,Axwell /\ Ingrosso,27518,cz,6h5PAsRni4IRlxWr6uDPTP,2018-09-21,2018-09-28,0.571,0.741,-4.973
61,62,IDGAF,Dua Lipa,27362,cz,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
62,63,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,27238,cz,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
63,64,Love Someone,Lukas Graham,26923,cz,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
64,65,Beautiful (feat. Camila Cabello),Bazzi,26829,cz,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
65,66,Perfect,Ed Sheeran,26580,cz,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
66,67,The Middle,Zedd,26424,cz,09IStsImFySgyp0pIQdqAc,2018-09-21,2018-09-28,0.437,0.657,-3.061
67,68,Flames,David Guetta,26348,cz,66BjcDhhwWCcQIBxHMpKXh,2018-09-21,2018-09-28,0.421,0.649,-5.892
68,69,Without You (feat. Sandro Cavazza),Avicii,26128,cz,6Pgkp4qUoTmJIPn7ReaGxL,2018-09-21,2018-09-28,0.276,0.863,-4.799
69,70,Lucid Dreams,Juice WRLD,25664,cz,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
70,71,changes,XXXTENTACION,24770,cz,7AFASza1mXqntmGtbxXprO,2018-09-21,2018-09-28,0.52,0.308,-10.068
71,72,Jocelyn Flores,XXXTENTACION,24045,cz,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
72,73,Zlatokop,Earth,23931,cz,0kOIfVOjrMJAZHyMJx1ThW,2018-09-21,2018-09-28,0.291,0.518,-8.22
73,74,Happier,Ed Sheeran,23857,cz,2RttW7RAu5nOAfq6YFvApB,2018-09-21,2018-09-28,0.236,0.385,-7.355
74,75,Moonlight,XXXTENTACION,23020,cz,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
75,76,Taste (feat. Offset),Tyga,23006,cz,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
76,77,I Like Me Better,Lauv,22851,cz,2P91MQbaiQOfbiz9VqhqKQ,2018-09-21,2018-09-28,0.419,0.505,-7.621
77,78,Feel It Still,Portugal. The Man,22715,cz,6QgjcU0zLnzq5OrUoSZ3OK,2018-09-21,2018-09-28,0.754,0.795,-5.115
78,79,Something Just Like This,The Chainsmokers,22572,cz,6RUKPb4LETWmmr3iAEQktW,2018-09-21,2018-09-28,0.446,0.635,-6.769
79,80,Remind Me to Forget,Kygo,22072,cz,6xTU6B6nFwKKTSZ9ySXS80,2018-09-21,2018-09-28,0.312,0.505,-6.389
80,81,Say My Name,David Guetta,21943,cz,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
81,82,Galway Girl,Ed Sheeran,21787,cz,0afhq8XCExXpqazXczTSve,2018-09-21,2018-09-28,0.781,0.876,-3.374
82,83,Want To,Dua Lipa,21745,cz,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
83,84,Svaz ceskych bohemu,Wohnout,21653,cz,0twbASvGKPDvbWviKZcpyy,2018-09-21,2018-09-28,0.514,0.79,-6.989
84,85,Noticed,Lil Mosey,21128,cz,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
85,86,Kamikaze,Eminem,21113,cz,2gsNpSn7VvvJuSrIDfRoYy,2018-09-21,2018-09-28,0.642,0.808,-5.175
86,87,Sick Boy,The Chainsmokers,21111,cz,2SxsI73qXm0rJ89Kp5JnpT,2018-09-21,2018-09-28,0.462,0.58,-7.524
87,88,Save That Shit,Lil Peep,20888,cz,0S0vWvyZ6Rc79TXkWxT9QA,2018-09-21,2018-09-28,0.145,0.583,-8.672
88,89,Venom - Music From The Motion Picture,Eminem,20725,cz,2SL6oP2YAEQbqsrkOzRGO4,2018-09-21,2018-09-28,0.46,0.794,-5.063
89,90,God's Plan,Drake,20491,cz,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
90,91,Next To Me,Imagine Dragons,20412,cz,31VOknKjFrEX47bZXzqcoF,2018-09-21,2018-09-28,0.384,0.672,-4.497
91,92,Greatest,Eminem,20374,cz,2XTquzYQAdT1Hk78bOUwsv,2018-09-21,2018-09-28,0.367,0.737,-5.186
92,93,BEBE,6ix9ine,20228,cz,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
93,94,Stargazing,Kygo,20202,cz,0Zbbxnx4SGGHoIow4PpISP,2018-09-21,2018-09-28,0.419,0.497,-5.763
94,95,New Rules,Dua Lipa,20151,cz,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
95,96,Pasáctví,Sergei Barracuda,20123,cz,2ACjOCIhlle6WBaJFCqtck,2018-09-21,2018-09-28,0.591,0.554,-10.75
96,97,God is a woman,Ariana Grande,19967,cz,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
97,98,Vibe,Earth,19938,cz,4X4w3ePPB30QupDk0VLo7g,2018-09-21,2018-09-28,0.663,0.861,-3.663
98,99,New Patek,Lil Uzi Vert,19890,cz,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
99,100,Ocean (feat. Khalid),Martin Garrix,19757,cz,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
