,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Kokain,Bonez MC,4045984,de,1H3oIeKUEHpBhXUiso0IMH,2018-09-21,2018-09-28,0.608,0.677,-7.906
1,2,UFF,Veysel,3652684,de,6XjEOPgbgHKcaHcunEHSJJ,2018-09-21,2018-09-28,0.311,0.828,-3.559
2,3,BONNIE & CLYDE,Loredana,3524415,de,5UtiebKGhsSce9gX1qCqic,2018-09-21,2018-09-28,0.637,0.62,-4.832
3,4,INTERNATIONAL GANGSTAS,Farid Bang,3122462,de,4IAVIBh9jbYN30DwpHFMD4,2018-09-21,2018-09-28,0.393,0.622,-6.297
4,5,500 PS,Bonez MC,2923684,de,641R77CBy4bOLGRcA9sgHy,2018-09-21,2018-09-28,0.836,0.923,-5.885
5,6,In My Mind,Dynoro,2900836,de,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
6,7,Dior 2001,RIN,2692385,de,2eNSyVH3sNPiAj9WpRYK73,2018-09-21,2018-09-28,0.473,0.699,-5.892
7,8,Facetime,Dardan,2665586,de,0oZyouBDStcJEUbTmSfys2,2018-09-21,2018-09-28,0.446,0.682,-6.873
8,9,I Love It (& Lil Pump),Kanye West,2431978,de,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
9,10,Melodien (feat. Juju),Capital Bra,2248263,de,5d35jcJj7WjDQBOHCHPY6t,2018-09-21,2018-09-28,0.33,0.529,-7.407
10,11,Falling Down - Bonus Track,Lil Peep,2142906,de,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
11,12,Promises (with Sam Smith),Calvin Harris,2022738,de,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
12,13,Risiko,Bonez MC,1992781,de,0mjbIwkdLPK5g2nGzhacjU,2018-09-21,2018-09-28,0.226,0.74,-7.21
13,14,Happier,Marshmello,1895013,de,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
14,15,Casanova,Summer Cem,1583985,de,0jB0RNZIfaihaDKNmdrI40,2018-09-21,2018-09-28,0.195,0.588,-4.461
15,16,Eastside (with Halsey & Khalid),benny blanco,1571899,de,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
16,17,Copacabana,Leon Machère,1501148,de,214Mx6MSJhtaO1uPtZGqLH,2018-09-21,2018-09-28,0.623,0.849,-5.709
17,18,Body (feat. Brando),Loud Luxury,1496735,de,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
18,19,BlaBla,Azzi Memo,1493392,de,4mGxpq4nAOz9ZHe7GmPcgO,2018-09-21,2018-09-28,0.524,0.788,-6.369
19,20,Wie ein Alpha,Kollegah,1481203,de,6ctK397vh20Ok72DMhbRI6,2018-09-21,2018-09-28,0.414,0.689,-8.339
20,21,Wellou,Kurdo,1436055,de,1phPPgHcR590i0y8c9H36r,2018-09-21,2018-09-28,0.729,0.776,-5.771
21,22,Rise,Jonas Blue,1393822,de,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
