,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Love Someone,Lukas Graham,788734,dk,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
1,2,Falling Down - Bonus Track,Lil Peep,657306,dk,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,I Love It (& Lil Pump),Kanye West,636611,dk,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,Eastside (with Halsey & Khalid),benny blanco,514668,dk,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
4,5,Promises (with Sam Smith),Calvin Harris,464637,dk,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
5,6,Shotgun,George Ezra,450286,dk,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
6,7,Better,Khalid,428446,dk,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
7,8,Su Casa,KESI,414865,dk,4yF9erb9bMUIRXr6QdPgP4,2018-09-21,2018-09-28,0.916,0.751,-4.144
8,9,Chopper Tale (feat. Branco & Gilli),ATYPISK,408041,dk,6vOwDZnFovhiJiQEgiePTE,2018-09-21,2018-09-28,0.436,0.569,-5.897
9,10,Be Alright,Dean Lewis,393741,dk,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
10,11,In My Mind,Dynoro,387295,dk,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
11,12,Body (feat. Brando),Loud Luxury,372867,dk,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
12,13,AMG,MellemFingaMuzik,355514,dk,12upFOLFbpQ5nTENWm2Glj,2018-09-21,2018-09-28,0.336,0.639,-4.967
13,14,Happier,Marshmello,349049,dk,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
14,15,Rum Bum Bum,NAVID,310485,dk,0QzldbZnd9gLpor4S2EzJc,2018-09-21,2018-09-28,0.784,0.624,-5.478
15,16,Tjep (feat. Kesi),Benny Jamz,305521,dk,6Xc6N2ptIEj8z77KDLlj9g,2018-09-21,2018-09-28,0.806,0.613,-5.788
16,17,Lucid Dreams,Juice WRLD,294009,dk,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
17,18,Youngblood,5 Seconds of Summer,280860,dk,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
18,19,Lucky You (feat. Joyner Lucas),Eminem,275455,dk,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
19,20,Oui,Sivas,236340,dk,7j8K8PE1tO2TvhY15E8ZcD,2018-09-21,2018-09-28,0.453,0.802,-6.507
20,21,Blah Blah Blah,Armin van Buuren,233325,dk,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
21,22,In My Feelings,Drake,228603,dk,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
22,23,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,227880,dk,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
23,24,Taste (feat. Offset),Tyga,226628,dk,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
24,25,Killshot,Eminem,225217,dk,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
25,26,Desert Eagle,ZK,215694,dk,02vZaMYB8dM8lF9AN1KzJs,2018-09-21,2018-09-28,0.636,0.747,-4.724
26,27,No Brainer,DJ Khaled,212430,dk,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
27,28,New Eyes,Nicklas Sahl,203524,dk,5nvPhsgDEqEHQ3bLTfqDsd,2018-09-21,2018-09-28,0.568,0.533,-6.083
28,29,No Stylist,French Montana,199866,dk,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
29,30,Kom Over,KESI,198543,dk,6Lu7LCf7t7V6X7i4NQywcT,2018-09-21,2018-09-28,0.651,0.69,-5.352
30,31,Bedre Dage (feat. PAY),Omar,197601,dk,0MsrVYtuuRZqqgfUlZyqoY,2018-09-21,2018-09-28,0.243,0.602,-5.125
31,32,Rise,Jonas Blue,195466,dk,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
32,33,Girls Like You (feat. Cardi B),Maroon 5,189418,dk,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
33,34,SAD!,XXXTENTACION,188885,dk,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
34,35,No Romantico (feat. si_el_bien),NODE,183947,dk,2bvLpM4LmYaTGK2AI5ENCk,2018-09-21,2018-09-28,0.647,0.739,-6.642
35,36,SICKO MODE,Travis Scott,183486,dk,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
36,37,Better Now,Post Malone,179368,dk,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
37,38,Thunderclouds,Sia,174276,dk,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
38,39,Wild,Hugo Helmig,173895,dk,0kTUf60V9AQTqNVKZAmJKc,2018-09-21,2018-09-28,0.767,0.72,-5.661
