,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Ya No Tiene Novio,Sebastian Yatra,184949,ec,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
1,2,Cuando Te Besé,Becky G,175193,ec,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
2,3,Vaina Loca,Ozuna,173901,ec,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
3,4,Mala Mía,Maluma,170914,ec,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
4,5,BEBE,6ix9ine,158836,ec,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
5,6,No Es Justo,J Balvin,151798,ec,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
6,7,Quiere Beber,Anuel AA,149220,ec,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
7,8,Amigos Con Derechos,Reik,123768,ec,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
8,9,Justicia,Silvestre Dangond,121536,ec,6ipp8Dhs33KinlF4BStgca,2018-09-21,2018-09-28,0.733,0.899,-1.098
9,10,Culpables,Manuel Turizo,117182,ec,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
10,11,Sin Pijama,Becky G,116831,ec,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
11,12,Te Boté - Remix,Nio Garcia,116064,ec,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
12,13,Mocca,Lalo Ebratt,113445,ec,0NKoPGc72yUKTIneVhFfg1,2018-09-21,2018-09-28,0.591,0.695,-5.343
13,14,Asesina,Brytiago,109153,ec,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
14,15,Por Perro,Sebastian Yatra,109093,ec,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
15,16,Culpables,KAROL G,105484,ec,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
16,17,La player (Bandolera),Zion & Lennox,100722,ec,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
17,18,Toda - Remix,Alex Rose,97049,ec,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
18,19,No Me Acuerdo,Thalía,95556,ec,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
19,20,Clandestino,Shakira,92234,ec,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
20,21,PPP,Kevin Roldan,90778,ec,1DcxnVNFAyVl2sDQ646pXS,2018-09-21,2018-09-28,0.712,0.65,-6.839
21,22,Hipócrita,Anuel AA,80975,ec,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
22,23,Ni Gucci Ni Prada,Kenny Man,73733,ec,32lexhcz93AinKK0qLTZaZ,2018-09-21,2018-09-28,0.91,0.676,-5.644
23,24,Me Niego (feat. Ozuna & Wisin),Reik,72066,ec,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
24,25,Calypso,Luis Fonsi,70295,ec,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
25,26,Cuando Nadie Ve,Morat,68909,ec,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
26,27,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,67185,ec,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
27,28,Te Amo,Piso 21,67158,ec,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
28,29,Chica Paranormal,Paulo Londra,65913,ec,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
29,30,I Like It,Cardi B,64388,ec,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
30,31,Celoso,Lele Pons,63094,ec,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
31,32,X - Remix,Nicky Jam,62553,ec,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
32,33,Madura (feat. Bad Bunny),Cosculluela,60271,ec,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
33,34,No Hay Nadie Más,Sebastian Yatra,60025,ec,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
34,35,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,56647,ec,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
35,36,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,55771,ec,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
36,37,Me Dijeron,Ozuna,55547,ec,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
37,38,Duro y Suave,Leslie Grace,55506,ec,31M5m42C3EGlbydf9XB5to,2018-09-21,2018-09-28,0.618,0.721,-4.483
38,39,Dura - Remix,Daddy Yankee,55467,ec,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
39,40,Unica,Ozuna,54638,ec,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
40,41,Epa Wei,Danny Ocean,53937,ec,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
41,42,Mi Cama - Remix,KAROL G,53886,ec,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
