,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,45519,ee,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,öölaps!,Nublu,35027,ee,70qZhu8T6VHpeugYFZCnVk,2018-09-21,2018-09-28,0.644,0.486,-8.6
2,3,I Love It (& Lil Pump),Kanye West,32439,ee,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,Promises (with Sam Smith),Calvin Harris,29081,ee,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Mina Ka,Nublu,26795,ee,4WTIwGBQobHLNo320RhOWW,2018-09-21,2018-09-28,0.58,0.311,-19.23
5,6,In My Mind,Dynoro,26172,ee,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
6,7,Happier,Marshmello,19283,ee,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,2 Quick Start,Nublu,18990,ee,60mPI11SKSZFlLKzt3KXv5,2018-09-21,2018-09-28,0.717,0.439,-7.31
8,9,Lucky You (feat. Joyner Lucas),Eminem,18701,ee,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
9,10,Eastside (with Halsey & Khalid),benny blanco,18685,ee,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
10,11,Be Alright,Dean Lewis,16515,ee,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
11,12,Better,Khalid,15218,ee,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
12,13,Lucid Dreams,Juice WRLD,14928,ee,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
13,14,REMEDY,Alesso,13952,ee,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
14,15,Thunderclouds,Sia,13174,ee,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
15,16,Better Now,Post Malone,13141,ee,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
16,17,Natural,Imagine Dragons,12871,ee,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
17,18,In My Feelings,Drake,12841,ee,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
18,19,SAD!,XXXTENTACION,12433,ee,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
19,20,Nevermind,Dennis Lloyd,12084,ee,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
20,21,I Got Love,MiyaGi & Endshpil,11890,ee,5rwsJbBNa8SfPW4oFA1GjP,2018-09-21,2018-09-28,0.233,0.872,-4.361
21,22,Rulli Rulli Rulli - Nublu Remix,Öed,11857,ee,5qdzvhnYpGt6rogTlOcJe3,2018-09-21,2018-09-28,0.652,0.697,-8.504
22,23,Wake Up in the Sky,Gucci Mane,11569,ee,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
23,24,Body (feat. Brando),Loud Luxury,11510,ee,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
24,25,breathin,Ariana Grande,11383,ee,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
25,26,Electricity (with Dua Lipa),Silk City,11343,ee,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
26,27,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,10977,ee,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
27,28,Killshot,Eminem,10814,ee,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
28,29,Beautiful (feat. Camila Cabello),Bazzi,10530,ee,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
29,30,Youngblood,5 Seconds of Summer,10298,ee,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
30,31,Happy Now,Zedd,10113,ee,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
31,32,Jocelyn Flores,XXXTENTACION,9976,ee,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
32,33,SICKO MODE,Travis Scott,9969,ee,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
33,34,Shotgun,George Ezra,9765,ee,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
34,35,Darkside,Alan Walker,9614,ee,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
35,36,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,9521,ee,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
36,37,Let You Love Me,Rita Ora,9326,ee,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
37,38,Jackie Chan,Tiësto,9304,ee,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
38,39,Moonlight,XXXTENTACION,9296,ee,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
39,40,High On Life (feat. Bonn),Martin Garrix,9210,ee,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
40,41,Girls Like You (feat. Cardi B),Maroon 5,9076,ee,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
41,42,rockstar (feat. 21 Savage),Post Malone,8930,ee,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
42,43,No Stylist,French Montana,8829,ee,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
43,44,Solo (feat. Demi Lovato),Clean Bandit,8578,ee,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
44,45,Ocean (feat. Khalid),Martin Garrix,8482,ee,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
45,46,Rise,Jonas Blue,8473,ee,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
46,47,Trenažöör,5MIINUST,8201,ee,6CUrRWNO3KlHuvuw8yESSU,2018-09-21,2018-09-28,0.21,0.795,-7.98
47,48,The Ringer,Eminem,8158,ee,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
48,49,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,7983,ee,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
