,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Vaina Loca,Ozuna,2223402,es,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
1,2,BEBE,6ix9ine,2082873,es,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
2,3,TELÉFONO,Aitana,2004893,es,5h8VHxOBK1VWWj46T8fSly,2018-09-21,2018-09-28,0.564,0.829,-4.627
3,4,Mujeres,Mozart La Para,1921702,es,6xLvYhLOW2oETJoZv8ChU8,2018-09-21,2018-09-28,0.71,0.767,-5.699
4,5,No Es Justo,J Balvin,1767694,es,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
5,6,Quiere Beber,Anuel AA,1633144,es,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
6,7,Ni La Hora,Ana Guerra,1619987,es,1he4G9w0zh5GokInpOSINW,2018-09-21,2018-09-28,0.958,0.789,-2.738
7,8,No Me Acuerdo,Thalía,1519436,es,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
8,9,Sin Pijama,Becky G,1516511,es,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
9,10,Usted,Juan Magán,1492645,es,79HTe42PihWUUq4BDjcuCq,2018-09-21,2018-09-28,0.326,0.833,-4.101
10,11,Ya No Quiero Ná,Lola Indigo,1379508,es,2A2Q4CYBcVvBF2OqgJ3OWX,2018-09-21,2018-09-28,0.367,0.467,-7.178
11,12,Cuando Te Besé,Becky G,1349560,es,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
12,13,Mala Mía,Maluma,1285048,es,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
13,14,Celoso,Lele Pons,1273491,es,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
14,15,Te Boté - Remix,Nio Garcia,1245180,es,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
15,16,Asesina,Brytiago,1203222,es,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
16,17,Clandestino,Shakira,1134501,es,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
17,18,Ibiza,Ozuna,1130925,es,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
18,19,Déjala Que Baile,Melendi,1108819,es,2KK9N6iBAisA0booTu3bGd,2018-09-21,2018-09-28,0.598,0.777,-4.456
19,20,Bien Duro,C. Tangana,1098658,es,3joo84oco9CD4dBsKNWRRW,2018-09-21,2018-09-28,0.69,0.67,-5.873
20,21,Cuando Nadie Ve,Morat,1080971,es,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
21,22,La Cintura,Alvaro Soler,928454,es,355kY0VYYf2AUOnUsU56Xq,2018-09-21,2018-09-28,0.742,0.845,-4.102
22,23,MALAMENTE - Cap.1: Augurio,ROSALÍA,921865,es,5zOAudPQIs5U8zP6LQGHmH,2018-09-21,2018-09-28,0.52,0.483,-4.709
23,24,Culpables,KAROL G,912954,es,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
24,25,I Like It,Cardi B,883417,es,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
25,26,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",Steve Aoki,844871,es,5e45GhSF18JYoLpaq2F48h,2018-09-21,2018-09-28,0.818,0.942,-2.889
26,27,Me Dijeron,Ozuna,834578,es,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
27,28,X - Remix,Nicky Jam,831479,es,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
28,29,Él no soy yo,Blas Cantó,830641,es,38mCl4EuWhML4eaZPdNQ3a,2018-09-21,2018-09-28,0.405,0.727,-7.679
29,30,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,821802,es,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
30,31,Ya No Tiene Novio,Sebastian Yatra,816573,es,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
31,32,Solo (feat. Demi Lovato),Clean Bandit,803759,es,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
32,33,Mi Cama - Remix,KAROL G,801852,es,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
33,34,Me Niego (feat. Ozuna & Wisin),Reik,798874,es,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
34,35,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,786378,es,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
35,36,Duro y Suave,Leslie Grace,772198,es,31M5m42C3EGlbydf9XB5to,2018-09-21,2018-09-28,0.618,0.721,-4.483
36,37,Amigos Con Derechos,Reik,756358,es,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
37,38,Estamos Bien,Bad Bunny,744816,es,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
38,39,Toda - Remix,Alex Rose,742328,es,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
39,40,La player (Bandolera),Zion & Lennox,733220,es,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
40,41,Qué Tienes Tú,Dvicio,722834,es,4txQPJDlvU72lC6EMhT7m9,2018-09-21,2018-09-28,0.524,0.836,-3.267
41,42,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,718408,es,0qKxqVcFCMmrjjvIgjjEE6,2018-09-21,2018-09-28,0.407,0.685,-5.735
42,43,Madura (feat. Bad Bunny),Cosculluela,704455,es,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
43,44,Hipócrita,Anuel AA,687125,es,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
44,45,Girls Like You (feat. Cardi B),Maroon 5,666658,es,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
45,46,I Love It (& Lil Pump),Kanye West,647735,es,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
