,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,685144,fi,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,Mulkut - Vain Elämää Kausi 9,Pyhimys,494922,fi,2kby1hpTWuRzTfM20T9mrq,2018-09-21,2018-09-28,0.732,0.832,-4.846
2,3,I Love It (& Lil Pump),Kanye West,396137,fi,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,Perutaan Häät - Vain Elämää Kausi 9,Teflon Brothers,377754,fi,6lz4EdYV6oWYdAADxOleEz,2018-09-21,2018-09-28,0.608,0.815,-7.008
4,5,In My Mind,Dynoro,375946,fi,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
5,6,Planeetat,Ida Paul & Kalle Lindroth,316261,fi,5T0V37aEWjTmR1EKDVrCT1,2018-09-21,2018-09-28,0.364,0.458,-8.208
6,7,Lucky You (feat. Joyner Lucas),Eminem,302633,fi,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
7,8,Kyynelten virta,Reino Nordin,297430,fi,363JrcPMzb2x6lHCTjf9WM,2018-09-21,2018-09-28,0.287,0.565,-6.969
8,9,Funeral Song (Vain elämää kausi 9),Ellinoora,285742,fi,7KCQCgw903m8P7PEbHrOZi,2018-09-21,2018-09-28,0.143,0.511,-7.25
9,10,Promises (with Sam Smith),Calvin Harris,277201,fi,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
10,11,Asfalttiviidakko - Vain Elämää Kausi 9,Evelina,267655,fi,7FCxlHGvfI7FvuTJWDBwJB,2018-09-21,2018-09-28,0.424,0.805,-3.285
11,12,XTC,Lukas Leon,264034,fi,17OUBczN4xbjuCDcx0xmXL,2018-09-21,2018-09-28,0.743,0.822,-5.344
