,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Ramenez la coupe à la maison,Vegedream,1977939,fr,1m0UFnuTktOkksvjbF9z0m,2018-09-21,2018-09-28,0.804,0.661,-6.237
1,2,Air Max,Rim'K,1808213,fr,6qk9lEM6UIxNbAuI0PpOLu,2018-09-21,2018-09-28,0.551,0.591,-7.338
2,3,Moscow,RK,1492061,fr,6tdd3zR2Q8p1VgqvsGvtju,2018-09-21,2018-09-28,0.445,0.672,-5.22
3,4,Copines,Aya Nakamura,1489400,fr,3AZg5nZgMquXJ67KgpngKX,2018-09-21,2018-09-28,0.896,0.778,-3.985
4,5,Bella,MHD,1472688,fr,0O4XHiuVt3dBaOzSI49BtF,2018-09-21,2018-09-28,0.653,0.639,-6.633
5,6,Ma 6t a craqué (feat. Ninho),Kpoint,1398521,fr,2NUIWpL6IsYGkwfSN7basS,2018-09-21,2018-09-28,0.815,0.684,-8.478
6,7,Bae,RK,1196185,fr,5as5HurTt4u7BuFIT5j8am,2018-09-21,2018-09-28,0.658,0.654,-5.971
7,8,91's,PNL,1143080,fr,58st6r10Ze6QomHs0BMUA8,2018-09-21,2018-09-28,0.243,0.668,-8.837
8,9,In My Mind,Dynoro,1106383,fr,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
9,10,Taga,Hornet La Frappe,1075313,fr,4LaetMVulXier6VgeK6LtM,2018-09-21,2018-09-28,0.476,0.671,-5.994
10,11,1000°C,Lomepal,1067934,fr,4lzjE9GlGamkuYqQBfCY8R,2018-09-21,2018-09-28,0.403,0.539,-8.084
11,12,24 carats,RK,943877,fr,1leeEohWV02ifmrJPC8vNY,2018-09-21,2018-09-28,0.471,0.617,-7.119
12,13,Rolls (feat. Lacrim),Hornet La Frappe,942951,fr,3iYv5nIthPXesF0DeuhmVL,2018-09-21,2018-09-28,0.563,0.784,-7.056
13,14,J'me balade,RK,911767,fr,02ij9yuZr4jjdTB4qwsFDe,2018-09-21,2018-09-28,0.635,0.704,-6.744
14,15,Tierquar,RK,905220,fr,6d5zcYtRiTu6MLgWh7HKOc,2018-09-21,2018-09-28,0.555,0.457,-6.234
15,16,Qui je suis,RK,901365,fr,5ljnqaI6x5IaYxKQ86eo6B,2018-09-21,2018-09-28,0.55,0.59,-6.807
16,17,Sheitana (feat. Ninho),Hornet La Frappe,889518,fr,1GOIfWQmA3Tp6GlwcCd35K,2018-09-21,2018-09-28,0.718,0.626,-6.483
17,18,W.L.G,Niska,885907,fr,13E2wgUjmdunrlq3Vbxv8T,2018-09-21,2018-09-28,0.447,0.624,-5.781
18,19,#DansLeTierquar (Nantes),RK,881644,fr,3MQuCR2TFmqm34qvckAVjJ,2018-09-21,2018-09-28,0.303,0.612,-8.139
19,20,Bébé,MHD,856796,fr,2sjJrFhDT0oP3fyCocTVyX,2018-09-21,2018-09-28,0.839,0.672,-8.078
20,21,On sait,RK,848876,fr,1TNw5pDSZNQ3uLsq3bcYAH,2018-09-21,2018-09-28,0.528,0.518,-7.087
21,22,Mon reuf,RK,841147,fr,3r8mIGZFYH10rg7X34RmmI,2018-09-21,2018-09-28,0.338,0.71,-4.837
22,23,Dans ma chambre,RK,827261,fr,7DM1INNIqjaHNcEoDgc9ws,2018-09-21,2018-09-28,0.667,0.632,-7.24
23,24,Feu de bois,Damso,822995,fr,4L0Iwsk1s8cbdBcEgdm8K5,2018-09-21,2018-09-28,0.262,0.633,-6.269
24,25,Alright,Jain,819796,fr,44ahv3Zj4FOJoy8gJLZF9B,2018-09-21,2018-09-28,0.598,0.611,-8.057
25,26,Cramé,RK,796675,fr,7v1lXEuTjSVsp8Y0V6I8lJ,2018-09-21,2018-09-28,0.712,0.622,-6.905
26,27,I Love It (& Lil Pump),Kanye West,794577,fr,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
27,28,Train de vie,Koba LaD,774541,fr,3Tm8FfsoIgqk1gXHrOION9,2018-09-21,2018-09-28,0.418,0.641,-5.585
28,29,Solo (feat. Demi Lovato),Clean Bandit,768472,fr,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
29,30,La C,Koba LaD,763927,fr,4A6V8yOXo7oz6oYhdfHrLl,2018-09-21,2018-09-28,0.638,0.719,-6.221
30,31,XIX,MHD,760844,fr,1QE5ZA4YsqWdIAK7DGGMT2,2018-09-21,2018-09-28,0.334,0.591,-5.756
31,32,Pas les mêmes,RK,746265,fr,0sl32EXdMbB9Ml5ZArh04C,2018-09-21,2018-09-28,0.496,0.663,-6.482
32,33,Oyé,Koba LaD,735430,fr,1wAkwrrlP3j4X49YoS5tpq,2018-09-21,2018-09-28,0.437,0.583,-4.915
33,34,Falling Down - Bonus Track,Lil Peep,733051,fr,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
34,35,Billets verts,Maes,732366,fr,61SYuUg9rokbvIPxzrhxd0,2018-09-21,2018-09-28,0.393,0.59,-8.762
35,36,Dalida,Soolking,730312,fr,4J7XN3KBqVH0ftG52SpkRf,2018-09-21,2018-09-28,0.467,0.723,-4.66
36,37,J'repars à la guerre,RK,712812,fr,3SOZQfpt6p1Fh6bTj07AVp,2018-09-21,2018-09-28,0.484,0.708,-5.955
37,38,Promises (with Sam Smith),Calvin Harris,704264,fr,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
38,39,Entre les murs (feat. Ninho),DA Uzi,702618,fr,3eiuxHgjBs0ZHYgyapxD4d,2018-09-21,2018-09-28,0.406,0.308,-13.086
39,40,Django,Dadju,678679,fr,14hLSMLJ86sHRklJ62tH58,2018-09-21,2018-09-28,0.717,0.587,-6.771
40,41,Callumejo,RK,674816,fr,6iXwQm5w5CkzIlUrqdrZrt,2018-09-21,2018-09-28,0.789,0.679,-7.448
41,42,Otto,SCH,656431,fr,5TMvoLmSvPk4pmWKcWfzTz,2018-09-21,2018-09-28,0.225,0.596,-8.327
42,43,Sur le drapeau,Suprême NTM,650999,fr,42Xesu4U4nM3CCjMk5X3kM,2018-09-21,2018-09-28,0.625,0.902,-5.759
43,44,Bénéfice,RK,649187,fr,7LQmJrzDK9pqELfkW0u7ze,2018-09-21,2018-09-28,0.583,0.829,-6.122
44,45,In My Feelings,Drake,644926,fr,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
45,46,Blah Blah Blah,Armin van Buuren,620893,fr,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
46,47,Nevermind,Dennis Lloyd,620725,fr,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
47,48,Même secteur (feat. Heuss L'enfoiré),Hornet La Frappe,593931,fr,6goHH5bPPiSkrA45xFFrIP,2018-09-21,2018-09-28,0.628,0.6,-5.421
48,49,#DansLeTierquar (Marseille),RK,585192,fr,0RSzdTcPNl67DkeChzERsj,2018-09-21,2018-09-28,0.198,0.795,-6.488
49,50,Girls Like You (feat. Cardi B),Maroon 5,582666,fr,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
50,51,Complètement sonné,KeBlack,580066,fr,4bZOVCf1wiNELuCH34rFDl,2018-09-21,2018-09-28,0.731,0.677,-5.771
51,52,Juste pour voir,S.Pri Noir,578167,fr,0JOJx8jx0dWZk33MsvRZrB,2018-09-21,2018-09-28,0.477,0.617,-7.144
52,53,Djadja,Aya Nakamura,577291,fr,3XfnssSD9HMQ9LhVOJvXTE,2018-09-21,2018-09-28,0.559,0.698,-6.215
53,54,Papalé,MHD,568091,fr,6ucXzCsG2XI9USWgC5snPr,2018-09-21,2018-09-28,0.83,0.884,-3.247
54,55,Adieu bientôt,Columbine,564209,fr,0nauWQtOaFKUtpLUMPyxmG,2018-09-21,2018-09-28,0.25,0.648,-7.616
55,56,Parano,RK,563623,fr,3Sal2zAdf35VB5AoJwGboq,2018-09-21,2018-09-28,0.371,0.671,-5.394
56,57,Encore,MHD,554491,fr,0zMh8TfG17o2omRXPGKI3w,2018-09-21,2018-09-28,0.801,0.9,-4.979
57,58,Luna,Moha La Squale,553897,fr,55PyQALchJn43CGeN6XHAN,2018-09-21,2018-09-28,0.516,0.774,-3.378
58,59,Rise,Jonas Blue,544353,fr,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
59,60,Demain - Bigflo & Oli X Petit Biscuit,Bigflo & Oli,539847,fr,79m95shJaTK0aSogeQQTyD,2018-09-21,2018-09-28,0.472,0.709,-5.966
60,61,Audio,Sia,539567,fr,7boPPE857KEqCIHNwFkDop,2018-09-21,2018-09-28,0.372,0.692,-4.586
61,62,Smog,Damso,534790,fr,1h1wmYG39fp6ZTgwlJ3Cv3,2018-09-21,2018-09-28,0.489,0.679,-6.051
62,63,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,532379,fr,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
