,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,33921412,global,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,32511658,global,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,Happier,Marshmello,24222554,global,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
3,4,In My Feelings,Drake,22304777,global,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
4,5,Eastside (with Halsey & Khalid),benny blanco,22293206,global,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
5,6,Promises (with Sam Smith),Calvin Harris,21838886,global,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
6,7,In My Mind,Dynoro,21515150,global,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
7,8,Lucky You (feat. Joyner Lucas),Eminem,21396072,global,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
8,9,Lucid Dreams,Juice WRLD,18879687,global,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
9,10,SICKO MODE,Travis Scott,18709601,global,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
10,11,Girls Like You (feat. Cardi B),Maroon 5,17296395,global,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
11,12,Better,Khalid,17251714,global,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
12,13,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,17127554,global,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
13,14,Be Alright,Dean Lewis,16717631,global,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
14,15,Electricity (with Dua Lipa),Silk City,15870224,global,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
15,16,SAD!,XXXTENTACION,15723393,global,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
16,17,BEBE,6ix9ine,15026546,global,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
17,18,Vaina Loca,Ozuna,14723927,global,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
18,19,Taste (feat. Offset),Tyga,14480000,global,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
19,20,I Like It,Cardi B,14444816,global,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
20,21,Natural,Imagine Dragons,13827723,global,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
21,22,No Brainer,DJ Khaled,13807793,global,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
