,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,57242,gr,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Lucky You (feat. Joyner Lucas),Eminem,47369,gr,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
2,3,Falling Down - Bonus Track,Lil Peep,45740,gr,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
3,4,In My Feelings,Drake,37182,gr,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
4,5,Promises (with Sam Smith),Calvin Harris,36040,gr,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
5,6,SICKO MODE,Travis Scott,32219,gr,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
6,7,Killshot,Eminem,31939,gr,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
7,8,Happier,Marshmello,30072,gr,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
8,9,In My Mind,Dynoro,28722,gr,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
9,10,Better,Khalid,28459,gr,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
10,11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,27753,gr,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
11,12,Eastside (with Halsey & Khalid),benny blanco,27011,gr,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
