,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Vaina Loca,Ozuna,103617,gt,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
1,2,Quiere Beber,Anuel AA,92325,gt,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
2,3,No Es Justo,J Balvin,84615,gt,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
3,4,BEBE,6ix9ine,84071,gt,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
4,5,Cuando Te Besé,Becky G,72929,gt,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
5,6,Te Boté - Remix,Nio Garcia,66533,gt,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
6,7,La player (Bandolera),Zion & Lennox,65594,gt,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
7,8,Mala Mía,Maluma,61133,gt,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
8,9,Amigos Con Derechos,Reik,58636,gt,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
9,10,Sin Pijama,Becky G,55426,gt,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
10,11,Por Perro,Sebastian Yatra,55161,gt,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
11,12,Hipócrita,Anuel AA,54598,gt,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
12,13,Toda - Remix,Alex Rose,54553,gt,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
13,14,Culpables,Manuel Turizo,52137,gt,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
14,15,Ya No Tiene Novio,Sebastian Yatra,50545,gt,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
15,16,Asesina,Brytiago,50059,gt,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
16,17,Culpables,KAROL G,47297,gt,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
17,18,PPP,Kevin Roldan,45655,gt,1DcxnVNFAyVl2sDQ646pXS,2018-09-21,2018-09-28,0.712,0.65,-6.839
18,19,Clandestino,Shakira,43174,gt,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
19,20,Estamos Bien,Bad Bunny,42029,gt,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
20,21,No Me Acuerdo,Thalía,41986,gt,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
21,22,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,41060,gt,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
22,23,Te Amo,Piso 21,39810,gt,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
23,24,Madura (feat. Bad Bunny),Cosculluela,38975,gt,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
24,25,Me Niego (feat. Ozuna & Wisin),Reik,38556,gt,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
25,26,I Like It,Cardi B,38543,gt,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
26,27,Unica,Ozuna,38478,gt,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
27,28,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,38089,gt,7FEmLU7M5aZ5O7FlOdxB33,2018-09-21,2018-09-28,0.617,0.434,-4.455
28,29,Epa Wei,Danny Ocean,36687,gt,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
29,30,X - Remix,Nicky Jam,34877,gt,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
30,31,Dura - Remix,Daddy Yankee,33645,gt,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
31,32,In My Feelings,Drake,32954,gt,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
32,33,Déjala que vuelva (feat. Manuel Turizo),Piso 21,32893,gt,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
33,34,Ibiza,Ozuna,32487,gt,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
34,35,Chica Paranormal,Paulo Londra,32469,gt,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
35,36,Me Dijeron,Ozuna,30973,gt,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
36,37,Girls Like You (feat. Cardi B),Maroon 5,30446,gt,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
37,38,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,30022,gt,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
38,39,Dembow,Danny Ocean,29278,gt,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
39,40,Falling Down - Bonus Track,Lil Peep,28978,gt,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
40,41,Ponle,Rvssian,28459,gt,28O1p0bQXH2F6Qn8jBZZR4,2018-09-21,2018-09-28,0.589,0.772,-4.736
41,42,No Hay Nadie Más,Sebastian Yatra,28286,gt,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
42,43,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,28069,gt,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
43,44,Mi Cama - Remix,KAROL G,27927,gt,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
44,45,Me Rehúso,Danny Ocean,26655,gt,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
45,46,Brindemos,Anuel AA,26495,gt,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
