,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Head Above Water,Avril Lavigne,86895,hk,1N7YeVU0ZwAFbOhwM61ef6,2018-09-21,2018-09-28,0.268,0.694,-5.351
1,2,Happier,Marshmello,77194,hk,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
2,3,Better,Khalid,72828,hk,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
3,4,Be Alright,Dean Lewis,66738,hk,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
4,5,Lucky You (feat. Joyner Lucas),Eminem,65721,hk,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
5,6,Eastside (with Halsey & Khalid),benny blanco,63447,hk,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
6,7,Beautiful (feat. Camila Cabello),Bazzi,58151,hk,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
7,8,I Love It (& Lil Pump),Kanye West,57949,hk,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
8,9,Falling Down - Bonus Track,Lil Peep,53283,hk,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
9,10,Promises (with Sam Smith),Calvin Harris,52445,hk,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
10,11,Electricity (with Dua Lipa),Silk City,51020,hk,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
11,12,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,50802,hk,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
12,13,breathin,Ariana Grande,50632,hk,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
13,14,Girls Like You (feat. Cardi B),Maroon 5,50508,hk,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
14,15,Darkside,Alan Walker,47848,hk,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
15,16,漸漸,Eason Chan,46736,hk,4zD2h6vDuzVm1QWyQJlb0P,2018-09-21,2018-09-28,0.289,0.38,-8.777
16,17,Happy Now,Zedd,45612,hk,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
17,18,心之科學,Joey Yung,45389,hk,1gVMd7oYGo6Whlgg7pAa7M,2018-09-21,2018-09-28,0.252,0.747,-6.302
18,19,說散就散,JC 陳泳彤,45114,hk,3CE1HoJJ0FVKo7JHsWIuvC,2018-09-21,2018-09-28,0.375,0.63,-6.804
19,20,Wake Up in the Sky,Gucci Mane,44983,hk,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
20,21,In My Feelings,Drake,44344,hk,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
21,22,8 Letters,Why Don't We,43327,hk,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
22,23,別𠱁我,JC 陳泳彤,43282,hk,6VeoA1vxx9dueepuakIbMr,2018-09-21,2018-09-28,0.417,0.542,-6.485
23,24,Natural,Imagine Dragons,42460,hk,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
24,25,認真如初,Jason Chan,41875,hk,51sLlaSnNj51ZQe799MmBy,2018-09-21,2018-09-28,0.346,0.578,-5.675
