,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Quiere Beber,Anuel AA,51166,hn,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
1,2,BEBE,6ix9ine,46317,hn,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
2,3,Vaina Loca,Ozuna,43935,hn,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
3,4,Toda - Remix,Alex Rose,41796,hn,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
4,5,No Es Justo,J Balvin,38815,hn,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
5,6,Asesina,Brytiago,36143,hn,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
6,7,Te Boté - Remix,Nio Garcia,33171,hn,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
7,8,Hipócrita,Anuel AA,30945,hn,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
8,9,Estamos Bien,Bad Bunny,30685,hn,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
9,10,La player (Bandolera),Zion & Lennox,29691,hn,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
10,11,Mala Mía,Maluma,29337,hn,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
11,12,Culpables,KAROL G,29106,hn,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
12,13,Cuando Te Besé,Becky G,25785,hn,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
13,14,Sin Pijama,Becky G,24510,hn,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
14,15,Por Perro,Sebastian Yatra,23928,hn,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
15,16,I Like It,Cardi B,23031,hn,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
16,17,Madura (feat. Bad Bunny),Cosculluela,22341,hn,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
17,18,In My Feelings,Drake,21552,hn,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
18,19,Brindemos,Anuel AA,21318,hn,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
19,20,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,20311,hn,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
20,21,Ya No Tiene Novio,Sebastian Yatra,20273,hn,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
21,22,Dale Vieja Dale,Toño Rosario,19902,hn,734vYzX6YKgSDHzXuLQJmg,2018-09-21,2018-09-28,0.966,0.951,-1.565
22,23,Hookah & Sheridan s,Tommy Boysen,19781,hn,3QfD4bxxkopZL7XZ8RaezH,2018-09-21,2018-09-28,0.491,0.528,-6.886
23,24,Amigos Con Derechos,Reik,19759,hn,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
24,25,¿Cual es tu plan?,Bad Bunny,19309,hn,4HRDBtek0ayfLQ6uc7rjO9,2018-09-21,2018-09-28,0.872,0.601,-5.418
25,26,No Me Acuerdo,Thalía,18688,hn,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
26,27,Culpables,Manuel Turizo,18514,hn,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
27,28,Unica,Ozuna,17751,hn,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
28,29,Epa Wei,Danny Ocean,17425,hn,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
29,30,Girls Like You (feat. Cardi B),Maroon 5,17214,hn,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
30,31,I Love It (& Lil Pump),Kanye West,16977,hn,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
31,32,Clandestino,Shakira,16817,hn,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
32,33,Te Amo,Piso 21,16788,hn,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
33,34,One Kiss (with Dua Lipa),Calvin Harris,16635,hn,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
34,35,Mocca,Lalo Ebratt,16391,hn,0NKoPGc72yUKTIneVhFfg1,2018-09-21,2018-09-28,0.591,0.695,-5.343
35,36,Me Niego (feat. Ozuna & Wisin),Reik,16206,hn,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
36,37,Loca Remix,Khea,16049,hn,2CRbiMK0W14l71SpDKqKZM,2018-09-21,2018-09-28,0.537,0.751,-3.661
37,38,Dura - Remix,Daddy Yankee,15421,hn,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
38,39,Ni Gucci Ni Prada,Kenny Man,15123,hn,32lexhcz93AinKK0qLTZaZ,2018-09-21,2018-09-28,0.91,0.676,-5.644
39,40,To My Love - Tainy Remix,Bomba Estéreo,14971,hn,5LciLoxa1gK70yIUeoHgRx,2018-09-21,2018-09-28,0.281,0.59,-4.292
40,41,Triste,Bryant Myers,14915,hn,5MNS5FF4LrTX0jIaI0gory,2018-09-21,2018-09-28,0.263,0.724,-5.379
41,42,X - Remix,Nicky Jam,14429,hn,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
42,43,Subete,Lary Over,14203,hn,6CWMm2mJOrKyDH4W1X5d06,2018-09-21,2018-09-28,0.77,0.864,-2.11
43,44,Zum Zum,Daddy Yankee,14085,hn,7lEhOiFtcLXY4P7cuTKuQ8,2018-09-21,2018-09-28,0.529,0.832,-2.492
44,45,Déjala que vuelva (feat. Manuel Turizo),Piso 21,14077,hn,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
45,46,Coolant,Farruko,14014,hn,2fHOqQ9K6eY0wsbVZiYZPw,2018-09-21,2018-09-28,0.961,0.85,-4.836
46,47,Electricity (with Dua Lipa),Silk City,13211,hn,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
47,48,Falling Down - Bonus Track,Lil Peep,12968,hn,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
48,49,X,Nicky Jam,12868,hn,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
49,50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,12829,hn,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
50,51,Mi Cama - Remix,KAROL G,12305,hn,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
51,52,Promises (with Sam Smith),Calvin Harris,11961,hn,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
52,53,Original,Arcangel,11804,hn,1LBlcCtOrKITXpEp1hnNpj,2018-09-21,2018-09-28,0.292,0.487,-4.939
53,54,Solita,Ozuna,11371,hn,7rwX0O3RlxqqIjQM8evm5E,2018-09-21,2018-09-28,0.325,0.633,-6.016
54,55,IDGAF,Dua Lipa,11343,hn,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
55,56,Me Rehúso,Danny Ocean,11243,hn,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
56,57,Ponle,Rvssian,11089,hn,28O1p0bQXH2F6Qn8jBZZR4,2018-09-21,2018-09-28,0.589,0.772,-4.736
57,58,Ibiza,Ozuna,10868,hn,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
58,59,Dembow,Danny Ocean,10800,hn,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
59,60,God's Plan,Drake,10547,hn,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
60,61,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,10513,hn,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
61,62,Me Dijeron,Ozuna,10475,hn,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
62,63,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,10062,hn,1l77YWrGUp3qX3NS1rz7lq,2018-09-21,2018-09-28,0.864,0.339,-8.965
63,64,New Rules,Dua Lipa,9949,hn,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
64,65,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,9726,hn,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
65,66,Bella - Remix,Wolfine,9688,hn,0SaYeGhSXN0dDWstyNTQ56,2018-09-21,2018-09-28,0.87,0.476,-6.621
66,67,Happier,Marshmello,9641,hn,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
67,68,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,9577,hn,5q2JbCNi4FcnglgPfxcV65,2018-09-21,2018-09-28,0.767,0.869,-4.024
68,69,Chica Paranormal,Paulo Londra,9285,hn,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
69,70,Celoso,Lele Pons,9278,hn,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
70,71,Calypso,Luis Fonsi,9278,hn,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
71,72,No Hay Nadie Más,Sebastian Yatra,9179,hn,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
72,73,Perfect,Ed Sheeran,9168,hn,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
73,74,Síguelo Bailando,Ozuna,9123,hn,5Y9fnynLlIvqtM710MHzfz,2018-09-21,2018-09-28,0.626,0.664,-7.11
74,75,La Modelo,Ozuna,8884,hn,2SbzdGpOKlH3HIAGTWTbwU,2018-09-21,2018-09-28,0.769,0.734,-2.697
75,76,Shape of You,Ed Sheeran,8838,hn,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
76,77,In My Mind,Dynoro,8837,hn,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
77,78,Natural,Imagine Dragons,8766,hn,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
78,79,Robarte un Beso,Carlos Vives,8635,hn,0JcNysfWVWaMS7R6vzGB2k,2018-09-21,2018-09-28,0.64,0.858,-4.946
79,80,rockstar (feat. 21 Savage),Post Malone,8572,hn,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
