,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,104211,hu,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,Falling Down - Bonus Track,Lil Peep,96857,hu,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,I Love It (& Lil Pump),Kanye West,83313,hu,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,Promises (with Sam Smith),Calvin Harris,66060,hu,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Natural,Imagine Dragons,65184,hu,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
5,6,Lucky You (feat. Joyner Lucas),Eminem,61732,hu,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
6,7,Happier,Marshmello,61420,hu,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,Solo (feat. Demi Lovato),Clean Bandit,56343,hu,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
8,9,Füttyös,Majka,54182,hu,6bsERSsjVL4Cpt0e2t77Vx,2018-09-21,2018-09-28,0.737,0.856,-4.761
9,10,Nem Tudja Senki,Follow The Flow,51303,hu,0XlgY6Jrh51dY2Bfepj9hK,2018-09-21,2018-09-28,0.278,0.648,-6.485
10,11,Eastside (with Halsey & Khalid),benny blanco,49357,hu,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
11,12,Be Alright,Dean Lewis,43711,hu,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
12,13,Killshot,Eminem,42079,hu,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
13,14,Electricity (with Dua Lipa),Silk City,40844,hu,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
14,15,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,40834,hu,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
15,16,Blah Blah Blah,Armin van Buuren,40337,hu,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
16,17,Better,Khalid,39859,hu,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
17,18,Nevermind,Dennis Lloyd,39206,hu,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
18,19,Thunderclouds,Sia,38885,hu,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
