,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,2002,Anne-Marie,582679,id,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
1,2,DDU-DU DDU-DU - KR Ver.,BLACKPINK,581582,id,2CWnuF7ht55Ajyeg4WPvWu,2018-09-21,2018-09-28,0.372,0.86,-3.921
2,3,Jangan,Marion Jola,575752,id,0hXshgMyFiHVNlnSzMikGn,2018-09-21,2018-09-28,0.758,0.673,-5.283
3,4,Dengan Caraku,Arsy Widianto,553695,id,6zZMfagNj5Nr8rSdJ9KLqq,2018-09-21,2018-09-28,0.372,0.318,-9.888
4,5,Happy Now,Zedd,518390,id,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
5,6,Berpisah Itu Mudah,Rizky Febian,488744,id,52AWJPKuELTY9TjwHzXuhl,2018-09-21,2018-09-28,0.643,0.562,-5.844
6,7,Thunderclouds,Sia,476148,id,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
7,8,Girls Like You (feat. Cardi B),Maroon 5,466551,id,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
8,9,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",Fourtwnty,457394,id,4lfAvFv8roumWVKXhHF8uN,2018-09-21,2018-09-28,0.35,0.649,-6.278
9,10,Happier,Marshmello,454394,id,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
10,11,Labirin,Tulus,444729,id,0pDmW5AOpl1Wi58Ob0xXB8,2018-09-21,2018-09-28,0.673,0.486,-6.869
11,12,You Are The Reason,Calum Scott,435559,id,69vToJ9BMbbLlFZo7k7A7B,2018-09-21,2018-09-28,0.218,0.235,-7.7
12,13,Dan...,Sheila On 7,424520,id,1MdjZzEInrmDBXf8zs0nKS,2018-09-21,2018-09-28,0.536,0.539,-12.051
13,14,Can't Take My Eyes Off You,Joseph Vincent,422233,id,4mf6HE25CkxeezcdWyfUGO,2018-09-21,2018-09-28,0.594,0.135,-12.074
