,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Promises (with Sam Smith),Calvin Harris,431956,ie,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
1,2,I Love It (& Lil Pump),Kanye West,403568,ie,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Eastside (with Halsey & Khalid),benny blanco,396655,ie,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
3,4,Happier,Marshmello,328427,ie,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
4,5,In My Mind,Dynoro,312530,ie,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
5,6,Be Alright,Dean Lewis,288172,ie,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
6,7,Body (feat. Brando),Loud Luxury,267156,ie,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
7,8,Electricity (with Dua Lipa),Silk City,258108,ie,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
8,9,Falling Down - Bonus Track,Lil Peep,247301,ie,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
9,10,Shotgun,George Ezra,232011,ie,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
10,11,No Brainer,DJ Khaled,196262,ie,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
11,12,Lucky You (feat. Joyner Lucas),Eminem,193630,ie,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
12,13,breathin,Ariana Grande,193274,ie,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
13,14,In My Feelings,Drake,182167,ie,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
14,15,God is a woman,Ariana Grande,177272,ie,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
15,16,Rise,Jonas Blue,174744,ie,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
16,17,Thunderclouds,Sia,172316,ie,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
17,18,Better,Khalid,166059,ie,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
18,19,All I Am,Jess Glynne,160632,ie,6X6SdJzxyw7GzxwP2fr9WV,2018-09-21,2018-09-28,0.536,0.669,-5.199
19,20,Lucid Dreams,Juice WRLD,155628,ie,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
20,21,Killshot,Eminem,149705,ie,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
21,22,High Hopes,Panic! At The Disco,134560,ie,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
22,23,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,128709,ie,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
23,24,SICKO MODE,Travis Scott,126948,ie,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
24,25,Nevermind,Dennis Lloyd,126511,ie,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
25,26,Youngblood,5 Seconds of Summer,125985,ie,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
26,27,If You're Over Me,Years & Years,125984,ie,1oc3jna2ablnfIKLYbKujl,2018-09-21,2018-09-28,0.615,0.853,-4.515
27,28,Jackie Chan,Tiësto,124374,ie,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
28,29,Taste (feat. Offset),Tyga,120884,ie,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
29,30,Solo (feat. Demi Lovato),Clean Bandit,118057,ie,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
30,31,Girls Like You (feat. Cardi B),Maroon 5,114688,ie,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
31,32,Beautiful (feat. Camila Cabello),Bazzi,111456,ie,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
32,33,Only You (with Little Mix),Cheat Codes,110386,ie,54l9GJGQ1UCFKe2tzt1Vxt,2018-09-21,2018-09-28,0.219,0.74,-4.793
33,34,Better Now,Post Malone,106847,ie,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
34,35,Happy Now,Zedd,106781,ie,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
35,36,SAD!,XXXTENTACION,106775,ie,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
36,37,2002,Anne-Marie,105214,ie,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
37,38,Ocean (feat. Khalid),Martin Garrix,104781,ie,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
38,39,Ring Ring (feat. Mabel & Rich The Kid),Jax Jones,98917,ie,3pSfoP1xZllxEuZ6Oh6ebn,2018-09-21,2018-09-28,0.638,0.641,-4.912
39,40,One Kiss (with Dua Lipa),Calvin Harris,97818,ie,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
40,41,Paradise,George Ezra,97074,ie,38zwkK6TtTjIW9tpYBfZ3D,2018-09-21,2018-09-28,0.913,0.881,-3.537
41,42,No Stylist,French Montana,94744,ie,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
42,43,no tears left to cry,Ariana Grande,92641,ie,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
43,44,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,90804,ie,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
44,45,RAP DEVIL,Machine Gun Kelly,90177,ie,43TP6JCWXgkc2D7Xjz5hBr,2018-09-21,2018-09-28,0.767,0.835,-4.662
45,46,The Ringer,Eminem,89330,ie,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
46,47,Back & Forth,MK,89146,ie,4M8x1TR36VMQMFMbGCdoyA,2018-09-21,2018-09-28,0.702,0.816,-5.211
47,48,Natural,Imagine Dragons,88929,ie,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
