,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,רחוק מכולם,Omer Adam,52545,il,2ut3zQxLTnkUwVckocuNPM,2018-09-21,2018-09-28,0.864,0.504,-6.149
1,2,I Love It (& Lil Pump),Kanye West,51693,il,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Lucky You (feat. Joyner Lucas),Eminem,49530,il,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
3,4,Happier,Marshmello,40019,il,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
4,5,צבעים,Gil Vain,36270,il,2OJS0hRtiTOh51SEDJWLlm,2018-09-21,2018-09-28,0.732,0.552,-8.208
5,6,Lucid Dreams,Juice WRLD,35632,il,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
6,7,Falling Down - Bonus Track,Lil Peep,34695,il,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
7,8,In My Mind,Dynoro,34497,il,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
8,9,Promises (with Sam Smith),Calvin Harris,34284,il,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
9,10,Girls Like You (feat. Cardi B),Maroon 5,32574,il,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
10,11,In My Feelings,Drake,32219,il,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
11,12,שני משוגעים,Omer Adam,29744,il,1EbUjcgx4c1tLHdqC6eHJd,2018-09-21,2018-09-28,0.515,0.55,-5.511
12,13,Natural,Imagine Dragons,29507,il,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
13,14,גומיגם,Static & Ben El,29370,il,2tGGxOQW48qI5oQku2ACj6,2018-09-21,2018-09-28,0.656,0.69,-3.958
14,15,Eastside (with Halsey & Khalid),benny blanco,29298,il,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
15,16,No Brainer,DJ Khaled,29119,il,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
16,17,Comme ci comme ca,Stephane legar,28926,il,0poi1IyVFRKXI2jvHmdaIa,2018-09-21,2018-09-28,0.904,0.719,-5.553
17,18,Thunderclouds,Sia,28107,il,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
18,19,Rise,Jonas Blue,27243,il,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
19,20,Electricity (with Dua Lipa),Silk City,26745,il,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
20,21,אוהבת אותי אמיתי,Omer Adam,26568,il,7suO6u1sJuNnkLpBTWmYjX,2018-09-21,2018-09-28,0.585,0.308,-8.761
21,22,Better,Khalid,26204,il,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
22,23,Solo (feat. Demi Lovato),Clean Bandit,26029,il,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
23,24,שיכורים,Eden Hason,23427,il,5EG4ur1MYuX1ZRirNaE4hv,2018-09-21,2018-09-28,0.621,0.639,-5.911
24,25,I Like It,Cardi B,23343,il,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
25,26,Youngblood,5 Seconds of Summer,22962,il,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
26,27,Jackie Chan,Tiësto,22072,il,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
27,28,Killshot,Eminem,21972,il,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
28,29,פתאום אהבה,Itay Levi,21954,il,4D7YplXPhuGSlviqXwBsvU,2018-09-21,2018-09-28,0.399,0.459,-6.673
29,30,חברות שלך,Omer Adam,21784,il,3jTBEHR9RF2ks9gO1mXOmi,2018-09-21,2018-09-28,0.705,0.518,-6.226
30,31,SICKO MODE,Travis Scott,21419,il,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
31,32,Be Alright,Dean Lewis,21065,il,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
32,33,breathin,Ariana Grande,21003,il,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
33,34,One Kiss (with Dua Lipa),Calvin Harris,20794,il,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
34,35,Genius,Sia,20767,il,73F87Sqh6jQWucOOvz1WFx,2018-09-21,2018-09-28,0.567,0.621,-4.924
35,36,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,20618,il,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
36,37,no tears left to cry,Ariana Grande,20409,il,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
37,38,SAD!,XXXTENTACION,19671,il,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
38,39,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,19538,il,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
39,40,בחורים טובים,Omer Adam,19293,il,3VNSObS4mkmrQ16ykQWNXk,2018-09-21,2018-09-28,0.431,0.439,-6.739
40,41,הלב שלך בממתינה,Dudu Aharon,18996,il,3JpSBMUG8uWLi5ZXlkCWIU,2018-09-21,2018-09-28,0.304,0.541,-6.364
41,42,Wake Up in the Sky,Gucci Mane,18880,il,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
42,43,כמה ימים,אייל גולן ומשה פרץ,18723,il,6NuYlT9Z9Rp5VYySISVvhZ,2018-09-21,2018-09-28,0.636,0.675,-5.774
43,44,לשוב הביתה,Ishay Ribo,18569,il,52n4gF126eIllrGuc9Zus6,2018-09-21,2018-09-28,0.632,0.448,-9.074
44,45,IDGAF,Dua Lipa,18547,il,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
45,46,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,18530,il,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
46,47,Body (feat. Brando),Loud Luxury,18144,il,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
47,48,Taste (feat. Offset),Tyga,17837,il,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
48,49,תני לי רגע,Mergui,17634,il,6JA3KmhNTm9Hh8XPdH88wM,2018-09-21,2018-09-28,0.487,0.735,-4.667
49,50,חיים שלי,Eden Ben Zaken,17483,il,1ng7BTOG1an0GuQpU9vNaj,2018-09-21,2018-09-28,0.387,0.455,-7.092
50,51,שמישהו יעצור אותי,Eden Hason,17084,il,3PcBjhdSmzxWilw6ok3XFV,2018-09-21,2018-09-28,0.503,0.55,-6.885
51,52,מה את אומרת,Nadav Guedj,17072,il,6NGQgJ2SGoHblyIb44XtMh,2018-09-21,2018-09-28,0.477,0.783,-5.273
52,53,Nevermind (Alright),Dennis Lloyd,16921,il,1rwRQ8EfWU8XkXlWz0uH1F,2018-09-21,2018-09-28,0.575,0.467,-7.473
53,54,God is a woman,Ariana Grande,16890,il,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
54,55,Nonstop,Drake,16787,il,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
55,56,לפעמים,Ori Ben Ari,16580,il,1LPAIuklAWhEUGQ3nQrcBr,2018-09-21,2018-09-28,0.31,0.497,-8.31
56,57,יש ימים,Liran Danino,16153,il,4634Q6zs4pvqGAXS5uXZau,2018-09-21,2018-09-28,0.454,0.525,-6.572
57,58,Flames,David Guetta,16110,il,66BjcDhhwWCcQIBxHMpKXh,2018-09-21,2018-09-28,0.421,0.649,-5.892
58,59,God's Plan,Drake,16028,il,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
59,60,The Ringer,Eminem,16006,il,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
60,61,הכי קרוב אלייך,Elai Botner,15956,il,24xbat16HM9XYXJMyFfpXq,2018-09-21,2018-09-28,0.658,0.796,-6.212
61,62,ברגעים שאת הולכת,Osher Cohen,15711,il,3YB8nipMIp5h5iXM23JvEx,2018-09-21,2018-09-28,0.454,0.643,-6.989
62,63,Beautiful (feat. Camila Cabello),Bazzi,15674,il,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
63,64,שהכאב ימצא לו חברים,Yam Refaeli,15620,il,1KmujYKPsLB445VrBd3yMV,2018-09-21,2018-09-28,0.614,0.515,-5.841
64,65,Happy Now,Zedd,15524,il,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
65,66,FRIENDS,Marshmello,15504,il,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
66,67,Better Now,Post Malone,15366,il,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
67,68,New Rules,Dua Lipa,15336,il,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
68,69,The Middle,Zedd,15197,il,09IStsImFySgyp0pIQdqAc,2018-09-21,2018-09-28,0.437,0.657,-3.061
69,70,rockstar (feat. 21 Savage),Post Malone,14808,il,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
70,71,Allah Ma'ak,Maor Edri,14668,il,38weg8UtFTFYvNonT4h7vv,2018-09-21,2018-09-28,0.653,0.761,-4.503
71,72,No Stylist,French Montana,14386,il,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
72,73,ואם תבואי אליי,Idan Raichel,14377,il,45bZgiBPs6AZFHOyHcx68w,2018-09-21,2018-09-28,0.172,0.871,-5.252
73,74,ילדים כאלה,Eden Hason,14373,il,1yX4fjnwAAuggxCSBtLO9z,2018-09-21,2018-09-28,0.448,0.628,-5.411
74,75,Moonlight,XXXTENTACION,14253,il,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
75,76,כמעט שנתיים,Itay Levi,13968,il,4z814p06WAXK1k2gPRZwJM,2018-09-21,2018-09-28,0.164,0.494,-7.609
76,77,Greatest,Eminem,13675,il,2XTquzYQAdT1Hk78bOUwsv,2018-09-21,2018-09-28,0.367,0.737,-5.186
77,78,Havana (feat. Young Thug),Camila Cabello,13575,il,1rfofaqEpACxVEHIZBJe6W,2018-09-21,2018-09-28,0.394,0.523,-4.333
78,79,Colombiana,Ido Shoam,13506,il,70y0g2FUkVavdad0DowW1I,2018-09-21,2018-09-28,0.892,0.892,-4.399
79,80,Not Alike (feat. Royce Da 5'9),Eminem,13449,il,28FGV3ORH14MYORd7s5dlU,2018-09-21,2018-09-28,0.342,0.756,-3.746
80,81,2002,Anne-Marie,13439,il,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
81,82,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,13270,il,4hQ6UGyWQIGJmHSo0J88JW,2018-09-21,2018-09-28,0.508,0.724,-4.856
82,83,Believer,Imagine Dragons,13269,il,0pqnGHJpmpxLKifKRmU6WP,2018-09-21,2018-09-28,0.666,0.78,-4.374
83,84,REMEDY,Alesso,13151,il,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
84,85,Say My Name,David Guetta,12961,il,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
85,86,שמיים,Eliad,12819,il,4xXgTGPTNPfdIFoUO6s5ZF,2018-09-21,2018-09-28,0.757,0.634,-6.617
86,87,New Patek,Lil Uzi Vert,12573,il,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
87,88,Fall,Eminem,12549,il,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
88,89,טירוף מתוק,Eyal Golan,12536,il,2vxKe08vyZv04svY5oT0ay,2018-09-21,2018-09-28,0.631,0.636,-7.044
89,90,Like I Do,David Guetta,12364,il,4aBYzs8RxZMuqyOanNlf8I,2018-09-21,2018-09-28,0.187,0.871,-4.905
90,91,בעלה מלמעלה,Dudu Faruk,12244,il,2PJTsRW4ysWtrHKy9Bk4ab,2018-09-21,2018-09-28,0.332,0.582,-8.3
91,92,Thunder,Imagine Dragons,11937,il,1zB4vmk8tFRmM9UULNzbLB,2018-09-21,2018-09-28,0.288,0.822,-4.833
92,93,Youth (feat. Khalid),Shawn Mendes,11787,il,1h0yImRPIVAjhhHeNVlTuC,2018-09-21,2018-09-28,0.324,0.596,-6.653
93,94,Shape of You,Ed Sheeran,11598,il,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
94,95,בסיבוב,Tuna,11367,il,5RnhWaP5VD3eJN3J0chPmh,2018-09-21,2018-09-28,0.665,0.81,-6.819
95,96,כל הזמן הזה,Ravid Plotnik,11271,il,3SSQpPFdf3WkAQgld5Eib8,2018-09-21,2018-09-28,0.331,0.465,-11.032
96,97,Mo Bamba,Sheck Wes,11260,il,3QybPutx0Tjk472bBKjNWn,2018-09-21,2018-09-28,0.319,0.629,-4.882
97,98,Don’t Matter To Me (with Michael Jackson),Drake,11210,il,6G8kHiVZ1jW7vHMPVRNZU0,2018-09-21,2018-09-28,0.138,0.318,-12.391
98,99,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,11181,il,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
99,100,More Than You Know,Axwell /\ Ingrosso,11104,il,6h5PAsRni4IRlxWr6uDPTP,2018-09-21,2018-09-28,0.571,0.741,-4.973
100,101,Look Alive (feat. Drake),BlocBoy JB,11040,il,4qKcDkK6siZ7Jp1Jb4m0aL,2018-09-21,2018-09-28,0.595,0.581,-7.495
101,102,High On Life (feat. Bonn),Martin Garrix,11021,il,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
102,103,למה זה מגיע לנו,Idan Raichel,10934,il,26pOIgtLcZ6nAq1NZDP3fU,2018-09-21,2018-09-28,0.696,0.805,-5.907
103,104,Jocelyn Flores,XXXTENTACION,10883,il,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
104,105,דוד המלך,Dudu Faruk,10761,il,6hQkOdJAWYPRvWg1IMgDiB,2018-09-21,2018-09-28,0.487,0.402,-12.173
105,106,תתארו לכם,Shlomo Artzi,10651,il,0CgiwDmWBRlmD4wYXBsQ5I,2018-09-21,2018-09-28,0.55,0.636,-6.384
106,107,Kamikaze,Eminem,10627,il,2gsNpSn7VvvJuSrIDfRoYy,2018-09-21,2018-09-28,0.642,0.808,-5.175
107,108,פעם בחיים,Omer Adam,10576,il,189BV5aRdPpDImoLn63zrh,2018-09-21,2018-09-28,0.532,0.301,-10.137
108,109,אחת ולתמיד,Ishay Ribo,10571,il,3bgNXXL7TjlBDOl36wLWHk,2018-09-21,2018-09-28,0.444,0.479,-9.548
109,110,Nice For What,Drake,10509,il,3CA9pLiwRIGtUBiMjbZmRw,2018-09-21,2018-09-28,0.757,0.909,-6.474
110,111,X,Nicky Jam,10293,il,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
111,112,Noticed,Lil Mosey,10158,il,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
112,113,Venom - Music From The Motion Picture,Eminem,10026,il,2SL6oP2YAEQbqsrkOzRGO4,2018-09-21,2018-09-28,0.46,0.794,-5.063
113,114,Kawaii,Static & Ben El,10017,il,4hbimRSQ2ZA5F86WSw5p6S,2018-09-21,2018-09-28,0.812,0.903,-3.328
114,115,אחרי כל השנים,Omer Adam,9952,il,4YBoPUdPPDf2St7qXAnHlZ,2018-09-21,2018-09-28,0.704,0.388,-6.231
115,116,מישהו איתי כאן,Benaia Barabi,9840,il,7hwkHWJHC5tXZVEQbJkuE7,2018-09-21,2018-09-28,0.483,0.65,-5.973
116,117,Blah Blah Blah,Armin van Buuren,9832,il,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
117,118,עד מחר,Eviatar Banai,9816,il,5dlEgrCOjy9FTcQM1vrrh5,2018-09-21,2018-09-28,0.286,0.558,-7.165
118,119,סינדרלה,The Ultras,9804,il,3R6v09RBIK9claHhwTB28p,2018-09-21,2018-09-28,0.789,0.823,-4.745
119,120,Ulay Nedaber,Nadav Guedj,9792,il,4wt1jIFzgeRnWpj8iKWeZf,2018-09-21,2018-09-28,0.477,0.719,-4.534
120,121,Want To,Dua Lipa,9790,il,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
121,122,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,9574,il,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
122,123,Vaina Loca,Ozuna,9495,il,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
123,124,STARGAZING,Travis Scott,9329,il,7wBJfHzpfI3032CSD7CE2m,2018-09-21,2018-09-28,0.0564,0.789,-3.69
124,125,Burn Out (feat. Dewain Whitmore),Martin Garrix,9299,il,7IWTIkiWGWNQyYfOLdMrGD,2018-09-21,2018-09-28,0.407,0.722,-5.751
125,126,Love Lies (with Normani),Khalid,9201,il,45Egmo7icyopuzJN0oMEdk,2018-09-21,2018-09-28,0.338,0.648,-5.626
126,127,Psycho (feat. Ty Dolla $ign),Post Malone,9190,il,3swc6WTsr7rl9DqQKQA55C,2018-09-21,2018-09-28,0.439,0.559,-8.011
127,128,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,9107,il,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
128,129,תבואי היום,Eyal Golan,9025,il,3pTajpF0kUE6DhenoCNWWq,2018-09-21,2018-09-28,0.581,0.747,-6.186
129,130,Ocean (feat. Khalid),Martin Garrix,9011,il,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
130,131,Perfect,Ed Sheeran,8973,il,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
131,132,משהו מתוק,Peer Tasi,8897,il,1JVaMTFpNsDjAOoeZ9x8Xw,2018-09-21,2018-09-28,0.938,0.816,-4.447
132,133,HUMBLE.,Kendrick Lamar,8867,il,7KXjTSCq5nL1LoYtL7XAwS,2018-09-21,2018-09-28,0.421,0.621,-6.638
133,134,אחותך עם נורוז,Dudu Faruk,8834,il,6VzMl5OZabswoo4jQBdsp3,2018-09-21,2018-09-28,0.358,0.548,-8.709
134,135,גם זה יעבור,Tuna,8803,il,7vlw3ezpsoXCBONhNXLOcV,2018-09-21,2018-09-28,0.411,0.62,-7.778
135,136,עולם משוגע,Tuna,8766,il,4JmmjsGmOED0sn0Le3r84u,2018-09-21,2018-09-28,0.568,0.633,-8.26
136,137,Wonderwall - Remastered,Oasis,8724,il,5qqabIl2vWzo9ApSC317sa,2018-09-21,2018-09-28,0.469,0.896,-4.066
137,138,Riptide,Vance Joy,8668,il,7yq4Qj7cqayVTp3FF9CWbm,2018-09-21,2018-09-28,0.51,0.731,-6.694
138,139,BEBE,6ix9ine,8658,il,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
139,140,מה אני נראה לך,Peled,8627,il,2KWzg1vpya70bKCKewYJpn,2018-09-21,2018-09-28,0.504,0.636,-5.921
