,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,66192,is,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,64251,is,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,In My Mind,Dynoro,56282,is,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
3,4,Upp Til Hópa,Herra Hnetusmjör,54639,is,3bM0moaEM1h0qpuFhD08FY,2018-09-21,2018-09-28,0.544,0.742,-7.733
4,5,Promises (with Sam Smith),Calvin Harris,45360,is,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
5,6,Clubbed Up,ClubDub;Ra:tio,37087,is,44W4kdPFIt6tRy4cw1mUA6,2018-09-21,2018-09-28,0.801,0.819,-7.337
6,7,Chuggedda (feat. Bergur Leó),Aron Can,31886,is,59SApXnguIQX9gSQVH2Mhl,2018-09-21,2018-09-28,0.399,0.629,-6.041
7,8,OMG,Floni,29117,is,54aOgpcb6kLIIrpdy5Ea0d,2018-09-21,2018-09-28,0.852,0.737,-6.925
8,9,Í Átt Að Tunglinu,JóiPé,27985,is,4wBY9TNUoxtKiRh4JjAS7x,2018-09-21,2018-09-28,0.408,0.547,-6.819
9,10,Afhverju,Birnir,27178,is,0H7viQFF4UbrZYLwH373nL,2018-09-21,2018-09-28,0.396,0.747,-5.431
10,11,Lucid Dreams,Juice WRLD,26751,is,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
11,12,Lucky You (feat. Joyner Lucas),Eminem,25854,is,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
12,13,Lætur mig,GDRN,23787,is,0bnCxmktCsoiwb1Witnnrd,2018-09-21,2018-09-28,0.426,0.361,-9.471
13,14,SICKO MODE,Travis Scott,21434,is,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
14,15,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,20546,is,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
15,16,In My Feelings,Drake,20523,is,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
16,17,STARGAZING,Travis Scott,19489,is,7wBJfHzpfI3032CSD7CE2m,2018-09-21,2018-09-28,0.0564,0.789,-3.69
17,18,Aftan (feat. Herra Hnetusmjör),Huginn,18587,is,6AWw9zP5MtKiSnxUZ9KIpC,2018-09-21,2018-09-28,0.718,0.689,-5.668
18,19,Taste (feat. Offset),Tyga,18426,is,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
19,20,Perfect,Ed Sheeran,18103,is,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
20,21,New Patek,Lil Uzi Vert,17977,is,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
21,22,SAD!,XXXTENTACION,17830,is,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
22,23,Dauður (feat. JFDR & Arnar),Birnir,17553,is,1a0d2rqvR0ae6tLVa5PIjR,2018-09-21,2018-09-28,0.103,0.746,-8.147
23,24,Eastside (with Halsey & Khalid),benny blanco,17191,is,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
24,25,Hetjan (feat. Herra Hnetusmjör),Huginn,16813,is,7GM3D2CyLuQ3QwsO7ZIee6,2018-09-21,2018-09-28,0.61,0.39,-4.516
25,26,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,16557,is,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
26,27,C3po,ClubDub;Ra:tio,16555,is,3W2KhWpNoJ1DZOdGGsMYeq,2018-09-21,2018-09-28,0.641,0.712,-6.856
27,28,Þráhyggja,JóiPé,16414,is,1jgN7Uraxy2UgwAsGm5yo0,2018-09-21,2018-09-28,0.798,0.47,-10.089
28,29,Happier,Marshmello,16231,is,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
29,30,Be Alright,Dean Lewis,16077,is,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
30,31,breathin,Ariana Grande,16068,is,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
31,32,Better,Khalid,15991,is,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
32,33,Better Now,Post Malone,15585,is,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
33,34,Hætti Ekki,Huginn,15535,is,1nkbdWUnxpxc7dFuxqzfjD,2018-09-21,2018-09-28,0.881,0.497,-7.053
34,35,Fýlaða,Svanur,15480,is,4sqD9XT0PJeBE7J38EaKAB,2018-09-21,2018-09-28,0.63,0.796,-8.958
35,36,No Stylist,French Montana,15179,is,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
36,37,Shape of You,Ed Sheeran,15067,is,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
37,38,Feimin(n),BRÍET,15031,is,3vzAXUZHQCiuHTOUeG5pKC,2018-09-21,2018-09-28,0.345,0.785,-7.622
38,39,God is a woman,Ariana Grande,14884,is,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
