,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,U.S.A.,DA PUMP,205759,jp,4qZyuyqLoZ3CaH79rGvJFR,2018-09-21,2018-09-28,0.921,0.992,-0.877
1,2,打上花火,DAOKO×米津玄師,198097,jp,4IouQaO9GkaHC7AtMErdSa,2018-09-21,2018-09-28,0.292,0.668,-4.315
2,3,HANABI,Mr.Children,196230,jp,77lmDcPPyY6kK907gdgC6i,2018-09-21,2018-09-28,0.595,0.766,-5.541
3,4,マリーゴールド,Aimyon,178018,jp,0jWVUKsIoyo3zw64RaEWYg,2018-09-21,2018-09-28,0.378,0.8,-2.299
4,5,君はロックを聴かない,Aimyon,168982,jp,59eluCMn0XbOWqeWQ91FTM,2018-09-21,2018-09-28,0.619,0.687,-4.039
5,6,BDZ,TWICE,167902,jp,6ceKChoZYLdw24Ph1CDFUJ,2018-09-21,2018-09-28,0.668,0.862,-2.718
6,7,小さな恋のうた,MONGOL800,156598,jp,7swIKcU4tFRk4iFJpi12Fg,2018-09-21,2018-09-28,0.549,0.87,-1.871
7,8,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,155663,jp,3YO08EfyAkr3WEba4xmWkS,2018-09-21,2018-09-28,0.293,0.65,-6.086
8,9,恋音と雨空,AAA,150081,jp,46gSY0U7ZZCmd7EuJuo15N,2018-09-21,2018-09-28,0.533,0.86,-4.456
9,10,愛をこめて花束を,Superfly,145634,jp,7CmWXD3w1xOO53AAO4LRVQ,2018-09-21,2018-09-28,0.451,0.8,-3.403
10,11,青と夏,Mrs. GREEN APPLE,141870,jp,0a3587n25Xhw098UeEbeJq,2018-09-21,2018-09-28,0.745,0.887,-1.654
11,12,Shape of You,Ed Sheeran,138774,jp,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
12,13,Wherever you are,ONE OK ROCK,132430,jp,0YAMQSmHk6BSUGTYpaoqTJ,2018-09-21,2018-09-28,0.288,0.69,-4.79
13,14,My Boo,Shota Shimizu,128508,jp,2gasr6aemUqZIBBN05EO03,2018-09-21,2018-09-28,0.693,0.718,-4.996
14,15,ワタリドリ,[ALEXANDROS],125096,jp,0ve9Tpz8Yw0I4eXhWsy21o,2018-09-21,2018-09-28,0.609,0.964,-4.077
15,16,No Brainer,DJ Khaled,121814,jp,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
16,17,愛を伝えたいだとか,Aimyon,121336,jp,0N8Xztr4pBHJ7V0moJWhbO,2018-09-21,2018-09-28,0.793,0.85,-5.021
17,18,Change,ONE OK ROCK,119295,jp,6KBj27Bko8gh71gpx0PzIG,2018-09-21,2018-09-28,0.326,0.75,-4.971
18,19,Story,AI,117159,jp,0V2axJ946WH1vt9t5SGMLV,2018-09-21,2018-09-28,0.391,0.632,-4.714
