,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,40738,lt,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,I Love It (& Lil Pump),Kanye West,35442,lt,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Promises (with Sam Smith),Calvin Harris,33161,lt,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
3,4,In My Mind,Dynoro,30023,lt,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
4,5,Lucky You (feat. Joyner Lucas),Eminem,22807,lt,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
5,6,Happier,Marshmello,21961,lt,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
6,7,Be Alright,Dean Lewis,18892,lt,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
7,8,Eastside (with Halsey & Khalid),benny blanco,18870,lt,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,Better,Khalid,18764,lt,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
9,10,Natural,Imagine Dragons,17749,lt,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
10,11,Electricity (with Dua Lipa),Silk City,17544,lt,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
11,12,Thunderclouds,Sia,17247,lt,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
12,13,breathin,Ariana Grande,15746,lt,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
13,14,Killshot,Eminem,15643,lt,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
14,15,Wake Up in the Sky,Gucci Mane,14824,lt,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
15,16,REMEDY,Alesso,14084,lt,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
16,17,SICKO MODE,Travis Scott,13197,lt,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
17,18,Nevermind,Dennis Lloyd,13159,lt,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
18,19,Shotgun,George Ezra,13047,lt,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
19,20,Let You Love Me,Rita Ora,12981,lt,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
20,21,In My Feelings,Drake,12604,lt,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
21,22,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,11965,lt,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
22,23,No Stylist,French Montana,11835,lt,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
23,24,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,11611,lt,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
24,25,Beautiful (feat. Camila Cabello),Bazzi,11570,lt,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
25,26,Body (feat. Brando),Loud Luxury,11374,lt,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
26,27,Solo (feat. Demi Lovato),Clean Bandit,11314,lt,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
27,28,Lucid Dreams,Juice WRLD,11281,lt,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
28,29,Want To,Dua Lipa,10757,lt,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
29,30,SAD!,XXXTENTACION,10579,lt,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
30,31,One Kiss (with Dua Lipa),Calvin Harris,10508,lt,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
31,32,Youngblood,5 Seconds of Summer,10287,lt,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
32,33,SLOW DANCING IN THE DARK,Joji,10192,lt,0UyljEbX9dqI1K0sqdv6B6,2018-09-21,2018-09-28,0.284,0.479,-7.458
33,34,Happy Now,Zedd,10029,lt,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
34,35,The Ringer,Eminem,9890,lt,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
35,36,Better Now,Post Malone,9795,lt,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
36,37,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,9687,lt,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
37,38,Fall,Eminem,9543,lt,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
38,39,Girls Like You (feat. Cardi B),Maroon 5,9539,lt,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
39,40,No Brainer,DJ Khaled,9288,lt,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
40,41,Moonlight,XXXTENTACION,9208,lt,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
41,42,Nonstop,Drake,9096,lt,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
42,43,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,8907,lt,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
43,44,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,8842,lt,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
44,45,God is a woman,Ariana Grande,8789,lt,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
45,46,Jackie Chan,Tiësto,8788,lt,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
46,47,Taste (feat. Offset),Tyga,8725,lt,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
47,48,Love Someone,Lukas Graham,8339,lt,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
48,49,rockstar (feat. 21 Savage),Post Malone,8288,lt,0e7ipj03S05BNilyu5bRzt,2018-09-21,2018-09-28,0.14,0.535,-6.09
49,50,Mo Bamba,Sheck Wes,7980,lt,3QybPutx0Tjk472bBKjNWn,2018-09-21,2018-09-28,0.319,0.629,-4.882
50,51,Rise,Jonas Blue,7974,lt,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
51,52,Noticed,Lil Mosey,7856,lt,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
52,53,Don’t Matter To Me (with Michael Jackson),Drake,7678,lt,6G8kHiVZ1jW7vHMPVRNZU0,2018-09-21,2018-09-28,0.138,0.318,-12.391
53,54,New Patek,Lil Uzi Vert,7671,lt,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
54,55,Feels Like Summer,Childish Gambino,7554,lt,7p4vHnYXkxlzvfePJVpcTr,2018-09-21,2018-09-28,0.255,0.596,-8.214
55,56,Jocelyn Flores,XXXTENTACION,7508,lt,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
56,57,Darkside,Alan Walker,7504,lt,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
57,58,no tears left to cry,Ariana Grande,7479,lt,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
58,59,Say My Name,David Guetta,7382,lt,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
