,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,16699,lu,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,I Love It (& Lil Pump),Kanye West,16064,lu,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Falling Down - Bonus Track,Lil Peep,14474,lu,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
3,4,Promises (with Sam Smith),Calvin Harris,12784,lu,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Happier,Marshmello,12169,lu,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
5,6,Lucky You (feat. Joyner Lucas),Eminem,11030,lu,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
6,7,INTERNATIONAL GANGSTAS,Farid Bang,11029,lu,4IAVIBh9jbYN30DwpHFMD4,2018-09-21,2018-09-28,0.393,0.622,-6.297
7,8,Eastside (with Halsey & Khalid),benny blanco,10990,lu,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,Be Alright,Dean Lewis,10548,lu,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
9,10,In My Feelings,Drake,8857,lu,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
10,11,Kokain,Bonez MC,8704,lu,1H3oIeKUEHpBhXUiso0IMH,2018-09-21,2018-09-28,0.608,0.677,-7.906
11,12,Better,Khalid,8652,lu,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
12,13,Lucid Dreams,Juice WRLD,8417,lu,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
13,14,Girls Like You (feat. Cardi B),Maroon 5,8024,lu,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
14,15,Solo (feat. Demi Lovato),Clean Bandit,7991,lu,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
15,16,UFF,Veysel,7989,lu,6XjEOPgbgHKcaHcunEHSJJ,2018-09-21,2018-09-28,0.311,0.828,-3.559
16,17,No Stylist,French Montana,7408,lu,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
17,18,SICKO MODE,Travis Scott,7371,lu,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
18,19,Natural,Imagine Dragons,7363,lu,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
19,20,Rise,Jonas Blue,7335,lu,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
20,21,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7267,lu,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
21,22,SAD!,XXXTENTACION,7139,lu,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
22,23,Shotgun,George Ezra,7125,lu,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
23,24,Body (feat. Brando),Loud Luxury,7030,lu,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
24,25,I Like It,Cardi B,6626,lu,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
25,26,Djadja,Aya Nakamura,6620,lu,3XfnssSD9HMQ9LhVOJvXTE,2018-09-21,2018-09-28,0.559,0.698,-6.215
26,27,Thunderclouds,Sia,6615,lu,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
27,28,Electricity (with Dua Lipa),Silk City,6609,lu,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
28,29,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,6549,lu,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
29,30,Nevermind,Dennis Lloyd,6499,lu,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
30,31,Taste (feat. Offset),Tyga,6443,lu,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
31,32,Jackie Chan,Tiësto,6412,lu,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
32,33,Better Now,Post Malone,6301,lu,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
33,34,One Kiss (with Dua Lipa),Calvin Harris,6295,lu,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
34,35,No Brainer,DJ Khaled,6018,lu,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
35,36,Wake Up in the Sky,Gucci Mane,5836,lu,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
36,37,Killshot,Eminem,5834,lu,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
37,38,Moonlight,XXXTENTACION,5831,lu,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
38,39,BEBE,6ix9ine,5751,lu,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
39,40,breathin,Ariana Grande,5714,lu,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
