,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,54008,lv,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,I Love It (& Lil Pump),Kanye West,41036,lv,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,In My Mind,Dynoro,30964,lv,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
3,4,Promises (with Sam Smith),Calvin Harris,26048,lv,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Lucky You (feat. Joyner Lucas),Eminem,23919,lv,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
5,6,Zemes stunda,ansis,21853,lv,7MSS9mAqAHHkUCa7HL0RbA,2018-09-21,2018-09-28,0.883,0.468,-11.547
6,7,Happier,Marshmello,21199,lv,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,Wake Up in the Sky,Gucci Mane,18819,lv,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
8,9,Natural,Imagine Dragons,18681,lv,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
9,10,Eastside (with Halsey & Khalid),benny blanco,18217,lv,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
10,11,Better,Khalid,16708,lv,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
11,12,Be Alright,Dean Lewis,16101,lv,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
12,13,Lucid Dreams,Juice WRLD,15529,lv,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
13,14,SICKO MODE,Travis Scott,15404,lv,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
14,15,SAD!,XXXTENTACION,14652,lv,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
15,16,Thunderclouds,Sia,14458,lv,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
16,17,Killshot,Eminem,14145,lv,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
17,18,Nevermind,Dennis Lloyd,14066,lv,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
18,19,Better Now,Post Malone,13653,lv,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
19,20,Electricity (with Dua Lipa),Silk City,13206,lv,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
20,21,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,12913,lv,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
21,22,In My Feelings,Drake,12756,lv,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
22,23,breathin,Ariana Grande,12302,lv,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
23,24,REMEDY,Alesso,12105,lv,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
24,25,Shotgun,George Ezra,11982,lv,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
25,26,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,11981,lv,7ycWLEP1GsNjVvcjawXz3z,2018-09-21,2018-09-28,0.294,0.569,-8.152
26,27,Moonlight,XXXTENTACION,11948,lv,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
27,28,Body (feat. Brando),Loud Luxury,11873,lv,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
28,29,No Stylist,French Montana,11855,lv,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
29,30,Fall,Eminem,11537,lv,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
30,31,Jocelyn Flores,XXXTENTACION,11110,lv,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
31,32,Цвет настроения чёрный,Egor Kreed,10872,lv,7dKiNStdWrS78TqDVBNBdv,2018-09-21,2018-09-28,0.625,0.78,-3.15
32,33,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,10814,lv,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
