,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,19698,mt,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,BEBE,6ix9ine,19067,mt,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
2,3,Falling Down - Bonus Track,Lil Peep,18254,mt,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
3,4,Promises (with Sam Smith),Calvin Harris,18019,mt,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,Happier,Marshmello,15245,mt,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
5,6,Quiere Beber,Anuel AA,14720,mt,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
6,7,Eastside (with Halsey & Khalid),benny blanco,14604,mt,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
7,8,Culpables,KAROL G,13801,mt,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
8,9,Vaina Loca,Ozuna,13680,mt,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
9,10,Lucky You (feat. Joyner Lucas),Eminem,12687,mt,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
10,11,Hipócrita,Anuel AA,12194,mt,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
11,12,Be Alright,Dean Lewis,11335,mt,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
12,13,Better,Khalid,10733,mt,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
13,14,Cuando Te Besé,Becky G,10561,mt,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
14,15,Electricity (with Dua Lipa),Silk City,10357,mt,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
15,16,Natural,Imagine Dragons,10235,mt,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
16,17,In My Feelings,Drake,10136,mt,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
17,18,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,9376,mt,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
18,19,Thunderclouds,Sia,9244,mt,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
19,20,breathin,Ariana Grande,9208,mt,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
20,21,Te Boté - Remix,Nio Garcia,9128,mt,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
21,22,Toda - Remix,Alex Rose,8618,mt,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
22,23,No Es Justo,J Balvin,8457,mt,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
23,24,Girls Like You (feat. Cardi B),Maroon 5,8375,mt,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
24,25,Beautiful (feat. Camila Cabello),Bazzi,8144,mt,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
25,26,I Like It,Cardi B,8097,mt,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
26,27,No Brainer,DJ Khaled,8001,mt,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
27,28,Shotgun,George Ezra,7969,mt,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
28,29,SICKO MODE,Travis Scott,7843,mt,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
29,30,Asesina,Brytiago,7723,mt,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
30,31,Body (feat. Brando),Loud Luxury,7720,mt,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
31,32,Lucid Dreams,Juice WRLD,7679,mt,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
32,33,Killshot,Eminem,7606,mt,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
33,34,REMEDY,Alesso,7299,mt,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
34,35,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7235,mt,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
35,36,Wake Up in the Sky,Gucci Mane,7197,mt,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
