,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Vaina Loca,Ozuna,2641777,mx,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
1,2,No Es Justo,J Balvin,2502547,mx,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
2,3,Amigos Con Derechos,Reik,2325771,mx,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
3,4,BEBE,6ix9ine,2297523,mx,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
4,5,Te Boté - Remix,Nio Garcia,1923875,mx,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
5,6,Mala Mía,Maluma,1773723,mx,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
6,7,Cuando Te Besé,Becky G,1746743,mx,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
7,8,No Me Acuerdo,Thalía,1681520,mx,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
8,9,Sin Pijama,Becky G,1659210,mx,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
9,10,Clandestino,Shakira,1573954,mx,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
10,11,Culpables,Manuel Turizo,1493572,mx,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
11,12,Ya No Tiene Novio,Sebastian Yatra,1484899,mx,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
12,13,Nunca Es Suficiente,Los Angeles Azules,1473053,mx,63USmok1OioBzKuWGW9wAg,2018-09-21,2018-09-28,0.78,0.518,-5.417
13,14,In My Feelings,Drake,1419138,mx,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
14,15,In My Mind,Dynoro,1373024,mx,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
15,16,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,1265206,mx,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
16,17,Promises (with Sam Smith),Calvin Harris,1244701,mx,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
17,18,Asesina,Brytiago,1233446,mx,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
18,19,Quiere Beber,Anuel AA,1141231,mx,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
19,20,La player (Bandolera),Zion & Lennox,1126330,mx,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
20,21,Electricity (with Dua Lipa),Silk City,1117250,mx,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
21,22,Cuando Nadie Ve,Morat,1114875,mx,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
22,23,I Like It,Cardi B,1093532,mx,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
23,24,Por Perro,Sebastian Yatra,1071709,mx,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
24,25,Me Niego (feat. Ozuna & Wisin),Reik,1052230,mx,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
25,26,Ahora Te Puedes Marchar,Luis Miguel,1017762,mx,1uKjQoh8JZj9ryuYRhpd7E,2018-09-21,2018-09-28,0.909,0.877,-3.683
26,27,Girls Like You (feat. Cardi B),Maroon 5,1016099,mx,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
27,28,Epa Wei,Danny Ocean,1009550,mx,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
28,29,One Kiss (with Dua Lipa),Calvin Harris,955652,mx,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
29,30,I Love It (& Lil Pump),Kanye West,953266,mx,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
30,31,Chica Paranormal,Paulo Londra,952496,mx,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
31,32,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,933069,mx,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
32,33,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,931875,mx,5OUGSwa2eadrcAsMdUItmO,2018-09-21,2018-09-28,0.54,0.378,-6.906
33,34,No Hay Nadie Más,Sebastian Yatra,928626,mx,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
34,35,Natural,Imagine Dragons,918901,mx,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
35,36,La Mujer Perfecta,KURT,908975,mx,0mAGeks6ns4FZWBPkjD9HR,2018-09-21,2018-09-28,0.878,0.488,-9.112
36,37,X,Nicky Jam,908103,mx,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
37,38,Te Amo,Piso 21,904112,mx,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
38,39,Déjala que vuelva (feat. Manuel Turizo),Piso 21,900279,mx,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
39,40,Culpable O No - Miénteme Como Siempre,Luis Miguel,889084,mx,7BwxbmYFy0l3ROHDjV2c14,2018-09-21,2018-09-28,0.252,0.367,-14.238
40,41,Baby Girl (feat. Lalo Ebratt),Mario Bautista,871798,mx,6o8ogTrSX8H0F66Pdz3Tsc,2018-09-21,2018-09-28,0.45,0.705,-5.272
41,42,Me Rehúso,Danny Ocean,867760,mx,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
42,43,X - Remix,Nicky Jam,837856,mx,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
