,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Beautiful (feat. Camila Cabello),Bazzi,241573,my,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
1,2,Be Alright,Dean Lewis,224716,my,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
2,3,Happier,Marshmello,222054,my,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
3,4,Eastside (with Halsey & Khalid),benny blanco,202042,my,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
4,5,Better,Khalid,188585,my,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
5,6,DDU-DU DDU-DU - KR Ver.,BLACKPINK,168328,my,2CWnuF7ht55Ajyeg4WPvWu,2018-09-21,2018-09-28,0.372,0.86,-3.921
6,7,Darkside,Alan Walker,162871,my,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
7,8,8 Letters,Why Don't We,161491,my,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
8,9,Happy Now,Zedd,159284,my,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
9,10,You Are The Reason,Calum Scott,158782,my,69vToJ9BMbbLlFZo7k7A7B,2018-09-21,2018-09-28,0.218,0.235,-7.7
10,11,Thunderclouds,Sia,152217,my,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
11,12,Kisah Antara Kita,One Avenue Band,148382,my,4i69rFBMTOOucN2QE5bSbq,2018-09-21,2018-09-28,0.213,0.618,-6.054
12,13,I'm a Mess,Bebe Rexha,148169,my,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
13,14,Girls Like You (feat. Cardi B),Maroon 5,145001,my,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
14,15,Lucky You (feat. Joyner Lucas),Eminem,144703,my,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
15,16,Love Someone,Lukas Graham,134751,my,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
16,17,2002,Anne-Marie,134588,my,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
17,18,breathin,Ariana Grande,130847,my,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
18,19,Solo (feat. Demi Lovato),Clean Bandit,123468,my,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
19,20,Promises (with Sam Smith),Calvin Harris,117442,my,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
20,21,Electricity (with Dua Lipa),Silk City,115142,my,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
21,22,God is a woman,Ariana Grande,114638,my,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
22,23,Killshot,Eminem,110890,my,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
23,24,In My Feelings,Drake,110782,my,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
24,25,Bukti,Virgoun,110733,my,0O2GtSCle8Eujbc1Voh2VY,2018-09-21,2018-09-28,0.334,0.437,-7.88
25,26,SLOW DANCING IN THE DARK,Joji,110521,my,0UyljEbX9dqI1K0sqdv6B6,2018-09-21,2018-09-28,0.284,0.479,-7.458
26,27,Real Friends,Camila Cabello,110295,my,5vnpANH92iEajvGwE2oQ6r,2018-09-21,2018-09-28,0.663,0.512,-6.869
27,28,No Brainer,DJ Khaled,109400,my,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
28,29,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,105212,my,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
29,30,Youngblood,5 Seconds of Summer,105085,my,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
30,31,I Love It (& Lil Pump),Kanye West,104094,my,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
31,32,Superhero,Lauv,104053,my,1Fo4OvzP9PThFKMeMIAEYu,2018-09-21,2018-09-28,0.417,0.34,-8.617
32,33,Sampai Bila,Misha Omar,102211,my,3cvpEmLI6MbnDqZstyqWxK,2018-09-21,2018-09-28,0.247,0.609,-6.173
33,34,KILLING ME,iKON,102061,my,27kB4qLUCV8nZd2eOgj1Tk,2018-09-21,2018-09-28,0.505,0.672,-5.277
34,35,Hikayat Benladin,Ben Ladin,100572,my,7eGaynemjJX4nr2C5OD49d,2018-09-21,2018-09-28,0.669,0.949,-3.81
35,36,lovely (with Khalid),Billie Eilish,96958,my,0u2P5u6lvoDfwTYjAADbn4,2018-09-21,2018-09-28,0.12,0.296,-10.109
36,37,Falling Down - Bonus Track,Lil Peep,96189,my,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
