,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Quiere Beber,Anuel AA,20535,ni,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
1,2,Vaina Loca,Ozuna,18205,ni,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,BEBE,6ix9ine,17560,ni,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
3,4,No Es Justo,J Balvin,15051,ni,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
4,5,Te Boté - Remix,Nio Garcia,14019,ni,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
5,6,Toda - Remix,Alex Rose,13531,ni,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
6,7,I Like It,Cardi B,11661,ni,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
7,8,Estamos Bien,Bad Bunny,11352,ni,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
8,9,Hipócrita,Anuel AA,10802,ni,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
9,10,Brindemos,Anuel AA,10276,ni,7LeQ55Z5jPBB0ggYJtAiYO,2018-09-21,2018-09-28,0.358,0.66,-3.353
10,11,Culpables,KAROL G,10118,ni,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
11,12,La player (Bandolera),Zion & Lennox,10027,ni,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
12,13,Sin Pijama,Becky G,9014,ni,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
13,14,In My Feelings,Drake,8571,ni,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
14,15,Asesina,Brytiago,8545,ni,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
15,16,Mala Mía,Maluma,8458,ni,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
16,17,Culpables,Manuel Turizo,8183,ni,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
17,18,Cuando Te Besé,Becky G,8169,ni,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
18,19,Madura (feat. Bad Bunny),Cosculluela,8130,ni,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
19,20,Por Perro,Sebastian Yatra,7791,ni,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
20,21,Girls Like You (feat. Cardi B),Maroon 5,7634,ni,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
21,22,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,7422,ni,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
22,23,Me Niego (feat. Ozuna & Wisin),Reik,7365,ni,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
23,24,No Me Acuerdo,Thalía,7336,ni,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
24,25,Déjala que vuelva (feat. Manuel Turizo),Piso 21,6475,ni,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
25,26,One Kiss (with Dua Lipa),Calvin Harris,6438,ni,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
26,27,To My Love - Tainy Remix,Bomba Estéreo,6392,ni,5LciLoxa1gK70yIUeoHgRx,2018-09-21,2018-09-28,0.281,0.59,-4.292
27,28,Ya No Tiene Novio,Sebastian Yatra,6362,ni,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
28,29,Te Amo,Piso 21,6266,ni,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
29,30,Clandestino,Shakira,6069,ni,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
30,31,X,Nicky Jam,6066,ni,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
31,32,Amigos Con Derechos,Reik,6057,ni,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
32,33,¿Cual es tu plan?,Bad Bunny,6029,ni,4HRDBtek0ayfLQ6uc7rjO9,2018-09-21,2018-09-28,0.872,0.601,-5.418
33,34,Unica,Ozuna,5999,ni,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
34,35,Dura - Remix,Daddy Yankee,5940,ni,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
35,36,X - Remix,Nicky Jam,5883,ni,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
36,37,Loca Remix,Khea,5849,ni,2CRbiMK0W14l71SpDKqKZM,2018-09-21,2018-09-28,0.537,0.751,-3.661
37,38,Epa Wei,Danny Ocean,5810,ni,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
38,39,IDGAF,Dua Lipa,5742,ni,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
39,40,Me Rehúso,Danny Ocean,5666,ni,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
40,41,Solita,Ozuna,5617,ni,7rwX0O3RlxqqIjQM8evm5E,2018-09-21,2018-09-28,0.325,0.633,-6.016
41,42,New Rules,Dua Lipa,5524,ni,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
42,43,Quiero Repetir,Ozuna,5363,ni,0MIcPSq9n2z5H8TAfEstri,2018-09-21,2018-09-28,0.482,0.753,-4.748
43,44,Shape of You,Ed Sheeran,5263,ni,7qiZfU4dY1lWllzX7mPBI3,2018-09-21,2018-09-28,0.931,0.652,-3.183
44,45,I Love It (& Lil Pump),Kanye West,5263,ni,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
45,46,Síguelo Bailando,Ozuna,5224,ni,5Y9fnynLlIvqtM710MHzfz,2018-09-21,2018-09-28,0.626,0.664,-7.11
46,47,God's Plan,Drake,5158,ni,6DCZcSspjsKoFjzjrWoCdn,2018-09-21,2018-09-28,0.357,0.449,-9.211
47,48,Perfect,Ed Sheeran,5058,ni,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
