,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Verleden Tijd,Frenna,3528014,nl,4kuexchmxuc5NXmokfo1WH,2018-09-21,2018-09-28,0.183,0.661,-6.718
1,2,Djadja,Aya Nakamura,1732546,nl,3XfnssSD9HMQ9LhVOJvXTE,2018-09-21,2018-09-28,0.559,0.698,-6.215
2,3,In My Mind,Dynoro,1520283,nl,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
3,4,Promises (with Sam Smith),Calvin Harris,1339631,nl,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
4,5,SLIDE,Caza,1293525,nl,0cvgns9yWdycXStdjLzoZT,2018-09-21,2018-09-28,0.724,0.753,-5.703
5,6,Capuchon,Frenna,1283780,nl,4n95vv8aHIvkLPIElA19C9,2018-09-21,2018-09-28,0.531,0.696,-6.085
6,7,Shotgun,George Ezra,1189817,nl,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
7,8,I Love It (& Lil Pump),Kanye West,1159685,nl,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
8,9,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,1088734,nl,77wz2VtAwxAwYOGTJrZBKT,2018-09-21,2018-09-28,0.715,0.658,-5.534
9,10,Happier,Marshmello,1063960,nl,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
10,11,Rise,Jonas Blue,1032647,nl,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
11,12,LA VIDA LOCA,Jonna Fraser,992828,nl,2tE91SF5e1xY20syeIaKBh,2018-09-21,2018-09-28,0.651,0.702,-6.835
12,13,wine slow - remix,Idaly,982255,nl,4sfdFMNDcc0Aw9DuwEksAn,2018-09-21,2018-09-28,0.801,0.733,-6.84
13,14,lil mama,Idaly,933647,nl,3aMI0cu9YaZfyJTJMS89Ey,2018-09-21,2018-09-28,0.744,0.571,-6.026
14,15,Be Alright,Dean Lewis,921050,nl,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
