,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,920919,no,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,Be Alright,Dean Lewis,726999,no,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
2,3,I Love It (& Lil Pump),Kanye West,698640,no,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,In My Mind,Dynoro,689195,no,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
4,5,Eastside (with Halsey & Khalid),benny blanco,599895,no,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
5,6,Love Someone,Lukas Graham,587818,no,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
6,7,Darkside,Alan Walker,569999,no,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
7,8,Promises (with Sam Smith),Calvin Harris,529173,no,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
8,9,Better,Khalid,497057,no,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
9,10,Lucky You (feat. Joyner Lucas),Eminem,481042,no,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
10,11,Happier,Marshmello,461243,no,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
11,12,REMEDY,Alesso,429728,no,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
12,13,Natural,Imagine Dragons,369265,no,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
13,14,Ignite (feat. SEUNGRI),K-391,367524,no,0UMLejbZXf7YVgnfxURvVr,2018-09-21,2018-09-28,0.486,0.866,-4.299
14,15,Lucid Dreams,Juice WRLD,353903,no,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
15,16,"Bitch, hør her!",Melina Johnsen,344024,no,1vE38ibMSYKjDc82vY9pcq,2018-09-21,2018-09-28,0.512,0.784,-7.725
16,17,Killshot,Eminem,335832,no,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
17,18,BlimE,Freddy Kalas,333384,no,5ai9JSCJ6HE9ClW9CjFWcw,2018-09-21,2018-09-28,0.526,0.726,-3.352
18,19,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,327191,no,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
19,20,Happy Now,Zedd,327019,no,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
20,21,Mother,Ina Wroldsen,325154,no,3nHtJ3HtqFomq1Qz7OzRR0,2018-09-21,2018-09-28,0.323,0.524,-7.4
21,22,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,322177,no,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
22,23,Let You Love Me,Rita Ora,317647,no,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
23,24,Sweet but Psycho,Ava Max,313051,no,25sgk305KZfyuqVBQIahim,2018-09-21,2018-09-28,0.628,0.704,-4.724
24,25,No Stylist,French Montana,301432,no,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
25,26,I'm a Mess,Bebe Rexha,290985,no,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
26,27,In My Feelings,Drake,277478,no,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
27,28,Girls Like You (feat. Cardi B),Maroon 5,275666,no,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
28,29,Youngblood,5 Seconds of Summer,267910,no,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
