,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,392997,nz,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,366658,nz,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,Eastside (with Halsey & Khalid),benny blanco,317739,nz,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
3,4,Shotgun,George Ezra,296814,nz,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
4,5,Be Alright,Dean Lewis,272647,nz,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
5,6,Happier,Marshmello,259298,nz,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
6,7,Better,Khalid,228350,nz,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
7,8,Lucky You (feat. Joyner Lucas),Eminem,227221,nz,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
8,9,Killshot,Eminem,219487,nz,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
9,10,Promises (with Sam Smith),Calvin Harris,218498,nz,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
10,11,SICKO MODE,Travis Scott,197640,nz,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
11,12,No Brainer,DJ Khaled,196647,nz,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
12,13,Vibes,Six60,192230,nz,5EKITWJXROxWdc0bcRrMLy,2018-09-21,2018-09-28,0.692,0.44,-8.465
13,14,Girls Like You (feat. Cardi B),Maroon 5,188177,nz,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
14,15,Taste (feat. Offset),Tyga,176015,nz,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
15,16,Youngblood,5 Seconds of Summer,174993,nz,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
16,17,Rise,Jonas Blue,170380,nz,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
17,18,In My Feelings,Drake,169202,nz,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
18,19,Electricity (with Dua Lipa),Silk City,165982,nz,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
19,20,Body (feat. Brando),Loud Luxury,164286,nz,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
20,21,In My Mind,Dynoro,159151,nz,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
21,22,Lucid Dreams,Juice WRLD,158836,nz,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
22,23,High Hopes,Panic! At The Disco,152317,nz,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
23,24,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,140653,nz,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
