,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,BEBE,6ix9ine,94722,pa,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
1,2,Mocca,Lalo Ebratt,92356,pa,0NKoPGc72yUKTIneVhFfg1,2018-09-21,2018-09-28,0.591,0.695,-5.343
2,3,Vaina Loca,Ozuna,87972,pa,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
3,4,Culpables,KAROL G,83852,pa,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
4,5,Quiere Beber,Anuel AA,82676,pa,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
5,6,Ibiza,Ozuna,76221,pa,1h9P5WJwyvK8OB7O2YiXgp,2018-09-21,2018-09-28,0.726,0.71,-5.144
6,7,Toda - Remix,Alex Rose,66715,pa,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
7,8,No Es Justo,J Balvin,58366,pa,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
8,9,Hipócrita,Anuel AA,56635,pa,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
9,10,Te Boté - Remix,Nio Garcia,54078,pa,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
10,11,Ni Gucci Ni Prada,Kenny Man,52714,pa,32lexhcz93AinKK0qLTZaZ,2018-09-21,2018-09-28,0.91,0.676,-5.644
11,12,Culpables,Manuel Turizo,50744,pa,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
12,13,Te Gusta Hacerla,Eddy Lover,48462,pa,2o2gdSF4k51YO18WEWY40v,2018-09-21,2018-09-28,0.85,0.719,-4.396
13,14,Asesina,Brytiago,43514,pa,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
14,15,Unica,Ozuna,42280,pa,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
15,16,Cuando Te Besé,Becky G,41038,pa,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
16,17,La player (Bandolera),Zion & Lennox,40884,pa,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
17,18,Sin Pijama,Becky G,40177,pa,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
