,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Cuando Te Besé,Becky G,762117,pe,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
1,2,Vaina Loca,Ozuna,626796,pe,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
2,3,No Es Justo,J Balvin,551029,pe,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
3,4,Mala Mía,Maluma,518639,pe,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
4,5,Amigos Con Derechos,Reik,501441,pe,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
5,6,Te Boté - Remix,Nio Garcia,492190,pe,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
6,7,Por Perro,Sebastian Yatra,491379,pe,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
7,8,Sin Pijama,Becky G,486082,pe,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
8,9,BEBE,6ix9ine,476100,pe,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
9,10,No Me Acuerdo,Thalía,419355,pe,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
10,11,La player (Bandolera),Zion & Lennox,388819,pe,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
11,12,Culpables,KAROL G,384005,pe,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
12,13,Quiere Beber,Anuel AA,380488,pe,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
13,14,Ya No Tiene Novio,Sebastian Yatra,365716,pe,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
14,15,Clandestino,Shakira,365700,pe,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
15,16,Chica Paranormal,Paulo Londra,364434,pe,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
16,17,Te Amo,Piso 21,363083,pe,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
17,18,Culpables,Manuel Turizo,350146,pe,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
18,19,Asesina,Brytiago,338723,pe,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
19,20,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,325837,pe,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
20,21,Duro y Suave,Leslie Grace,322757,pe,31M5m42C3EGlbydf9XB5to,2018-09-21,2018-09-28,0.618,0.721,-4.483
21,22,X - Remix,Nicky Jam,314734,pe,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
22,23,Me Niego (feat. Ozuna & Wisin),Reik,304293,pe,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
23,24,Probablemente,Daniela Darcourt,294662,pe,1CrjakXhVx50ESX6XW4iX3,2018-09-21,2018-09-28,0.461,0.835,-5.104
24,25,Toda - Remix,Alex Rose,293409,pe,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
25,26,Dura - Remix,Daddy Yankee,278052,pe,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
26,27,I Like It,Cardi B,272425,pe,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
27,28,Madura (feat. Bad Bunny),Cosculluela,272314,pe,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
28,29,Mi Cama - Remix,KAROL G,269204,pe,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
29,30,Hipócrita,Anuel AA,258092,pe,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
30,31,El Clavo (feat. Maluma) - Remix,Prince Royce,255984,pe,6bI00brFpeprqCDqKouEJS,2018-09-21,2018-09-28,0.73,0.797,-2.726
31,32,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,242039,pe,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
32,33,Zum Zum,Daddy Yankee,241935,pe,7lEhOiFtcLXY4P7cuTKuQ8,2018-09-21,2018-09-28,0.529,0.832,-2.492
33,34,Unica,Ozuna,230537,pe,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
34,35,Bella - Remix,Wolfine,221557,pe,0SaYeGhSXN0dDWstyNTQ56,2018-09-21,2018-09-28,0.87,0.476,-6.621
35,36,Déjala que vuelva (feat. Manuel Turizo),Piso 21,221026,pe,1j6xOGusnyXq3l6IryKF3G,2018-09-21,2018-09-28,0.839,0.788,-4.323
36,37,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,214119,pe,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
37,38,No Hay Nadie Más,Sebastian Yatra,201927,pe,3IPJg1sdqLj12kFIndaonN,2018-09-21,2018-09-28,0.808,0.379,-9.096
38,39,Estamos Bien,Bad Bunny,200392,pe,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
39,40,Celoso,Lele Pons,197579,pe,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
40,41,Amantes,Greeicy,193241,pe,3IyPnNX142pvWx6D5CiimD,2018-09-21,2018-09-28,0.637,0.681,-4.076
41,42,In My Feelings,Drake,190428,pe,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
42,43,Epa Wei,Danny Ocean,181504,pe,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
43,44,Tu Falta De Querer,Mon Laferte,180057,pe,4skuEIloXWuxxgekKupkEH,2018-09-21,2018-09-28,0.441,0.475,-7.935
44,45,El Préstamo,Maluma,177525,pe,2XVilv6s9GETnw9PG4T9Mz,2018-09-21,2018-09-28,0.717,0.74,-3.647
45,46,Me Dijeron,Ozuna,173953,pe,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
46,47,Dembow,Danny Ocean,171850,pe,2EzRdhuoPyNJDlep7lnNf2,2018-09-21,2018-09-28,0.45,0.744,-5.968
47,48,Loca Remix,Khea,167062,pe,2CRbiMK0W14l71SpDKqKZM,2018-09-21,2018-09-28,0.537,0.751,-3.661
48,49,Cuando Nadie Ve,Morat,163628,pe,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
49,50,Adiós Amor,Daniela Darcourt,160413,pe,2q3dzqrlKAK9ZNuyHkwfU7,2018-09-21,2018-09-28,0.324,0.783,-6.195
50,51,Mi Cama,KAROL G,155699,pe,7sFYVcKSb24qg0dAkqLEFj,2018-09-21,2018-09-28,0.68,0.815,-4.773
51,52,Calypso,Luis Fonsi,151033,pe,4178A5NkEjcsGc64jpBO6d,2018-09-21,2018-09-28,0.923,0.859,-3.087
52,53,¿Cual es tu plan?,Bad Bunny,143851,pe,4HRDBtek0ayfLQ6uc7rjO9,2018-09-21,2018-09-28,0.872,0.601,-5.418
53,54,Criminal,Natti Natasha,143527,pe,6Za3190Sbw39BBC77WSS1C,2018-09-21,2018-09-28,0.839,0.813,-3.023
54,55,Esperándote,Manuel Turizo,140449,pe,1nfyE13arjOuO54HH0zmqj,2018-09-21,2018-09-28,0.313,0.648,-7.123
55,56,Ambiente,J Balvin,138418,pe,6VrBWh90BiwWmwKtvwWFcq,2018-09-21,2018-09-28,0.79,0.731,-6.245
56,57,Marinero,Maluma,132591,pe,6x5LBP3nYXVdIDoomChGr3,2018-09-21,2018-09-28,0.843,0.491,-5.156
57,58,X,Nicky Jam,128793,pe,39N9RPD9MRb5WmoLzNzPeA,2018-09-21,2018-09-28,0.711,0.773,-4.736
58,59,Síguelo Bailando,Ozuna,127993,pe,5Y9fnynLlIvqtM710MHzfz,2018-09-21,2018-09-28,0.626,0.664,-7.11
59,60,PPP,Kevin Roldan,127484,pe,1DcxnVNFAyVl2sDQ646pXS,2018-09-21,2018-09-28,0.712,0.65,-6.839
60,61,Me Rehúso,Danny Ocean,126409,pe,6De0lHrwBfPfrhorm9q1Xl,2018-09-21,2018-09-28,0.426,0.804,-6.327
61,62,A Esa,Daniela Darcourt,125574,pe,6lqoTSAwzaYo3Kpr7DXrF0,2018-09-21,2018-09-28,0.45,0.888,-4.73
