,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Kung 'Di Rin Lang Ikaw,December Avenue,1644621,ph,2BgD4nRyx9EZ5o8YEnjRSV,2018-09-21,2018-09-28,0.132,0.482,-4.736
1,2,Sa Ngalan Ng Pag-Ibig,December Avenue,1162557,ph,00mBzIWv5gHOYxwuEJXjOG,2018-09-21,2018-09-28,0.282,0.761,-3.905
2,3,Kathang Isip,Ben&Ben,1121662,ph,3WUEs51GpcvlgU7lehLgLh,2018-09-21,2018-09-28,0.295,0.314,-8.58
3,4,Thru These Tears,LANY,990435,ph,4gB61mP4tNChn4LgfquMhi,2018-09-21,2018-09-28,0.294,0.517,-7.695
4,5,Mundo,IV Of Spades,953695,ph,4u8RkgV6P4TLi89SmlUtv8,2018-09-21,2018-09-28,0.481,0.401,-8.9
5,6,Beautiful (feat. Camila Cabello),Bazzi,916262,ph,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
6,7,'Di Na Muli,Janine Teñoso,901775,ph,3VQb0rq27GPX92X53Ni1Lc,2018-09-21,2018-09-28,0.352,0.561,-3.092
7,8,Girls Like You (feat. Cardi B),Maroon 5,896651,ph,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
8,9,Sana,I Belong to the Zoo,863015,ph,1X4l4i472kW5ofFP8Xo0x0,2018-09-21,2018-09-28,0.348,0.373,-7.874
9,10,2002,Anne-Marie,859014,ph,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
10,11,Eastside (with Halsey & Khalid),benny blanco,849983,ph,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
11,12,Happier,Marshmello,813473,ph,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
12,13,No Brainer,DJ Khaled,773041,ph,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
13,14,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""",Moira Dela Torre,755509,ph,7aW2GrNlteWTwQZxX6LNjT,2018-09-21,2018-09-28,0.315,0.273,-8.651
14,15,In My Feelings,Drake,704575,ph,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
15,16,I Don't Wanna Love You Anymore,LANY,689475,ph,1NEV2pt7AJSHWadhfCZ48t,2018-09-21,2018-09-28,0.5,0.622,-8.29
16,17,IDGAF,Dua Lipa,686667,ph,76cy1WJvNGJTj78UqeA5zr,2018-09-21,2018-09-28,0.51,0.544,-5.975
17,18,Be Alright,Dean Lewis,680081,ph,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
18,19,Love Someone,Lukas Graham,678263,ph,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
19,20,Better,Khalid,664021,ph,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
20,21,8 Letters,Why Don't We,632964,ph,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
21,22,Akala,Marion,626723,ph,2Gh039ZAfydrM5IjiGlvEj,2018-09-21,2018-09-28,0.185,0.185,-11.423
22,23,Maybe The Night,Ben&Ben,598710,ph,1yDiru08Q6omDOGkZMPnei,2018-09-21,2018-09-28,0.498,0.522,-9.095
23,24,Tagpuan,Moira Dela Torre,587375,ph,0ztDBQdQmdVZvorSmIjMih,2018-09-21,2018-09-28,0.293,0.121,-8.206
24,25,Electricity (with Dua Lipa),Silk City,576949,ph,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
25,26,Thick And Thin,LANY,532965,ph,7qIICzwgm3eu1Ic3ufPGJf,2018-09-21,2018-09-28,0.266,0.564,-6.063
26,27,God is a woman,Ariana Grande,524814,ph,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
27,28,Freaky Friday (feat. Chris Brown),Lil Dicky,510575,ph,10Igtw8bSDyyFs7KIsKngZ,2018-09-21,2018-09-28,0.755,0.599,-5.042
28,29,You Are The Reason,Calum Scott,510569,ph,69vToJ9BMbbLlFZo7k7A7B,2018-09-21,2018-09-28,0.218,0.235,-7.7
29,30,breathin,Ariana Grande,509717,ph,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
30,31,Ex,Callalily,505501,ph,0GHwNr0lqf8jpc9wesmnHo,2018-09-21,2018-09-28,0.57,0.381,-7.855
31,32,Happy Now,Zedd,504028,ph,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
32,33,BAAM,MOMOLAND,482072,ph,4Is1b37KJY9XVCgzp81FBW,2018-09-21,2018-09-28,0.905,0.94,-2.32
33,34,The Middle,Zedd,465714,ph,09IStsImFySgyp0pIQdqAc,2018-09-21,2018-09-28,0.437,0.657,-3.061
34,35,Midnight Sky,Unique Salonga,463181,ph,5eFzCfsj3d0yWumdEldZwL,2018-09-21,2018-09-28,0.179,0.149,-8.379
35,36,Bakit Ba Ikaw,Michael Pangilinan,459664,ph,0Vmk6Ebk4QBq7r0VAz2a6s,2018-09-21,2018-09-28,0.277,0.48,-5.469
36,37,13,LANY,441090,ph,0WOvSEVpUGkNufX0w0M06F,2018-09-21,2018-09-28,0.697,0.539,-8.148
37,38,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,435017,ph,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
38,39,Tadhana,Up Dharma Down,431535,ph,6NFKf8vBApSvtzkapYmnVR,2018-09-21,2018-09-28,0.511,0.322,-13.2
39,40,Rise,Jonas Blue,418016,ph,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
40,41,Say You Won't Let Go,James Arthur,415049,ph,5uCax9HTNlzGybIStD3vDh,2018-09-21,2018-09-28,0.494,0.557,-7.398
41,42,Oks Lang,John Roa,410912,ph,2wTxJWt2gA9a1Z94dTnPiI,2018-09-21,2018-09-28,0.165,0.237,-14.538
42,43,Bulong,December Avenue,409725,ph,5nMKJJ5Rl6X1yn58aVeICO,2018-09-21,2018-09-28,0.351,0.728,-5.472
43,44,I'm a Mess,Bebe Rexha,384213,ph,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
44,45,I Like Me Better,Lauv,382283,ph,2P91MQbaiQOfbiz9VqhqKQ,2018-09-21,2018-09-28,0.419,0.505,-7.621
45,46,Too Good At Goodbyes,Sam Smith,374973,ph,1mXVgsBdtIVeCLJnSnmtdV,2018-09-21,2018-09-28,0.534,0.375,-8.279
46,47,Superhero,Lauv,364261,ph,1Fo4OvzP9PThFKMeMIAEYu,2018-09-21,2018-09-28,0.417,0.34,-8.617
47,48,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,361056,ph,5UhpceEr5XmbVwyoIUIRnh,2018-09-21,2018-09-28,0.399,0.674,-5.563
48,49,DDU-DU DDU-DU - KR Ver.,BLACKPINK,360472,ph,2CWnuF7ht55Ajyeg4WPvWu,2018-09-21,2018-09-28,0.372,0.86,-3.921
49,50,Kung Wala Ka,Hale,359798,ph,4JSDhJVmo2UqdF7nxbyenn,2018-09-21,2018-09-28,0.152,0.339,-7.301
50,51,Mine,Bazzi,355707,ph,7uzmGiiJyRfuViKKK3lVmR,2018-09-21,2018-09-28,0.717,0.789,-3.874
51,52,Kung Akin Ang Mundo,Erik Santos,349928,ph,0W2kzUI1K0tT0RpggJZ4Js,2018-09-21,2018-09-28,0.328,0.397,-9.477
52,53,These Days,Rudimental,338944,ph,5CLGzJsGqhCEECcpnFQA8x,2018-09-21,2018-09-28,0.55,0.809,-4.057
53,54,"Susi (From the Film ""GOYO - Ang Batang Heneral"")",Ben&Ben,335097,ph,3I572cT9kECh41bZz2xPhy,2018-09-21,2018-09-28,0.289,0.413,-7.936
54,55,Pasensya Ka Na,Silent Sanctuary,335088,ph,0YyM8aEdbjGfLWPn6fdcn7,2018-09-21,2018-09-28,0.265,0.262,-15.073
55,56,I Love It (& Lil Pump),Kanye West,320411,ph,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
56,57,Weak,Khel Pangilinan,313079,ph,06cUybZMETs4i3yQO1f7p3,2018-09-21,2018-09-28,0.141,0.373,-10.611
57,58,Narcissist,No Rome,307086,ph,4Zft1h1zRfkBqlAo4qEPqp,2018-09-21,2018-09-28,0.424,0.682,-5.81
58,59,Strawberries & Cigarettes,Troye Sivan,306179,ph,2z7UKVsBdbA7HFPunDKDP4,2018-09-21,2018-09-28,0.274,0.539,-8.696
59,60,Hiling,Mark Carpio,303435,ph,6xQs6y6CpDqK9VKCktApEL,2018-09-21,2018-09-28,0.385,0.244,-9.917
60,61,Leaves,Ben&Ben,302993,ph,6wdCelHrPh7UfliNjwRTUv,2018-09-21,2018-09-28,0.205,0.16,-10.896
61,62,Wake Up in the Sky,Gucci Mane,300640,ph,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
62,63,no tears left to cry,Ariana Grande,297388,ph,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
63,64,Perfect,Ed Sheeran,297023,ph,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
64,65,Let Me,ZAYN,296623,ph,7Fg342AJtNsIDdwCfX0paC,2018-09-21,2018-09-28,0.189,0.567,-5.637
65,66,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,295738,ph,7xty20N3DMTVOVtDIS2Jov,2018-09-21,2018-09-28,0.398,0.616,-7.169
66,67,Nadarang,Shanti Dope,293794,ph,6LJ1p1h5EcMK4VPeCLDSoF,2018-09-21,2018-09-28,0.693,0.535,-6.969
67,68,Thunderclouds,Sia,292314,ph,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
68,69,Migraine,Moonstar88,291955,ph,7sW3f7PqDV7BQ7qqeVBJIA,2018-09-21,2018-09-28,0.196,0.546,-5.868
69,70,Super Far,LANY,291409,ph,15ahYSiHAIMxAnujlXVtta,2018-09-21,2018-09-28,0.462,0.46,-6.839
70,71,Tell Me Where It Hurts,MYMP,286577,ph,6C2nrsOlb3jOUGcJAmPrTA,2018-09-21,2018-09-28,0.396,0.542,-7.952
71,72,Magbalik,Callalily,279753,ph,5zMR44ZH4KVZj4FlhTj3SE,2018-09-21,2018-09-28,0.34,0.556,-8.329
72,73,Lucky You (feat. Joyner Lucas),Eminem,279542,ph,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
73,74,Happier,Ed Sheeran,274894,ph,2RttW7RAu5nOAfq6YFvApB,2018-09-21,2018-09-28,0.236,0.385,-7.355
74,75,Isa Pang Araw,Sarah Geronimo,274092,ph,06ANmvjPpUeh8QQAAAcThx,2018-09-21,2018-09-28,0.416,0.715,-4.04
75,76,Best Part (feat. Daniel Caesar),H.E.R.,272925,ph,4OBZT9EnhYIV17t4pGw7ig,2018-09-21,2018-09-28,0.413,0.371,-10.219
76,77,Rewrite The Stars,Zac Efron,272493,ph,630sXRhIcfwr2e4RdNtjKN,2018-09-21,2018-09-28,0.284,0.619,-7.005
77,78,Take A Bow - Main,Rihanna,271453,ph,39afswHs17v53znQm1gDTY,2018-09-21,2018-09-28,0.536,0.47,-7.59
78,79,So Sick,Ne-Yo,270383,ph,6brl7bwOHmGFkNw3MBqssT,2018-09-21,2018-09-28,0.589,0.592,-8.298
79,80,Promises (with Sam Smith),Calvin Harris,268976,ph,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
80,81,Playinwitme (feat. Kehlani),KYLE,266864,ph,4F1yvJfQ7gJkrcgFJQDjOr,2018-09-21,2018-09-28,0.676,0.584,-5.768
81,82,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,266791,ph,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
82,83,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,261947,ph,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
83,84,Photograph,Ed Sheeran,258253,ph,6fxVffaTuwjgEk5h9QyRjy,2018-09-21,2018-09-28,0.201,0.379,-10.48
84,85,Hanggang Kailan,Michael Pangilinan,257811,ph,01YEqVPCm0vqRLA9w43bic,2018-09-21,2018-09-28,0.324,0.174,-10.192
85,86,ILYSB,LANY,257616,ph,2btKtacOXuMtC9WjcNRvAA,2018-09-21,2018-09-28,0.389,0.623,-7.016
86,87,Di Makatulog,SUD,257224,ph,2ZiNCGDMapQzMtnPRVOKZI,2018-09-21,2018-09-28,0.262,0.393,-10.426
87,88,Lucid Dreams,Juice WRLD,256008,ph,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
88,89,Sila,SUD,254453,ph,2IMODbij0lZ5CuAjZi0IDE,2018-09-21,2018-09-28,0.28,0.376,-6.1
89,90,What Lovers Do (feat. SZA),Maroon 5,252164,ph,0GxQ1A5L9xnMOytbP6eKBG,2018-09-21,2018-09-28,0.419,0.597,-5.131
90,91,SLOW DANCING IN THE DARK,Joji,249913,ph,0UyljEbX9dqI1K0sqdv6B6,2018-09-21,2018-09-28,0.284,0.479,-7.458
91,92,BBoom BBoom,MOMOLAND,249302,ph,3BPoSr2pO34Aan6alFfVto,2018-09-21,2018-09-28,0.833,0.744,-4.249
92,93,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,248306,ph,6M21eWbEw74XDdoQsNIinq,2018-09-21,2018-09-28,0.108,0.125,-14.847
93,94,Kahit Di Mo Alam,December Avenue,246269,ph,6GIzDc4xBUeYHwubWwTrhC,2018-09-21,2018-09-28,0.282,0.648,-4.516
94,95,New Rules,Dua Lipa,245802,ph,2ekn2ttSfGqwhhate0LSR0,2018-09-21,2018-09-28,0.608,0.7,-6.021
