,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,434498,pl,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,I Love It (& Lil Pump),Kanye West,418684,pl,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Falling Down - Bonus Track,Lil Peep,405609,pl,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
3,4,Początek,Męskie Granie Orkiestra 2018,370402,pl,6TfeSFGbqxGjIKuKLQOsKC,2018-09-21,2018-09-28,0.954,0.703,-6.299
4,5,Promises (with Sam Smith),Calvin Harris,365318,pl,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
5,6,Weź nie pytaj,Paweł Domagała,357056,pl,4WgOhIHX0Ez6vJ7Efu9zbQ,2018-09-21,2018-09-28,0.595,0.517,-6.632
6,7,Natural,Imagine Dragons,349956,pl,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
7,8,Rozovoye Vino,Eldzhey,335538,pl,4LDcQ9sLkKCie4XcKaEwJD,2018-09-21,2018-09-28,0.329,0.719,-5.427
8,9,Małomiasteczkowy,Dawid Podsiadło,321780,pl,4pzE97EZMDxnqO88y3YxAm,2018-09-21,2018-09-28,0.434,0.865,-6.947
9,10,California,White 2115,306301,pl,2nFaT0t36H6UX3wN3Vxvjm,2018-09-21,2018-09-28,0.617,0.675,-8.29
10,11,Fiji,Taco Hemingway,302011,pl,2CdCs9y04oDuYCF4ewNzI7,2018-09-21,2018-09-28,0.351,0.813,-5.569
11,12,Euforia,Otsochodzi,299803,pl,7KMMRJ4dtn1rFXCXseKzYc,2018-09-21,2018-09-28,0.743,0.777,-5.62
12,13,Shotgun,George Ezra,282616,pl,4ofwffwvvnbSkrMSCKQDaC,2018-09-21,2018-09-28,0.754,0.735,-4.733
13,14,Body (feat. Brando),Loud Luxury,281588,pl,7K7MUBCnzgBAvMVW2RTWNs,2018-09-21,2018-09-28,0.582,0.764,-4.399
14,15,Nevermind,Dennis Lloyd,277887,pl,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
15,16,Rise,Jonas Blue,264441,pl,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
16,17,Wiking,Sarius,246148,pl,1ef8jV2jElVL74JzBKo6K7,2018-09-21,2018-09-28,0.276,0.554,-6.793
17,18,Sorry Dolores,Reto,244919,pl,0yd4OCmrcqvsAMUJGCMEFQ,2018-09-21,2018-09-28,0.798,0.726,-7.841
18,19,Youngblood,5 Seconds of Summer,239648,pl,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
19,20,Bestia,Young Igi,238832,pl,4I0R7t0kvVTlqQGpDp0GXl,2018-09-21,2018-09-28,0.365,0.468,-9.015
20,21,One Last Time (feat. Jesper Jenset),Gromee,236958,pl,2fsUx17P1kqo8s5LZKO8oh,2018-09-21,2018-09-28,0.665,0.758,-4.931
21,22,Solo (feat. Demi Lovato),Clean Bandit,227191,pl,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
22,23,Thunderclouds,Sia,226595,pl,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
23,24,King Of The Jungle,Shanguy,222848,pl,4wgiUYmfM37dcGhBwy0KZh,2018-09-21,2018-09-28,0.703,0.895,-3.919
24,25,Casablanca,BLACHA,216102,pl,54NQP70Bn4nAspwZODu732,2018-09-21,2018-09-28,0.504,0.785,-4.973
25,26,Happier,Marshmello,214816,pl,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
26,27,Darkside,Alan Walker,206745,pl,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
27,28,Ignite (feat. SEUNGRI),K-391,198456,pl,0UMLejbZXf7YVgnfxURvVr,2018-09-21,2018-09-28,0.486,0.866,-4.299
28,29,In My Feelings,Drake,195657,pl,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
29,30,Jackie Chan,Tiësto,195501,pl,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
30,31,Placebo,Adi Nowak,187583,pl,3cT0pXK7eKFFwajcFh4suK,2018-09-21,2018-09-28,0.487,0.475,-9.247
31,32,Dobry chłopak,Sarius,187382,pl,1vY066qHEkkbd5WLb5XlxR,2018-09-21,2018-09-28,0.259,0.789,-5.683
32,33,Be Alright,Dean Lewis,185876,pl,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
33,34,SAD!,XXXTENTACION,184080,pl,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
34,35,One Kiss (with Dua Lipa),Calvin Harris,183425,pl,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
35,36,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,176930,pl,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
