,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Devia Ir,Wet Bed Gang,275525,pt,1ftBvRj542ol7LT1A0EtL7,2018-09-21,2018-09-28,0.486,0.51,-7.965
1,2,O Bebê,MC Kevinho,167210,pt,51HrDv54pSe1IqynORNXBd,2018-09-21,2018-09-28,0.795,0.749,-3.734
2,3,Cafeína,Dj Dadda,161509,pt,37tlhZnzXdF5en96O1j93w,2018-09-21,2018-09-28,0.39,0.787,-5.931
3,4,Te Boté - Remix,Nio Garcia,152521,pt,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
4,5,I Love It (& Lil Pump),Kanye West,144345,pt,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
5,6,Lucid Dreams,Juice WRLD,143482,pt,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
6,7,Mafiosa (feat. Caroliina),Lartiste,139935,pt,0WxiQqTcK3ZErx2mMWgtm6,2018-09-21,2018-09-28,0.757,0.724,-4.266
7,8,In My Feelings,Drake,138783,pt,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
8,9,Falling Down - Bonus Track,Lil Peep,138749,pt,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
9,10,Lucky You (feat. Joyner Lucas),Eminem,120505,pt,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
10,11,Natural,Imagine Dragons,117388,pt,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
11,12,Happier,Marshmello,112845,pt,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
12,13,Amor de Verdade,MC Kekel,112461,pt,76KDy62J99FKu6ZsxMJy3j,2018-09-21,2018-09-28,0.461,0.724,-7.966
13,14,Eastside (with Halsey & Khalid),benny blanco,112179,pt,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
14,15,In My Mind,Dynoro,112131,pt,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
15,16,NÓS2 (feat. Deezy),Bispo,107816,pt,4Pl3vnDKIJRQ1eXjeqimBR,2018-09-21,2018-09-28,0.452,0.647,-7.407
16,17,Água de Coco (Prod. Lhast),ProfJam,107333,pt,4VXadgWrXnmHsWknVD2vgJ,2018-09-21,2018-09-28,0.133,0.492,-7.762
17,18,SAD!,XXXTENTACION,105964,pt,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
18,19,Promises (with Sam Smith),Calvin Harris,101125,pt,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
19,20,Mesa 8,Wet Bed Gang,94819,pt,6ZWr4ogmKx2JlY6YOTcnON,2018-09-21,2018-09-28,0.279,0.822,-2.814
20,21,Better,Khalid,94301,pt,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
21,22,Din Din Din (Participação especial de MC Pupio e MC Doguinha),Ludmilla,91836,pt,78Q2gghkt8iLJ7J0Uc4QYb,2018-09-21,2018-09-28,0.887,0.622,-5.841
22,23,Sauce,Sippinpurpp,91636,pt,4v5cpw1zIlqShprCCgL5UL,2018-09-21,2018-09-28,0.678,0.543,-11.536
23,24,Youngblood,5 Seconds of Summer,90005,pt,2iUXsYOEPhVqEBwsqP70rE,2018-09-21,2018-09-28,0.152,0.854,-5.114
24,25,Taste (feat. Offset),Tyga,89589,pt,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
25,26,Better Now,Post Malone,89072,pt,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
26,27,Girls Like You (feat. Cardi B),Maroon 5,87696,pt,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
27,28,Rise,Jonas Blue,83789,pt,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
28,29,Solo (feat. Demi Lovato),Clean Bandit,75890,pt,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
29,30,Faz Gostoso,Blaya,74311,pt,35pucCKt28NvIK88gpEEjl,2018-09-21,2018-09-28,0.478,0.583,-5.569
30,31,SICKO MODE,Travis Scott,73501,pt,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
31,32,BEBE,6ix9ine,73480,pt,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
32,33,One Kiss (with Dua Lipa),Calvin Harris,72904,pt,7ef4DlsgrMEH11cDZd32M6,2018-09-21,2018-09-28,0.592,0.862,-3.24
33,34,Chaminé (Zara G),Wet Bed Gang,71242,pt,53kn2KqWSG9neh5H3YQqxt,2018-09-21,2018-09-28,0.405,0.663,-3.883
34,35,Be Alright,Dean Lewis,71125,pt,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
35,36,Vaina Loca,Ozuna,70402,pt,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
36,37,Prova dos 9,Piruka,70055,pt,7JSvz1VaPKZzQ0gRJkW95x,2018-09-21,2018-09-28,0.312,0.472,-10.651
37,38,Rain,mishlawi,69208,pt,65GMCfqsrFRDSX7OWNoJeS,2018-09-21,2018-09-28,0.259,0.459,-8.555
38,39,Dona Maria,Thiago Brava,68915,pt,0dGqIEsFN3KakdPCMkgjre,2018-09-21,2018-09-28,0.924,0.447,-7.485
39,40,breathin,Ariana Grande,68686,pt,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
40,41,Beautiful (feat. Camila Cabello),Bazzi,68443,pt,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
41,42,Coração Não Tem Idade (Vou Beijar),Toy,68406,pt,42RynyXHcGYj6Cvwrh7eIZ,2018-09-21,2018-09-28,0.781,0.794,-4.722
42,43,Não Sinto,Wet Bed Gang,68156,pt,0YC2GENi574LpUCPEHk8qy,2018-09-21,2018-09-28,0.185,0.584,-8.61
43,44,No Brainer,DJ Khaled,67486,pt,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
44,45,Sin Pijama,Becky G,66489,pt,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
45,46,Jackie Chan,Tiësto,65981,pt,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
46,47,I Like It,Cardi B,65376,pt,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
47,48,Electricity (with Dua Lipa),Silk City,64348,pt,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
48,49,Moonlight,XXXTENTACION,59866,pt,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
49,50,Nevermind,Dennis Lloyd,59748,pt,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
50,51,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,55697,pt,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
51,52,God is a woman,Ariana Grande,54916,pt,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
