,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,I Love It (& Lil Pump),Kanye West,52081,ro,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
1,2,Falling Down - Bonus Track,Lil Peep,50571,ro,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,Lucky You (feat. Joyner Lucas),Eminem,40248,ro,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
3,4,Killshot,Eminem,27678,ro,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
4,5,In My Mind,Dynoro,26930,ro,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
5,6,Promises (with Sam Smith),Calvin Harris,26611,ro,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
6,7,SICKO MODE,Travis Scott,25375,ro,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
7,8,Eastside (with Halsey & Khalid),benny blanco,23993,ro,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,Happier,Marshmello,22840,ro,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
9,10,In My Feelings,Drake,22757,ro,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
10,11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,21996,ro,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
11,12,SAD!,XXXTENTACION,21974,ro,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
12,13,Be Alright,Dean Lewis,21893,ro,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
13,14,The Ringer,Eminem,21744,ro,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
14,15,No Stylist,French Montana,21464,ro,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
15,16,Wake Up in the Sky,Gucci Mane,21375,ro,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
16,17,New Patek,Lil Uzi Vert,21126,ro,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
17,18,Natural,Imagine Dragons,21079,ro,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
18,19,Better,Khalid,20870,ro,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
19,20,Fall,Eminem,19635,ro,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
20,21,Taste (feat. Offset),Tyga,19577,ro,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
21,22,Not Alike (feat. Royce Da 5'9),Eminem,18702,ro,28FGV3ORH14MYORd7s5dlU,2018-09-21,2018-09-28,0.342,0.756,-3.746
22,23,Moonlight,XXXTENTACION,18393,ro,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
23,24,Nonstop,Drake,18336,ro,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
24,25,Thunderclouds,Sia,18291,ro,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
25,26,Better Now,Post Malone,17607,ro,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
26,27,Electricity (with Dua Lipa),Silk City,16862,ro,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
27,28,Greatest,Eminem,16646,ro,2XTquzYQAdT1Hk78bOUwsv,2018-09-21,2018-09-28,0.367,0.737,-5.186
28,29,Kamikaze,Eminem,16288,ro,2gsNpSn7VvvJuSrIDfRoYy,2018-09-21,2018-09-28,0.642,0.808,-5.175
29,30,Lucid Dreams,Juice WRLD,15824,ro,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
