,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,1345650,se,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,I Love It (& Lil Pump),Kanye West,1209363,se,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,Be Alright,Dean Lewis,1087179,se,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
3,4,In My Mind,Dynoro,1010639,se,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
4,5,Sweet but Psycho,Ava Max,1009849,se,25sgk305KZfyuqVBQIahim,2018-09-21,2018-09-28,0.628,0.704,-4.724
5,6,Happier,Marshmello,974579,se,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
6,7,Promises (with Sam Smith),Calvin Harris,863691,se,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
7,8,Lucky You (feat. Joyner Lucas),Eminem,820348,se,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
8,9,Auf wiedersehen,Hov1,747292,se,0VchObTqyNU0oWVBjLTSVh,2018-09-21,2018-09-28,0.591,0.778,-5.125
9,10,Kär i din kärlek - Recorded at Spotify Studios Stockholm,Molly Sandén,737436,se,5an6BWQDhw4FnjZhdyOFuL,2018-09-21,2018-09-28,0.593,0.5,-9.39
10,11,Eastside (with Halsey & Khalid),benny blanco,687927,se,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
11,12,Lucid Dreams,Juice WRLD,666812,se,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
12,13,Gäller,Z.E,662956,se,1U9TNHyH61eVXxR5BXls2v,2018-09-21,2018-09-28,0.693,0.597,-11.826
13,14,High With Somebody,Sandro Cavazza,635426,se,6IhosQhN1ayHO4XP72XFXy,2018-09-21,2018-09-28,0.789,0.644,-7.856
