,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Be Alright,Dean Lewis,304482,sg,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
1,2,Happier,Marshmello,268977,sg,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
2,3,Beautiful (feat. Camila Cabello),Bazzi,251083,sg,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
3,4,Eastside (with Halsey & Khalid),benny blanco,245762,sg,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
4,5,Thunderclouds,Sia,222373,sg,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
5,6,8 Letters,Why Don't We,220947,sg,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
6,7,Better,Khalid,210270,sg,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
7,8,Darkside,Alan Walker,196633,sg,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
8,9,Happy Now,Zedd,180086,sg,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
9,10,Love Someone,Lukas Graham,174755,sg,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
10,11,Girls Like You (feat. Cardi B),Maroon 5,174460,sg,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
11,12,breathin,Ariana Grande,171607,sg,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
12,13,Lucky You (feat. Joyner Lucas),Eminem,168567,sg,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
13,14,DDU-DU DDU-DU - KR Ver.,BLACKPINK,151701,sg,2CWnuF7ht55Ajyeg4WPvWu,2018-09-21,2018-09-28,0.372,0.86,-3.921
14,15,2002,Anne-Marie,151108,sg,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
15,16,Electricity (with Dua Lipa),Silk City,141139,sg,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
16,17,Promises (with Sam Smith),Calvin Harris,138630,sg,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
17,18,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,134869,sg,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
18,19,Superhero,Lauv,133424,sg,1Fo4OvzP9PThFKMeMIAEYu,2018-09-21,2018-09-28,0.417,0.34,-8.617
19,20,No Brainer,DJ Khaled,130397,sg,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
20,21,Killshot,Eminem,127300,sg,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
21,22,體面(電影《前任3:再見前任》插曲),Kelly Yu,125873,sg,7cE5ehlKJ3L9Ejhzm3udcF,2018-09-21,2018-09-28,0.205,0.465,-8.483
22,23,God is a woman,Ariana Grande,125137,sg,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
23,24,High Hopes,Panic! At The Disco,123407,sg,1rqqCSm0Qe4I9rUvWncaom,2018-09-21,2018-09-28,0.681,0.904,-2.729
24,25,I'm a Mess,Bebe Rexha,119911,sg,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
25,26,Solo (feat. Demi Lovato),Clean Bandit,118601,sg,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
26,27,Natural,Imagine Dragons,118445,sg,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
27,28,那些你很冒險的夢,JJ Lin,116290,sg,5kZDxLcbqglZ2yYXg4Mkjc,2018-09-21,2018-09-28,0.28,0.487,-5.276
28,29,Rise,Jonas Blue,115478,sg,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
29,30,Siren,SUNMI,114504,sg,2EK48RuuE8HHMDzD2rEDqL,2018-09-21,2018-09-28,0.521,0.905,-3.686
30,31,In My Feelings,Drake,113400,sg,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
31,32,I Love It (& Lil Pump),Kanye West,113096,sg,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
32,33,Thru These Tears,LANY,112915,sg,4gB61mP4tNChn4LgfquMhi,2018-09-21,2018-09-28,0.294,0.517,-7.695
33,34,Falling Down - Bonus Track,Lil Peep,112735,sg,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
34,35,Let Me Down Slowly,Alec Benjamin,110806,sg,2uaiyLKnYvazyfR0Ky3Kbk,2018-09-21,2018-09-28,0.506,0.548,-5.692
35,36,Ocean (feat. Khalid),Martin Garrix,110101,sg,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
36,37,告白氣球,Jay Chou,109354,sg,1ivCIgrYZyE0BvItL4Z8lk,2018-09-21,2018-09-28,0.448,0.572,-7.658
37,38,如果雨之後,Eric Chou,105457,sg,6kabSi7XCHHGThNme6J2tL,2018-09-21,2018-09-28,0.445,0.534,-5.931
