,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,In My Mind,Dynoro,54256,sk,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
1,2,Falling Down - Bonus Track,Lil Peep,52217,sk,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
2,3,I Love It (& Lil Pump),Kanye West,48479,sk,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
3,4,Lucky You (feat. Joyner Lucas),Eminem,33916,sk,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
4,5,Natural,Imagine Dragons,32689,sk,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
5,6,Promises (with Sam Smith),Calvin Harris,32232,sk,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
6,7,Happier,Marshmello,28580,sk,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,Eastside (with Halsey & Khalid),benny blanco,24973,sk,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
8,9,Be Alright,Dean Lewis,22992,sk,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
9,10,Better,Khalid,20505,sk,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
10,11,Electricity (with Dua Lipa),Silk City,20220,sk,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
11,12,Blah Blah Blah,Armin van Buuren,19654,sk,0tp6mwUt99QnfY95T30Lqj,2018-09-21,2018-09-28,0.16,0.963,-3.911
12,13,Solo (feat. Demi Lovato),Clean Bandit,18977,sk,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
13,14,Killshot,Eminem,18785,sk,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
14,15,Thunderclouds,Sia,18547,sk,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
15,16,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,17969,sk,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
16,17,Rise,Jonas Blue,17629,sk,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
17,18,Nevermind,Dennis Lloyd,17607,sk,63SevszngYpZOwf63o61K4,2018-09-21,2018-09-28,0.0796,0.691,-8.354
18,19,The Ringer,Eminem,16936,sk,2jt2WxXMCD4zjACthkJQVE,2018-09-21,2018-09-28,0.42,0.551,-9.126
19,20,In My Feelings,Drake,16897,sk,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
20,21,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,16693,sk,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
21,22,SICKO MODE,Travis Scott,16478,sk,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
22,23,Wake Up in the Sky,Gucci Mane,16413,sk,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
23,24,REMEDY,Alesso,16247,sk,6jreFSOTUAViWjKyzOC4Kg,2018-09-21,2018-09-28,0.483,0.775,-4.612
24,25,Girls Like You (feat. Cardi B),Maroon 5,16062,sk,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
25,26,Fall,Eminem,16044,sk,58QhkbaAkLFnn7JwAnAato,2018-09-21,2018-09-28,0.535,0.546,-5.716
26,27,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,15719,sk,0cDwUAF7yQrOLRcFfJpSc2,2018-09-21,2018-09-28,0.264,0.652,-7.49
27,28,breathin,Ariana Grande,15463,sk,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
28,29,Let You Love Me,Rita Ora,14684,sk,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
29,30,No Brainer,DJ Khaled,14637,sk,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
30,31,Jackie Chan,Tiësto,14614,sk,4kWO6O1BUXcZmaxitpVUwp,2018-09-21,2018-09-28,0.687,0.834,-2.867
31,32,High On Life (feat. Bonn),Martin Garrix,14501,sk,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
32,33,Born To Be Yours,Kygo,14179,sk,0kHyKhJMukHEPfeh8s7rdM,2018-09-21,2018-09-28,0.451,0.688,-5.84
