,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Vaina Loca,Ozuna,52497,sv,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
1,2,No Es Justo,J Balvin,44821,sv,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
2,3,BEBE,6ix9ine,43321,sv,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
3,4,Quiere Beber,Anuel AA,40095,sv,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
4,5,Toda - Remix,Alex Rose,38672,sv,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
5,6,La player (Bandolera),Zion & Lennox,37913,sv,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
6,7,Te Boté - Remix,Nio Garcia,35592,sv,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
7,8,Cuando Te Besé,Becky G,34269,sv,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
8,9,Sin Pijama,Becky G,30613,sv,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
9,10,Amigos Con Derechos,Reik,29919,sv,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
10,11,Ya No Tiene Novio,Sebastian Yatra,28999,sv,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
11,12,Mala Mía,Maluma,28801,sv,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
12,13,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,28379,sv,3TnhQSRwT3AVMdXw5JPq0x,2018-09-21,2018-09-28,0.379,0.631,-4.837
13,14,Culpables,KAROL G,28013,sv,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
14,15,Por Perro,Sebastian Yatra,27237,sv,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
15,16,I Like It,Cardi B,26124,sv,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
16,17,Asesina,Brytiago,25255,sv,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
17,18,No Me Acuerdo,Thalía,24454,sv,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
18,19,Estamos Bien,Bad Bunny,24039,sv,7glCSQqV5o6NU88Cn4zPZn,2018-09-21,2018-09-28,0.468,0.557,-5.618
19,20,Hipócrita,Anuel AA,23910,sv,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
20,21,Culpables,Manuel Turizo,23486,sv,3RD0PGolM0mETGHaprwgMn,2018-09-21,2018-09-28,0.764,0.31,-11.134
21,22,Clandestino,Shakira,22371,sv,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
22,23,Te Amo,Piso 21,21723,sv,2RVrdr062uLFxXwIxwdXPH,2018-09-21,2018-09-28,0.63,0.724,-4.139
23,24,In My Feelings,Drake,21628,sv,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
24,25,Me Niego (feat. Ozuna & Wisin),Reik,20825,sv,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
25,26,Epa Wei,Danny Ocean,19798,sv,2QmsKag0YaqhAbpR9Nwmpn,2018-09-21,2018-09-28,0.804,0.82,-4.715
26,27,Chica Paranormal,Paulo Londra,19198,sv,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
