,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,เป็นไรไหม?,OG-ANIC,152832,th,09Mn2O6dtMLCKdeD0BtLdO,2018-09-21,2018-09-28,0.966,0.56,-6.24
1,2,อาวรณ์,Polycat,150861,th,2USX969yFQ250hBULh6Ope,2018-09-21,2018-09-28,0.809,0.763,-5.47
2,3,ติดตลก,Oat Pramote,119541,th,6YYcwUa7auypfzwUZoNEGY,2018-09-21,2018-09-28,0.388,0.394,-10.216
3,4,มีผลต่อหัวใจ,Non Tanon,109956,th,6LxsOkPSGBOsPhDKFAgYVM,2018-09-21,2018-09-28,0.474,0.664,-6.796
4,5,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,106420,th,0EYgFMIXhjcFgX6xe2NY9v,2018-09-21,2018-09-28,0.482,0.593,-6.321
5,6,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,95589,th,3WQe3r4R1lnJs75ty9UYDF,2018-09-21,2018-09-28,0.196,0.522,-6.419
6,7,Happier,Marshmello,93222,th,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
7,8,ภาพจำ,Pop Pongkool,92504,th,4YRpjJaJpiI36HM36Dn5lS,2018-09-21,2018-09-28,0.464,0.585,-7.559
8,9,Good Luck feat. Maiyarap,Lipta,91171,th,3tMbwbZpYXGHeg0l45m7Tv,2018-09-21,2018-09-28,0.727,0.689,-7.036
9,10,ภูเขาบังเส้นผม feat. TWOPEE,Stamp,90155,th,5kHLmBd3GTMIFhWdD3berA,2018-09-21,2018-09-28,0.905,0.72,-5.61
10,11,ความเงียบดังที่สุด,Getsunova,88016,th,49o9ToewyZywgB5KlaB3WN,2018-09-21,2018-09-28,0.167,0.533,-6.143
11,12,DDU-DU DDU-DU - KR Ver.,BLACKPINK,86207,th,2CWnuF7ht55Ajyeg4WPvWu,2018-09-21,2018-09-28,0.372,0.86,-3.921
12,13,Kimi wa Melody,BNK48,86050,th,5XNGsehWHvLadKqI9EIYKu,2018-09-21,2018-09-28,0.477,0.922,-4.532
13,14,Better,Khalid,83190,th,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
14,15,คนที่ไม่ใช่,O-Pavee,79514,th,76rs0Apd4Ct5LwJm8pB6r1,2018-09-21,2018-09-28,0.196,0.484,-8.12
15,16,นอนได้แล้ว,F.HERO,75410,th,5JhLoyD2idGlKXwD9nmYuB,2018-09-21,2018-09-28,0.696,0.712,-6.939
16,17,OUU NA NA (feat. FIIXD),Wonderframe,72834,th,5oqPT1KXfiCgFfGNc9f80H,2018-09-21,2018-09-28,0.627,0.68,-5.783
17,18,2002,Anne-Marie,72228,th,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
18,19,ขอโทษ,Burin Boonvisut,71770,th,6sCQmOY5k4BcjONYyVccaz,2018-09-21,2018-09-28,0.422,0.523,-8.881
19,20,Day 1 ◑,HONNE,71523,th,6ZzYETKetIfNUsZUb23jgG,2018-09-21,2018-09-28,0.633,0.581,-7.007
20,21,Good Morning Teacher,Atom Chanakan,69676,th,4AsE3bvoh6yuZls617lj4Z,2018-09-21,2018-09-28,0.536,0.576,-7.367
21,22,หากวันนั้น,Room 39,65387,th,4hy03eg0PksOEJraNfqb1O,2018-09-21,2018-09-28,0.23,0.338,-13.892
22,23,ถ้าเธอต้องเลือก,Illslick,64380,th,5Of65kRDivh4UHG3SG5Iad,2018-09-21,2018-09-28,0.678,0.585,-4.098
23,24,รู้ทั้งรู้,OG-ANIC,63824,th,0KnDJSGxu03x8idlKLKKki,2018-09-21,2018-09-28,0.185,0.48,-8.626
24,25,วิชาตัวเบา,Bodyslam,61493,th,2j2NeZZJ0STZQy5Aw3oZLL,2018-09-21,2018-09-28,0.309,0.847,-2.804
25,26,พอจะรู้,MEYOU,61391,th,4p4SOBQ0fxHYluEcba6Xrq,2018-09-21,2018-09-28,0.48,0.302,-11.773
26,27,In My Feelings,Drake,57508,th,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
27,28,Electricity (with Dua Lipa),Silk City,57042,th,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
28,29,แสงสวรรค์,Bodyslam,56770,th,6C331FOFAfB30jVFI5wwNY,2018-09-21,2018-09-28,0.328,0.955,-3.89
29,30,Be Alright,Dean Lewis,56615,th,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
30,31,กำลังจะ,Illslick,55814,th,18kwPdB3Bx8n9Mk4YsO6LT,2018-09-21,2018-09-28,0.514,0.438,-6.117
31,32,Galaxy (feat. Kob The X Factor),D Gerrard,55328,th,0yO5RrszdEpqXhDwyhP6nX,2018-09-21,2018-09-28,0.5,0.856,-2.303
32,33,Girls Like You (feat. Cardi B),Maroon 5,55311,th,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
33,34,Lullaby,GOT7,55042,th,1aDarBap4uQgOt9k4fxWd8,2018-09-21,2018-09-28,0.726,0.888,-2.756
34,35,FOREVER YOUNG - KR Ver.,BLACKPINK,54354,th,57Enap29zKl7NGRdDJjkjA,2018-09-21,2018-09-28,0.504,0.96,-1.807
35,36,Wake Up in the Sky,Gucci Mane,53873,th,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
36,37,เอาไว้ค่อยคุย,Gliss,52968,th,7kPt9mmvufI8A99lvwlzAB,2018-09-21,2018-09-28,0.2,0.596,-6.778
37,38,แผลในใจ,Gtk,52561,th,5DhVAdJiCSdTJn5A1ioKLb,2018-09-21,2018-09-28,0.267,0.515,-7.931
38,39,เท่าไหร่ไม่จำ,Potato,51986,th,5zRMhQ21pWGN0rPxAS4QkI,2018-09-21,2018-09-28,0.497,0.815,-4.079
39,40,ใจเย็น,Image,51210,th,5HoTeTzdfAataCZ0piQyAv,2018-09-21,2018-09-28,0.257,0.52,-6.42
40,41,คิดถึงจัง (มาหาหน่อย),Oat Pramote,51049,th,63quSq4p0NagZdZI3ttb4f,2018-09-21,2018-09-28,0.658,0.548,-7.841
41,42,Eastside (with Halsey & Khalid),benny blanco,51032,th,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
42,43,ด้วยความยินดี,Marc Tatchapon,50198,th,01OV7S5Hn7tsLXtisTdzNO,2018-09-21,2018-09-28,0.355,0.497,-7.893
43,44,Full Moon,Mild,48621,th,5SGcdWk5ROFgwSzlHJ9kCB,2018-09-21,2018-09-28,0.639,0.704,-6.98
44,45,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,48597,th,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
45,46,Darkside,Alan Walker,47323,th,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
46,47,LOVE SCENARIO,iKON,46658,th,6qAzAmPBUpGrk7XADZHR5k,2018-09-21,2018-09-28,0.746,0.707,-4.623
47,48,ถ้าฉันหายไป(Skyline),Earth Patravee,46163,th,0goff2JabkZTEq1yKeyoM8,2018-09-21,2018-09-28,0.208,0.29,-10.707
48,49,Lil’ Touch,Girls' Generation-Oh!GG,45100,th,4D5Ode2OfZMxIwQyvmhUe8,2018-09-21,2018-09-28,0.669,0.789,-4.694
49,50,I Love It (& Lil Pump),Kanye West,44458,th,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
50,51,Escape,Moving and Cut,44260,th,3QNcZFnVawSjecRnWDd15O,2018-09-21,2018-09-28,0.374,0.693,-6.897
51,52,มอง,DABOYWAY,43763,th,4tsebfF0OfM3A4GkytiGSf,2018-09-21,2018-09-28,0.966,0.443,-7.285
52,53,นอกจากชื่อฉัน,ACTART,43732,th,3nQlPsRsO4mEqVaiqErCLO,2018-09-21,2018-09-28,0.416,0.503,-5.5
53,54,คนชั่ว 2018,The Parkinson,42281,th,7ei0VnJbGojtdCDCp2Mow1,2018-09-21,2018-09-28,0.736,0.668,-7.07
54,55,เกาะสวาทหาดสวรรค์,Gavin D,41596,th,193BjzeSedC42I3ydg1SyF,2018-09-21,2018-09-28,0.768,0.5,-7.25
55,56,เกลียด,The Yers,41347,th,41vKbXPhcMVyb3WCWQwsfl,2018-09-21,2018-09-28,0.877,0.66,-7.58
56,57,ฝันหวานอายจูบ,Stamp,41112,th,10DSYghyBjAYJa8iCvdRDv,2018-09-21,2018-09-28,0.23,0.72,-6.057
57,58,Falling Down - Bonus Track,Lil Peep,40761,th,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
58,59,ช้ำคือเรา - Version สมอารมณ์,สมอารมณ์,40540,th,2RDD7HPe72Le3jkqR7Kt8f,2018-09-21,2018-09-28,0.352,0.457,-9.43
59,60,I Don't Wanna Love You Anymore,LANY,40418,th,1NEV2pt7AJSHWadhfCZ48t,2018-09-21,2018-09-28,0.5,0.622,-8.29
60,61,Beautiful (feat. Camila Cabello),Bazzi,40064,th,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
61,62,IDOL,BTS,40023,th,03iCbZaM4OkRR4We6wIzvx,2018-09-21,2018-09-28,0.446,0.857,-3.394
62,63,KILLING ME,iKON,39340,th,27kB4qLUCV8nZd2eOgj1Tk,2018-09-21,2018-09-28,0.505,0.672,-5.277
63,64,Lover Boy,Phum Viphurit,38705,th,2rd4FH1cSaWGc0ZiUaMbX9,2018-09-21,2018-09-28,0.627,0.556,-8.597
64,65,Love Someone,Lukas Graham,38639,th,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
65,66,ฝืนตัวเองไม่เป็น,Non Tanon,38303,th,0FlZM6SFefxfXzX68IpVxb,2018-09-21,2018-09-28,0.577,0.599,-5.549
66,67,As If It's Your Last,BLACKPINK,38215,th,1Zyd6zQnC6XIIzmg3hP7Ot,2018-09-21,2018-09-28,0.45,0.853,-2.687
67,68,8 Letters,Why Don't We,37932,th,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
68,69,Promises (with Sam Smith),Calvin Harris,37161,th,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
69,70,Stars,The Toys,37065,th,00XqyOkSIiqOygR0kezc4x,2018-09-21,2018-09-28,0.22,0.479,-8.291
70,71,Tsugi no Season,BNK48,35563,th,7fT6f3DZhpRcYr68PmiCaj,2018-09-21,2018-09-28,0.686,0.865,-4.182
71,72,Natural,Imagine Dragons,35170,th,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
72,73,Thunderclouds,Sia,35082,th,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
73,74,Thick And Thin,LANY,34755,th,7qIICzwgm3eu1Ic3ufPGJf,2018-09-21,2018-09-28,0.266,0.564,-6.063
74,75,breathin,Ariana Grande,34665,th,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
75,76,ฟัง,SIN,34257,th,6RjwqDSAllo8d9EfDEK5IV,2018-09-21,2018-09-28,0.347,0.491,-9.539
76,77,Power Up,Red Velvet,34220,th,381g0b6QZxC13SzA2HRMIc,2018-09-21,2018-09-28,0.898,0.934,-4.618
77,78,Yume e no Route,BNK48,33950,th,1dbscODVvAVIRdrQTEFMhI,2018-09-21,2018-09-28,0.478,0.947,-3.952
78,79,Thru These Tears,LANY,33775,th,4gB61mP4tNChn4LgfquMhi,2018-09-21,2018-09-28,0.294,0.517,-7.695
79,80,Lucky You (feat. Joyner Lucas),Eminem,32265,th,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
80,81,FRIENDS,Marshmello,31616,th,08bNPGLD8AhKpnnERrAc6G,2018-09-21,2018-09-28,0.534,0.88,-2.384
81,82,ร้อยล้านวิว,Stamp,31547,th,2KKwNFzypGehPrAZCKc1HW,2018-09-21,2018-09-28,0.184,0.639,-6.425
82,83,I Like Me Better,Lauv,31451,th,2P91MQbaiQOfbiz9VqhqKQ,2018-09-21,2018-09-28,0.419,0.505,-7.621
83,84,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,31336,th,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
84,85,Siren,SUNMI,31287,th,2EK48RuuE8HHMDzD2rEDqL,2018-09-21,2018-09-28,0.521,0.905,-3.686
85,86,FAKE LOVE,BTS,31281,th,3aW0ds4A4tSQDIp75FqWTo,2018-09-21,2018-09-28,0.344,0.719,-4.515
86,87,Miyabi,Mindset,30587,th,4MqvgXzimRfZOqJkihjrqL,2018-09-21,2018-09-28,0.768,0.744,-4.242
87,88,แค่เราไม่ได้รักกัน,Indigo,30381,th,7Fi43HjA5FTTCPOj2wai00,2018-09-21,2018-09-28,0.235,0.658,-6.721
88,89,HANN (Alone),(G)I-DLE,30251,th,7gr57cYekMWriyJYbT7oZ4,2018-09-21,2018-09-28,0.24,0.718,-3.315
89,90,เจ็บจนไม่เข้าใจ,PORTRAIT,30092,th,4URCEQmgwuwaHiySIqGmIa,2018-09-21,2018-09-28,0.701,0.627,-7.553
90,91,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,29972,th,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
91,92,We Go Up,NCT DREAM,29554,th,26vOBLHS116a4WNUVlvAUW,2018-09-21,2018-09-28,0.349,0.77,-4.692
92,93,No Brainer,DJ Khaled,29306,th,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
93,94,REALLY - KR Ver.,BLACKPINK,29084,th,7AWtaOSb7cgi16wJr3mkuf,2018-09-21,2018-09-28,0.947,0.882,-2.08
94,95,Bad Boy,Red Velvet,28951,th,5GKwq4sO5ZHKuWaDmdwMQc,2018-09-21,2018-09-28,0.814,0.736,-3.801
95,96,ผิดที่ฉัน,60Miles,28671,th,65SM4x81LohlqhSVFqITWd,2018-09-21,2018-09-28,0.205,0.483,-6.447
96,97,ไม่มีเธอไม่ตาย,Gam Wichayanee,28508,th,6mUclBcqOp65gflMeu2UWR,2018-09-21,2018-09-28,0.587,0.808,-4.653
97,98,SEE U LATER - KR Ver.,BLACKPINK,27449,th,514mQDPkXmPzsYwGNmkBJZ,2018-09-21,2018-09-28,0.559,0.927,-3.973
98,99,PLAYING WITH FIRE - KR Ver.,BLACKPINK,27438,th,5OepnJhqZoyJN8qWo2LZzy,2018-09-21,2018-09-28,0.663,0.758,-4.393
99,100,Listen,Maiyarap,27354,th,7N0vrJf1kHSzUItby4ZQr0,2018-09-21,2018-09-28,0.517,0.643,-6.998
100,101,Happy Now,Zedd,27109,th,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
101,102,คิดถึงขนาด,Somkiat,26129,th,6YBmlh2aJJTfnYp4jhQzFj,2018-09-21,2018-09-28,0.321,0.671,-5.426
102,103,อย่าทำอย่างนั้น,PORTRAIT,25684,th,1tMotuXLRwAZYpRfz4oAMx,2018-09-21,2018-09-28,0.471,0.67,-6.324
103,104,PLEASE,Atom Chanakan,25542,th,60hF3gZXQ33xdAXXk6tE1x,2018-09-21,2018-09-28,0.508,0.491,-9.06
104,105,BOOMBAYAH - KR Ver.,BLACKPINK,25497,th,1qAPA8TooLVEqAZ58fhcrt,2018-09-21,2018-09-28,0.375,0.85,-3.157
105,106,no tears left to cry,Ariana Grande,25408,th,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
106,107,แอบบอกรัก,Jaonaay,25116,th,1xJP5BQBwQRl59B6EGcujF,2018-09-21,2018-09-28,0.636,0.628,-6.767
107,108,Head Above Water,Avril Lavigne,24566,th,1N7YeVU0ZwAFbOhwM61ef6,2018-09-21,2018-09-28,0.268,0.694,-5.351
108,109,Perfect,Ed Sheeran,24534,th,0tgVpDi06FyKpA1z0VMD4v,2018-09-21,2018-09-28,0.168,0.448,-6.312
109,110,Want To,Dua Lipa,24475,th,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
110,111,BBoom BBoom,MOMOLAND,24082,th,3BPoSr2pO34Aan6alFfVto,2018-09-21,2018-09-28,0.833,0.744,-4.249
111,112,ไม่ตอบ,UrboyTJ,23860,th,2MezCXpLYYWcShseflM6NB,2018-09-21,2018-09-28,0.486,0.758,-4.684
112,113,WHISTLE - KR Ver.,BLACKPINK,23822,th,67BbMuItfrHmaNqDxBPF7c,2018-09-21,2018-09-28,0.589,0.722,-4.804
113,114,Say My Name,David Guetta,23472,th,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
114,115,What is Love?,TWICE,23426,th,5Ek40FyMPprcvtyZDjqylX,2018-09-21,2018-09-28,0.602,0.91,-1.578
115,116,Strawberries & Cigarettes,Troye Sivan,23395,th,2z7UKVsBdbA7HFPunDKDP4,2018-09-21,2018-09-28,0.274,0.539,-8.696
