,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Mary Jane (Radio Edit),Burry Soprano,1099298,tr,51agJccRxKI5dqGJFkTojo,2018-09-21,2018-09-28,0.0951,0.561,-7.155
1,2,Elbet Bir Gün,Canbay & Wolker,712429,tr,1PJ1BbGaVmLogYicLKoZix,2018-09-21,2018-09-28,0.396,0.616,-8.67
2,3,Dipsiz Kuyum,Emrah Karaduman,682754,tr,27V2b6B6YZjU3IzqH1ynpm,2018-09-21,2018-09-28,0.489,0.819,-4.418
3,4,Geceler,Ezhel,465272,tr,0R0o8uOkDz40XsR6uwThfQ,2018-09-21,2018-09-28,0.339,0.497,-10.964
4,5,Tavşan,Contra,425970,tr,3wdHYmGpUpBtdGtKhbQMQ1,2018-09-21,2018-09-28,0.385,0.652,-8.143
5,6,In My Mind,Dynoro,392244,tr,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
6,7,Tamam Tamam,Summer Cem,391304,tr,2eRq2jwsZtb0uGH4qUsvT1,2018-09-21,2018-09-28,0.581,0.642,-7.141
7,8,Güzelliğine,Edis,381949,tr,69J8H2ujqGkJ4KSqp2YpRu,2018-09-21,2018-09-28,0.338,0.906,-2.823
8,9,Kazıdık Tırnaklarla,Ezhel,379495,tr,27OWNTEEtJCFVejrh5mqgv,2018-09-21,2018-09-28,0.358,0.521,-6.271
9,10,Bileklerime Kadar Acıyo,İdo Tatlıses,367194,tr,5MS3WBYfG0ESHzc6WnB9aZ,2018-09-21,2018-09-28,0.587,0.732,-5.844
10,11,Beni Sev,Hande Yener,350283,tr,0bE8X3KwUifITMaibVR9eD,2018-09-21,2018-09-28,0.363,0.766,-4.75
11,12,Thunderclouds,Sia,348700,tr,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
12,13,Dibine Dibine,Ece Seçkin,345257,tr,5GmOQzK89STZgfjwBlwrui,2018-09-21,2018-09-28,0.644,0.773,-3.624
13,14,Boş Gemiler,Yüzyüzeyken Konuşuruz,322979,tr,5xOAQ5o5mPI2FZZEOu1NZL,2018-09-21,2018-09-28,0.516,0.689,-9.174
14,15,Uyan,Velet,316261,tr,5jpgdY7oK3z09QCLZwPM3o,2018-09-21,2018-09-28,0.402,0.798,-5.129
15,16,In My Feelings,Drake,306790,tr,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
16,17,Falling Down - Bonus Track,Lil Peep,303340,tr,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
