,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Head Above Water,Avril Lavigne,161132,tw,1N7YeVU0ZwAFbOhwM61ef6,2018-09-21,2018-09-28,0.268,0.694,-5.351
1,2,Happier,Marshmello,133512,tw,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
2,3,年少有為,Ronghao Li,117099,tw,4F189oz9W9JOV6ovuHsHYV,2018-09-21,2018-09-28,0.288,0.477,-8.498
3,4,Be Alright,Dean Lewis,114694,tw,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443,0.586,-6.319
4,5,Eastside (with Halsey & Khalid),benny blanco,113679,tw,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
5,6,Electricity (with Dua Lipa),Silk City,107807,tw,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505,0.67,-6.439
6,7,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,103582,tw,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449,0.571,-7.906
7,8,Better,Khalid,102772,tw,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
8,9,浪流連,EggPlantEgg,99126,tw,2GJ9TC1R5yzZ2gYPKGPGyp,2018-09-21,2018-09-28,0.243,0.522,-6.366
9,10,倒數,G.E.M.,90610,tw,2HmM5p02Q2qrYZvXJRLVx3,2018-09-21,2018-09-28,0.204,0.671,-5.655
10,11,Promises (with Sam Smith),Calvin Harris,89504,tw,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486,0.768,-5.991
11,12,浪子回頭,EggPlantEgg,87806,tw,7J6wLr8qRqLPMeOZlR54NM,2018-09-21,2018-09-28,0.203,0.488,-9.979
12,13,Happy Now,Zedd,87658,tw,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458,0.741,-5.128
13,14,Beautiful (feat. Camila Cabello),Bazzi,83844,tw,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249,0.717,-4.722
14,15,體面(電影《前任3:再見前任》插曲),Kelly Yu,81938,tw,7cE5ehlKJ3L9Ejhzm3udcF,2018-09-21,2018-09-28,0.205,0.465,-8.483
15,16,Girls Like You (feat. Cardi B),Maroon 5,80208,tw,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
16,17,Wake Up in the Sky,Gucci Mane,78404,tw,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
17,18,Thunderclouds,Sia,76682,tw,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
18,19,慢慢喜歡你,Karen Mok,73176,tw,7EoyERNueJuFlQbyrRB0US,2018-09-21,2018-09-28,0.375,0.316,-9.55
19,20,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,72192,tw,2zy9TMoZlYGuCNY4TLqG24,2018-09-21,2018-09-28,0.496,0.617,-7.838
20,21,Natural,Imagine Dragons,72160,tw,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
21,22,Darkside,Alan Walker,71764,tw,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112,0.642,-5.06
22,23,Lucky You (feat. Joyner Lucas),Eminem,71166,tw,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
23,24,Love Someone,Lukas Graham,69870,tw,2JqnpexlO9dmvjUMCaLCLJ,2018-09-21,2018-09-28,0.274,0.415,-6.557
24,25,追光者 - 電視劇夏至未至插曲,Yoyo Sham,67562,tw,66LKcDWIHdqWEaviZhcMTx,2018-09-21,2018-09-28,0.261,0.344,-8.773
25,26,8 Letters,Why Don't We,67542,tw,4zRZAmBQP8vhNPf9i9opXt,2018-09-21,2018-09-28,0.255,0.478,-5.702
26,27,B.O.,ØZI,66901,tw,2LoGv4HSbilp1SVoQ10Qw6,2018-09-21,2018-09-28,0.794,0.559,-8.735
27,28,breathin,Ariana Grande,66299,tw,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
28,29,In My Feelings,Drake,64307,tw,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
29,30,High On Life (feat. Bonn),Martin Garrix,63084,tw,4ut5G4rgB1ClpMTMfjoIuy,2018-09-21,2018-09-28,0.368,0.486,-6.431
30,31,Want To,Dua Lipa,62108,tw,0CBFOvHlyqy30Q5tbyNHfQ,2018-09-21,2018-09-28,0.318,0.691,-4.783
31,32,2002,Anne-Marie,61739,tw,2BgEsaKNfHUdlh97KmvFyo,2018-09-21,2018-09-28,0.603,0.683,-2.881
32,33,No Brainer,DJ Khaled,60381,tw,5WvAo7DNuPRmk4APhdPzi8,2018-09-21,2018-09-28,0.639,0.76,-4.706
33,34,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,60180,tw,5Xn4IyTtW6FUGIUyWjbUHG,2018-09-21,2018-09-28,0.481,0.904,-3.694
34,35,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu,59882,tw,4F7ZAsndEIJXyFzJUHNlRu,2018-09-21,2018-09-28,0.425,0.342,-5.54
35,36,I Love It (& Lil Pump),Kanye West,59872,tw,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
36,37,Say My Name,David Guetta,58638,tw,0YammaEkYSeo9vQYZ1OwS6,2018-09-21,2018-09-28,0.79,0.66,-5.119
37,38,連名帶姓,A-Mei Chang,58501,tw,4a5FvWpFaCs3YOzEnnpgR0,2018-09-21,2018-09-28,0.271,0.311,-7.083
38,39,In My Mind,Dynoro,57334,tw,0E9ZjEAyAwOXZ7wJC0PD33,2018-09-21,2018-09-28,0.163,0.77,-5.335
39,40,Solo (feat. Demi Lovato),Clean Bandit,52674,tw,6kPJZM97LwdG9QIsT7khp6,2018-09-21,2018-09-28,0.565,0.636,-4.546
40,41,Siren,SUNMI,52461,tw,2EK48RuuE8HHMDzD2rEDqL,2018-09-21,2018-09-28,0.521,0.905,-3.686
41,42,Falling Down - Bonus Track,Lil Peep,52046,tw,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
42,43,我們 - 《後來的我們》電影主題曲,Eason Chan,51361,tw,0Uf0SvwUrf02ucIt1d0Wos,2018-09-21,2018-09-28,0.201,0.0962,-14.729
43,44,Rise,Jonas Blue,50916,tw,3u1S1OmAUhx5DRlLrXqyp3,2018-09-21,2018-09-28,0.669,0.784,-4.653
44,45,我還年輕 我還年輕,老王樂隊,50867,tw,5o48kuQnPwhuRAzO2t0bCU,2018-09-21,2018-09-28,0.453,0.561,-10.226
45,46,I'm a Mess,Bebe Rexha,49661,tw,04ZTP5KsCypmtCmQg5tH9R,2018-09-21,2018-09-28,0.216,0.694,-6.257
46,47,Burn Out (feat. Dewain Whitmore),Martin Garrix,49409,tw,7IWTIkiWGWNQyYfOLdMrGD,2018-09-21,2018-09-28,0.407,0.722,-5.751
47,48,飄向北方,Namewee,48692,tw,5mS0BGxAAebA3amJg6LkVk,2018-09-21,2018-09-28,0.284,0.73,-6.149
48,49,Let You Love Me,Rita Ora,48120,tw,6xtcFXSo8H9BZN637BMVKS,2018-09-21,2018-09-28,0.456,0.854,-3.149
49,50,Lil’ Touch,Girls' Generation-Oh!GG,47684,tw,4D5Ode2OfZMxIwQyvmhUe8,2018-09-21,2018-09-28,0.669,0.789,-4.694
50,51,Superhero,Lauv,47406,tw,1Fo4OvzP9PThFKMeMIAEYu,2018-09-21,2018-09-28,0.417,0.34,-8.617
51,52,Side Effects (feat. Emily Warren),The Chainsmokers,47376,tw,5hrXLJJrnKraxRQntH0Vv9,2018-09-21,2018-09-28,0.54,0.71,-6.744
52,53,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,47159,tw,3DGar7krWlmrXRFHBcQF6z,2018-09-21,2018-09-28,0.518,0.765,-5.562
53,54,Ocean (feat. Khalid),Martin Garrix,45014,tw,3nc420PXjTdBV5TN0gCFkS,2018-09-21,2018-09-28,0.221,0.693,-7.265
54,55,王牌冤家,Ronghao Li,44612,tw,0eELbO6DGfH8dlmU5ao2lU,2018-09-21,2018-09-28,0.888,0.648,-8.905
55,56,魚仔 - 電視劇<花甲男孩轉大人>主題曲,Crowd Lu,42414,tw,2sb6AZQLeoD3VgA4zglQB6,2018-09-21,2018-09-28,0.395,0.217,-11.042
56,57,偷不走的現在,Kelly Yu,40634,tw,0VswcL4fOgnSyFqcXxNxtw,2018-09-21,2018-09-28,0.123,0.417,-10.045
57,58,Thick And Thin,LANY,40501,tw,7qIICzwgm3eu1Ic3ufPGJf,2018-09-21,2018-09-28,0.266,0.564,-6.063
58,59,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,39888,tw,0cDwUAF7yQrOLRcFfJpSc2,2018-09-21,2018-09-28,0.264,0.652,-7.49
59,60,Moonlight (feat. 袁婭維),Will Pan,39700,tw,1hwQKehwDHX3Pu2in29X43,2018-09-21,2018-09-28,0.602,0.794,-4.126
60,61,God is a woman,Ariana Grande,39170,tw,5OCJzvD7sykQEKHH7qAC3C,2018-09-21,2018-09-28,0.268,0.658,-5.934
61,62,Be Somebody,Steve Aoki,38810,tw,17bkwgLoC3N53jSksfllYX,2018-09-21,2018-09-28,0.39,0.875,-4.665
62,63,IDOL,BTS,38731,tw,03iCbZaM4OkRR4We6wIzvx,2018-09-21,2018-09-28,0.446,0.857,-3.394
63,64,Something Just Like This,The Chainsmokers,38602,tw,6RUKPb4LETWmmr3iAEQktW,2018-09-21,2018-09-28,0.446,0.635,-6.769
64,65,戒菸,Ronghao Li,38593,tw,65KjitGykI5QIcsYrNhPZR,2018-09-21,2018-09-28,0.226,0.471,-6.909
65,66,說散就散,JC 陳泳彤,38329,tw,3CE1HoJJ0FVKo7JHsWIuvC,2018-09-21,2018-09-28,0.375,0.63,-6.804
66,67,演員,Joker Xue,37285,tw,6LunoYd3xpZ19sICOXS8Xd,2018-09-21,2018-09-28,0.186,0.432,-10.678
67,68,刚好遇见你,Li Yugang,37054,tw,262Q20zX8BmAOIA6cFB2t9,2018-09-21,2018-09-28,0.477,0.496,-7.79
68,69,no tears left to cry,Ariana Grande,36900,tw,2qT1uLXPVPzGgFOx4jtEuo,2018-09-21,2018-09-28,0.354,0.713,-5.507
69,70,讓我留在你身邊,Eason Chan,36367,tw,07MNtfddtgCo6VrUm3O9dw,2018-09-21,2018-09-28,0.261,0.653,-4.258
70,71,全是愛,Jam Hsiao,36347,tw,2NrllzhpAiN5FTKBGxYy35,2018-09-21,2018-09-28,0.139,0.55,-6.147
71,72,Venom - Music From The Motion Picture,Eminem,36146,tw,2SL6oP2YAEQbqsrkOzRGO4,2018-09-21,2018-09-28,0.46,0.794,-5.063
72,73,SICKO MODE,Travis Scott,35363,tw,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
73,74,讓我為你唱情歌,Jam Hsiao,35341,tw,0BuTVSIbiQGdxW7njjKng7,2018-09-21,2018-09-28,0.42,0.682,-3.795
74,75,半句再見,Stefanie Sun,34976,tw,2GbrvTwp37fiJ8JSMGg3Tl,2018-09-21,2018-09-28,0.221,0.313,-9.995
75,76,IDOL,BTS,34932,tw,2AIWoHr9DF6y4KALCBKWQS,2018-09-21,2018-09-28,0.422,0.855,-3.211
