,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Falling Down - Bonus Track,Lil Peep,12878038,us,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273,0.574,-6.442
1,2,I Love It (& Lil Pump),Kanye West,11449795,us,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329,0.522,-8.304
2,3,SICKO MODE,Travis Scott,9965998,us,2xLMifQCjDGFmkHkpNLD9h,2018-09-21,2018-09-28,0.446,0.73,-3.714
3,4,New Patek,Lil Uzi Vert,9216307,us,0Fpen1PTuEnCmOJtUU9Iud,2018-09-21,2018-09-28,0.718,0.785,-4.963
4,5,Lucid Dreams,Juice WRLD,8890369,us,0s3nnoMeVWz3989MkNQiRf,2018-09-21,2018-09-28,0.218,0.566,-7.23
5,6,Lucky You (feat. Joyner Lucas),Eminem,8067418,us,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575,0.786,-4.884
6,7,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,8049051,us,2E124GmJRnBJuXbTb4cPUB,2018-09-21,2018-09-28,0.376,0.387,-9.127
7,8,Mo Bamba,Sheck Wes,7796694,us,3QybPutx0Tjk472bBKjNWn,2018-09-21,2018-09-28,0.319,0.629,-4.882
8,9,Happier,Marshmello,6996824,us,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
9,10,SAD!,XXXTENTACION,6811335,us,3ee8Jmje8o58CHK66QrVC2,2018-09-21,2018-09-28,0.473,0.613,-4.88
10,11,Nonstop,Drake,6676793,us,0TlLq3lA83rQOYtrqBqSct,2018-09-21,2018-09-28,0.422,0.412,-8.074
11,12,Better,Khalid,6622443,us,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
12,13,Wake Up in the Sky,Gucci Mane,6512414,us,0QIjsbm2fh1cJ45XO9eGqq,2018-09-21,2018-09-28,0.367,0.578,-5.144
13,14,In My Feelings,Drake,6477849,us,2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-21,2018-09-28,0.35,0.626,-5.833
14,15,Moonlight,XXXTENTACION,6063895,us,0JP9xo3adEtGSdUEISiszL,2018-09-21,2018-09-28,0.711,0.537,-5.723
15,16,Drip Too Hard,Lil Baby,5929504,us,1BxkZE73h9BN3qwuA15TA3,2018-09-21,2018-09-28,0.399,0.653,-6.962
16,17,Eastside (with Halsey & Khalid),benny blanco,5641653,us,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319,0.68,-7.648
17,18,Better Now,Post Malone,5623732,us,7dt6x5M1jzdTEt8oCbisTK,2018-09-21,2018-09-28,0.374,0.563,-5.843
18,19,Taste (feat. Offset),Tyga,5597464,us,5IaHrVsrferBYDm0bDyABy,2018-09-21,2018-09-28,0.342,0.559,-7.442
19,20,Yes Indeed,Lil Baby,5515102,us,6vN77lE9LK6HP2DewaN6HZ,2018-09-21,2018-09-28,0.562,0.346,-9.309
20,21,Noticed,Lil Mosey,5401635,us,7d6XJZjnm7iWcKwYL9z5kC,2018-09-21,2018-09-28,0.493,0.558,-7.622
21,22,Killshot,Eminem,5298275,us,1jo3TwNGCXfNdB5uba3ZVv,2018-09-21,2018-09-28,0.599,0.651,-8.645
22,23,No Stylist,French Montana,5050767,us,04MLEeAMuV9IlHEsD8vF6A,2018-09-21,2018-09-28,0.498,0.704,-4.589
23,24,I Like It,Cardi B,4735494,us,58q2HKrzhC3ozto2nDdN4z,2018-09-21,2018-09-28,0.65,0.726,-3.998
24,25,Jocelyn Flores,XXXTENTACION,4629726,us,7m9OqQk4RVRkw9JJdeAw96,2018-09-21,2018-09-28,0.437,0.391,-9.144
25,26,STARGAZING,Travis Scott,4529768,us,7wBJfHzpfI3032CSD7CE2m,2018-09-21,2018-09-28,0.0564,0.789,-3.69
26,27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4398804,us,0ZNrc4kNeQYD9koZ3KvCsy,2018-09-21,2018-09-28,0.112,0.346,-7.709
27,28,Lean Wit Me,Juice WRLD,4260727,us,29tc0GbW0pTSBZSCZF3NWk,2018-09-21,2018-09-28,0.237,0.651,-5.515
28,29,Fuck Love (feat. Trippie Redd),XXXTENTACION,4150049,us,7AQim7LbvFVZJE3O8TYgf2,2018-09-21,2018-09-28,0.329,0.533,-9.74
29,30,Natural,Imagine Dragons,4116027,us,4zIO3ilp5HvTeK3HJHxhMP,2018-09-21,2018-09-28,0.213,0.612,-6.106
30,31,All Girls Are The Same,Juice WRLD,4105313,us,0XySogm94T51XF5F2jumXm,2018-09-21,2018-09-28,0.203,0.529,-7.226
31,32,breathin,Ariana Grande,4077726,us,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364,0.656,-5.413
