,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Vaina Loca,Ozuna,103016,uy,48zFZh27QU5qsrBjn4C2FA,2018-09-21,2018-09-28,0.555,0.805,-4.249
1,2,Cuando Te Besé,Becky G,100709,uy,2XXMDz7SPZ4mSFN1PXfHUy,2018-09-21,2018-09-28,0.295,0.732,-3.713
2,3,Ya No Tiene Novio,Sebastian Yatra,100265,uy,7uQmJ1jgNzBpATSoWKSPFu,2018-09-21,2018-09-28,0.784,0.832,-1.948
3,4,No Es Justo,J Balvin,84034,uy,5qFeMRz4TvetPmzjre9Dq7,2018-09-21,2018-09-28,0.721,0.811,-4.494
4,5,BEBE,6ix9ine,83299,uy,7ATATJztoWLcqDAcVVof0C,2018-09-21,2018-09-28,0.286,0.902,-3.559
5,6,Sin Pijama,Becky G,78813,uy,2ijef6ni2amuunRoKTlgww,2018-09-21,2018-09-28,0.82,0.745,-3.695
6,7,Mala Mía,Maluma,78314,uy,62o8KoI44JfN7aYxgTnPvh,2018-09-21,2018-09-28,0.901,0.752,-4.883
7,8,Te Boté - Remix,Nio Garcia,73943,uy,3V8UKqhEK5zBkBb6d6ub8i,2018-09-21,2018-09-28,0.442,0.675,-3.445
8,9,Toda - Remix,Alex Rose,72804,uy,7nD2JPaxIKUdxd2UWgnaGL,2018-09-21,2018-09-28,0.364,0.452,-7.217
9,10,Quiere Beber,Anuel AA,69291,uy,3rPAD722s5FFNnwjC91t7Z,2018-09-21,2018-09-28,0.772,0.57,-3.482
10,11,Clandestino,Shakira,61647,uy,7DrluKkTviBwCc8AV3VGmf,2018-09-21,2018-09-28,0.881,0.822,-4.126
11,12,Amigos Con Derechos,Reik,60952,uy,2zDj4WjbNDmrRL6Z4YjjCA,2018-09-21,2018-09-28,0.63,0.807,-3.324
12,13,Asesina,Brytiago,58694,uy,6rbhaJsE4uLzpPf8WYSHDK,2018-09-21,2018-09-28,0.508,0.663,-5.233
13,14,No Me Acuerdo,Thalía,55540,uy,00EPIEnX1JFjff8sC6bccd,2018-09-21,2018-09-28,0.772,0.799,-4.247
14,15,Chica Paranormal,Paulo Londra,48331,uy,2r77vqSZkOktTSgmAOoHsV,2018-09-21,2018-09-28,0.71,0.596,-4.319
15,16,Me Dijeron,Ozuna,47899,uy,17UUYZ290omPaJY4wKeyHh,2018-09-21,2018-09-28,0.798,0.841,-2.817
16,17,Mi Cama - Remix,KAROL G,47303,uy,38QmUDpkoYlNbMKvpvAsrE,2018-09-21,2018-09-28,0.832,0.784,-4.423
17,18,La player (Bandolera),Zion & Lennox,47148,uy,0VKkyBKCXyR99navhVRqcP,2018-09-21,2018-09-28,0.602,0.838,-5.238
18,19,Me Niego (feat. Ozuna & Wisin),Reik,46043,uy,6jA8JUuPCGYjFcgw0AoM5T,2018-09-21,2018-09-28,0.768,0.779,-4.449
19,20,Árabe,Papichamp,45546,uy,58qmrrvUkA09szrox83VDp,2018-09-21,2018-09-28,0.637,0.674,-5.666
20,21,Hipócrita,Anuel AA,45052,uy,6XBjCetHKdO5L9cwMDVffw,2018-09-21,2018-09-28,0.79,0.858,-2.78
21,22,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,44937,uy,4QtiVmuA88tPQiCOHZuQ5b,2018-09-21,2018-09-28,0.794,0.895,-3.112
22,23,Por Perro,Sebastian Yatra,42570,uy,2alIsNw1mqEShbWyO1HXZZ,2018-09-21,2018-09-28,0.892,0.762,-5.18
23,24,Unica,Ozuna,41963,uy,33b2wX9d0kxqxhi7lcsC1A,2018-09-21,2018-09-28,0.705,0.859,-3.048
24,25,Madura (feat. Bad Bunny),Cosculluela,41569,uy,0r9d60ZYPAlFHq8qnUtkXN,2018-09-21,2018-09-28,0.751,0.555,-7.639
25,26,X - Remix,Nicky Jam,40803,uy,6JjPBQfI2Y8nIjnm65X6Pw,2018-09-21,2018-09-28,0.738,0.696,-4.957
26,27,Sin Querer Queriendo (feat. Mau y Ricky),Lali,40798,uy,5rUNrHC5b0oYanaw370Ncz,2018-09-21,2018-09-28,0.618,0.862,-4.893
27,28,Lo Siento,Luana,39537,uy,6tFxKy7abbLRQaAn1cmBuU,2018-09-21,2018-09-28,0.782,0.695,-4.178
28,29,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,37677,uy,5bITfqKGaPakO1l99hOMsI,2018-09-21,2018-09-28,0.511,0.793,-4.731
29,30,Culpables,KAROL G,37375,uy,6q8Lb50EtqNeeJXXe8mMAH,2018-09-21,2018-09-28,0.416,0.801,-2.942
30,31,Quiero Volver,TINI,36529,uy,1jcAZRfufvi67KWnwRmizE,2018-09-21,2018-09-28,0.761,0.826,-4.02
31,32,Ponle,Rvssian,35989,uy,28O1p0bQXH2F6Qn8jBZZR4,2018-09-21,2018-09-28,0.589,0.772,-4.736
32,33,Celoso,Lele Pons,35804,uy,33zcmmElV1YbRZe57biUjg,2018-09-21,2018-09-28,0.667,0.703,-4.179
33,34,Dura - Remix,Daddy Yankee,34004,uy,6U2NuJILEOEpW2tVCuqKHb,2018-09-21,2018-09-28,0.853,0.803,-3.035
34,35,Cuando Nadie Ve,Morat,33533,uy,1Cxd4ZJJ9VOQQpNcpdcZEQ,2018-09-21,2018-09-28,0.837,0.788,-4.586
35,36,No Me Llores,Duki,32915,uy,4DNzemGNnckcJSr8DVk8Uj,2018-09-21,2018-09-28,0.158,0.676,-8.846
36,37,El Clavo (feat. Maluma) - Remix,Prince Royce,32580,uy,6bI00brFpeprqCDqKouEJS,2018-09-21,2018-09-28,0.73,0.797,-2.726
