,Position,Track Name,Artist,Streams,region,id,date_from,date_to,valence,energy,loudness
0,1,Thanh Xuan,Da LAB,36635,vn,3b34161QoxLwsqhWSPy9i5,2018-09-21,2018-09-28,0.347,0.4,-10.771
1,2,Way Back Home,SHAUN,29941,vn,3NxuezMdSLgt4OwHzBoUhL,2018-09-21,2018-09-28,0.556,0.739,-4.591
2,3,Thunderclouds,Sia,27437,vn,5a8RPWgKSmcGBGcffmIrUi,2018-09-21,2018-09-28,0.507,0.716,-5.985
3,4,Nến Và Hoa,Rhymastic,25337,vn,3zzyygDizZyE08d1yT9sXd,2018-09-21,2018-09-28,0.407,0.65,-6.774
4,5,IDOL,BTS,24142,vn,03iCbZaM4OkRR4We6wIzvx,2018-09-21,2018-09-28,0.446,0.857,-3.394
5,6,Hành Tinh Song Song,Vũ.,22258,vn,300fqwkGKipgr8Ith1YQo2,2018-09-21,2018-09-28,0.208,0.557,-7.71
6,7,Nguoi Hay Quen Em DI,Mỹ Tâm,20202,vn,6XJsQ5nqCu8RUv9pv1iz1x,2018-09-21,2018-09-28,0.44,0.623,-6.574
7,8,Better,Khalid,19427,vn,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116,0.585,-10.332
8,9,Bùa Yêu,Bich Phuong,19143,vn,50NsdT6u77MIFociYnvzsG,2018-09-21,2018-09-28,0.366,0.628,-5.997
9,10,Em mới là người yêu anh,Min,18737,vn,5s5WpwEoK2V0a1eZq8ES5Y,2018-09-21,2018-09-28,0.0758,0.842,-4.716
10,11,IDOL,BTS,18535,vn,2AIWoHr9DF6y4KALCBKWQS,2018-09-21,2018-09-28,0.422,0.855,-3.211
11,12,Burn Out (feat. Dewain Whitmore),Martin Garrix,17729,vn,7IWTIkiWGWNQyYfOLdMrGD,2018-09-21,2018-09-28,0.407,0.722,-5.751
12,13,Girls Like You (feat. Cardi B),Maroon 5,17657,vn,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448,0.541,-6.825
13,14,Happier,Marshmello,17512,vn,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671,0.792,-2.749
