,Position,Track Name,Artist,Streams,date,region,id,date_from,date_to,valence
0,1,Head Above Water,Avril Lavigne,86895,2018-09-21--2018-09-28,hk,1N7YeVU0ZwAFbOhwM61ef6,2018-09-21,2018-09-28,0.268
1,2,Happier,Marshmello,77194,2018-09-21--2018-09-28,hk,2dpaYNEQHiRxtZbfNsse99,2018-09-21,2018-09-28,0.671
2,3,Better,Khalid,72828,2018-09-21--2018-09-28,hk,4T3fNx3CgwDRRYgmFCbD4J,2018-09-21,2018-09-28,0.116
3,4,Be Alright,Dean Lewis,66738,2018-09-21--2018-09-28,hk,3EPXxR3ImUwfayaurPi3cm,2018-09-21,2018-09-28,0.443
4,5,Lucky You (feat. Joyner Lucas),Eminem,65721,2018-09-21--2018-09-28,hk,60SdxE8apGAxMiRrpbmLY0,2018-09-21,2018-09-28,0.575
5,6,Eastside (with Halsey & Khalid),benny blanco,63447,2018-09-21--2018-09-28,hk,0d2iYfpKoM0QCKvcLCkBao,2018-09-21,2018-09-28,0.319
6,7,Beautiful (feat. Camila Cabello),Bazzi,58151,2018-09-21--2018-09-28,hk,4VUwkH455At9kENOfzTqmF,2018-09-21,2018-09-28,0.249
7,8,I Love It (& Lil Pump),Kanye West,57949,2018-09-21--2018-09-28,hk,4S8d14HvHb70ImctNgVzQQ,2018-09-21,2018-09-28,0.329
8,9,Falling Down - Bonus Track,Lil Peep,53283,2018-09-21--2018-09-28,hk,0Dn40gxVCMo5TkgS8Ik18Q,2018-09-21,2018-09-28,0.273
9,10,Promises (with Sam Smith),Calvin Harris,52445,2018-09-21--2018-09-28,hk,5N5k9nd479b1xpDZ4usjrg,2018-09-21,2018-09-28,0.486
10,11,Electricity (with Dua Lipa),Silk City,51020,2018-09-21--2018-09-28,hk,5N4erncE7kuUccm7zEmwzk,2018-09-21,2018-09-28,0.505
11,12,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,50802,2018-09-21--2018-09-28,hk,15kQGEy89K8deJcZVFEn0N,2018-09-21,2018-09-28,0.449
12,13,breathin,Ariana Grande,50632,2018-09-21--2018-09-28,hk,4OafepJy2teCjYJbvFE60J,2018-09-21,2018-09-28,0.364
13,14,Girls Like You (feat. Cardi B),Maroon 5,50508,2018-09-21--2018-09-28,hk,7fa9MBXhVfQ8P8Df9OEbD8,2018-09-21,2018-09-28,0.448
14,15,Darkside,Alan Walker,47848,2018-09-21--2018-09-28,hk,1snWlbcbgQpJfknoI30DWG,2018-09-21,2018-09-28,0.112
15,16,漸漸,Eason Chan,46736,2018-09-21--2018-09-28,hk,4zD2h6vDuzVm1QWyQJlb0P,2018-09-21,2018-09-28,0.289
16,17,Happy Now,Zedd,45612,2018-09-21--2018-09-28,hk,4keoy2fqgwGnbWlm3ZVZFa,2018-09-21,2018-09-28,0.458
17,18,心之科學,Joey Yung,45389,2018-09-21--2018-09-28,hk,1gVMd7oYGo6Whlgg7pAa7M,2018-09-21,2018-09-28,0.252
18,19,說散就散,JC 陳泳彤,45114,2018-09-21--2018-09-28,hk,3CE1HoJJ0FVKo7JHsWIuvC,2018-09-21,2018-09-28,0.375
