Position,Track Name,Artist,Streams,date,region,id
1,I Don't Care (with Justin Bieber),Ed Sheeran,16717,2019-06-01,hk,3HVWdVOQ0ZA45FuZGSfvns
2,bad guy,Billie Eilish,14158,2019-06-01,hk,2Fxmhks0bxGSBdJ92vM42m
3,If I Can't Have You,Shawn Mendes,13701,2019-06-01,hk,6LsAAHotRLMOHfCsSfYCsz
4,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,12067,2019-06-01,hk,1iWHabUgUuuKLBa0TzTHfk
5,Speechless (Full),Naomi Scott,11143,2019-06-01,hk,0XPsOSYzDJZJArevQNm2AR
6,Boy With Luv (feat. Halsey),BTS,10605,2019-06-01,hk,5KawlOMHjWeUjQtnuRs22c
7,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,10261,2019-06-01,hk,4MsUsFfWseB9M2plGJyuIw
8,Someone You Loved,Lewis Capaldi,9094,2019-06-01,hk,7qEHsqek33rTcFNT9PFqLf
9,Never Really Over,Katy Perry,8778,2019-06-01,hk,5PYQUBXc7NYeI1obMKSJK0
10,Kill This Love,BLACKPINK,8509,2019-06-01,hk,4pUCKHjJ4Ijewc37rRrvHn
11,Find U Again (feat. Camila Cabello),Mark Ronson,8378,2019-06-01,hk,1HpzOCZbNWzxvvXfSGtSrX
12,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,8282,2019-06-01,hk,7Feaw9WAEREY0DUOSXJLOM
13,A Whole New World,Mena Massoud,8256,2019-06-01,hk,5viFjDGTnrApmUY5c8qkfw
14,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,7844,2019-06-01,hk,6u7jPi22kF8CTQ3rb9DHE7
15,On My Way,Alan Walker,7629,2019-06-01,hk,4n7jnSxVLd8QioibtTDBDq
16,7 rings,Ariana Grande,7514,2019-06-01,hk,6ocbgoVGwYJhOv1GgI9NsF
17,EARFQUAKE,"Tyler, The Creator",7451,2019-06-01,hk,5hVghJ4KaYES3BFUATCYn0
18,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,7355,2019-06-01,hk,543bCW2ruMPmxUBWirQ3MR
19,Sucker,Jonas Brothers,6962,2019-06-01,hk,4y3OI86AEP6PQoDE6olYhO
20,Rescue Me,OneRepublic,6856,2019-06-01,hk,0mjAU3yKR1QnXnHtjGJqTM
21,Shallow,Lady Gaga,6671,2019-06-01,hk,2VxeLyX666F8uXCJ0dZF8B
22,Nightmare,Halsey,6562,2019-06-01,hk,340UVheS8z3ncW9TTUhAbc
23,Call You Mine,The Chainsmokers,6561,2019-06-01,hk,05CwHjIk71RXVU40boRMnR
24,其實寂寞,Kay Tse,6290,2019-06-01,hk,4qOQcgfSAV2XuoJ55TYSaS
25,The London (feat. J. Cole & Travis Scott),Young Thug,6202,2019-06-01,hk,7DcvwMAiqKJQD1rrdfxSDx
26,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,6182,2019-06-01,hk,3KkXRkHbMCARz0aVfEt68P
27,Easier,5 Seconds of Summer,6069,2019-06-01,hk,4tNXntkAzQ5A2dfYRYGIIQ
28,Here With Me,Marshmello,5956,2019-06-01,hk,5icOoE6VgqFKohjWWNp0Ac
29,空手而來,Hins Cheung,5936,2019-06-01,hk,2YbdCSdvofWc2g277AUOwD
30,百年樹木,Hins Cheung,5872,2019-06-01,hk,5ql4tlxS3GtADNsSRi2GnW
31,Who Do You Love,The Chainsmokers,5758,2019-06-01,hk,5QiNbIilmMiMBXvaAlf7lN
32,So Am I,Ava Max,5729,2019-06-01,hk,0uUNN1nSoUx1A4fkDCWDQ7
33,SOS,Avicii,5681,2019-06-01,hk,0n2nEtLP3OzDdi12ziIekx
34,Mother's Daughter,Miley Cyrus,5564,2019-06-01,hk,2WyRfGeHo97VC5mP1BBSzr
35,FANCY,TWICE,5394,2019-06-01,hk,2FXd6kKCtBIc6UfN1gH1pA
36,Shape of You,Ed Sheeran,5371,2019-06-01,hk,7qiZfU4dY1lWllzX7mPBI3
37,Paradise,Bazzi,5284,2019-06-01,hk,7njKgVl3AnLflRad38o7AG
38,寂寞就如,Juno Mak,5231,2019-06-01,hk,6npOpd3seRhoTPGOsFPKaX
39,春秋,Hins Cheung,5217,2019-06-01,hk,2WVbMoHdWCspdiEa7OnG1D
40,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,5157,2019-06-01,hk,6iNH42q8haGYDYGhKK6XiJ
41,Perfect,Ed Sheeran,5023,2019-06-01,hk,0tgVpDi06FyKpA1z0VMD4v
42,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,4983,2019-06-01,hk,3y3brCCecHC3Db18aIOnny
43,Something Just Like This,The Chainsmokers,4979,2019-06-01,hk,6RUKPb4LETWmmr3iAEQktW
44,Talk (feat. Disclosure),Khalid,4933,2019-06-01,hk,6TqXcAFInzjp0bODyvrWEq
45,亂世情侶 (合唱版),Leo Ku,4808,2019-06-01,hk,2hRY6ORT8dEdVVCocenQjs
46,櫻花樹下,Hins Cheung,4680,2019-06-01,hk,2FgDWCqMCIAATvqr9ozeYm
47,Don't Know What To Do,BLACKPINK,4659,2019-06-01,hk,1TaQciB8qqRZ9fxWGhS65X
48,Sixteen,Ellie Goulding,4656,2019-06-01,hk,4PkIDTPGedm0enzdvilLNd
49,怎麼了,Eric Chou,4652,2019-06-01,hk,2IAumRplFr0Ns09kKgt2je
50,Truth Hurts,Lizzo,4649,2019-06-01,hk,5qmq61DAAOUaW8AUo8xKhh
51,告白氣球,Jay Chou,4532,2019-06-01,hk,1ivCIgrYZyE0BvItL4Z8lk
52,說散就散,JC 陳泳彤,4523,2019-06-01,hk,3CE1HoJJ0FVKo7JHsWIuvC
53,13樓的大笨象,Stephanie Cheng,4509,2019-06-01,hk,1Cn2n7LpjpiElg6IyKB9id
54,Prince Ali,Will Smith,4491,2019-06-01,hk,1Pt2STlAgfB1CiEV8mf3CN
55,後來的我們,Mayday,4432,2019-06-01,hk,13AruKdh8wJhWx6i5dV8X1
56,Press,Cardi B,4419,2019-06-01,hk,6dPyzkyZwoj9LqjQXOFdVv
57,Sweet but Psycho,Ava Max,4352,2019-06-01,hk,25sgk305KZfyuqVBQIahim
58,Tonight,AGA,4334,2019-06-01,hk,4UOaRXM0YgOpWsE1fsWb9u
