Position,Track Name,Artist,Streams,date,region,id
1,Cuando Te Besé,Becky G,1878948,2018-09-21--2018-09-28,ar,2XXMDz7SPZ4mSFN1PXfHUy
2,Vaina Loca,Ozuna,1464035,2018-09-21--2018-09-28,ar,48zFZh27QU5qsrBjn4C2FA
3,Toda - Remix,Alex Rose,1312504,2018-09-21--2018-09-28,ar,7nD2JPaxIKUdxd2UWgnaGL
4,Sin Pijama,Becky G,1235177,2018-09-21--2018-09-28,ar,2ijef6ni2amuunRoKTlgww
5,No Es Justo,J Balvin,1158046,2018-09-21--2018-09-28,ar,5qFeMRz4TvetPmzjre9Dq7
6,Ya No Tiene Novio,Sebastian Yatra,1087484,2018-09-21--2018-09-28,ar,7uQmJ1jgNzBpATSoWKSPFu
7,Te Boté - Remix,Nio Garcia,1081472,2018-09-21--2018-09-28,ar,3V8UKqhEK5zBkBb6d6ub8i
8,Chica Paranormal,Paulo Londra,1036965,2018-09-21--2018-09-28,ar,2r77vqSZkOktTSgmAOoHsV
9,BEBE,6ix9ine,981966,2018-09-21--2018-09-28,ar,7ATATJztoWLcqDAcVVof0C
10,Mala Mía,Maluma,972709,2018-09-21--2018-09-28,ar,62o8KoI44JfN7aYxgTnPvh
11,Asesina,Brytiago,889195,2018-09-21--2018-09-28,ar,6rbhaJsE4uLzpPf8WYSHDK
12,Clandestino,Shakira,859858,2018-09-21--2018-09-28,ar,7DrluKkTviBwCc8AV3VGmf
13,Me Vas a Extrañar - En Vivo,Damas Gratis,859220,2018-09-21--2018-09-28,ar,3CACzG9I3AoKUKA3ODE5zW
14,No Te Creas Tan Importante - En Vivo,Damas Gratis,853912,2018-09-21--2018-09-28,ar,3trowLiYwwOoiwapLISNyk
15,No Me Acuerdo,Thalía,783961,2018-09-21--2018-09-28,ar,00EPIEnX1JFjff8sC6bccd
16,Quiere Beber,Anuel AA,747774,2018-09-21--2018-09-28,ar,3rPAD722s5FFNnwjC91t7Z
17,Mi Cama - Remix,KAROL G,734557,2018-09-21--2018-09-28,ar,38QmUDpkoYlNbMKvpvAsrE
18,No Me Llores,Duki,733687,2018-09-21--2018-09-28,ar,4DNzemGNnckcJSr8DVk8Uj
19,Amigos Con Derechos,Reik,690562,2018-09-21--2018-09-28,ar,2zDj4WjbNDmrRL6Z4YjjCA
20,Me Niego (feat. Ozuna & Wisin),Reik,671172,2018-09-21--2018-09-28,ar,6jA8JUuPCGYjFcgw0AoM5T
21,Unica,Ozuna,644603,2018-09-21--2018-09-28,ar,33b2wX9d0kxqxhi7lcsC1A
22,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,619851,2018-09-21--2018-09-28,ar,4QtiVmuA88tPQiCOHZuQ5b
23,Árabe,Papichamp,611586,2018-09-21--2018-09-28,ar,58qmrrvUkA09szrox83VDp
24,Madura (feat. Bad Bunny),Cosculluela,601718,2018-09-21--2018-09-28,ar,0r9d60ZYPAlFHq8qnUtkXN
25,Duro y Suave,Leslie Grace,589216,2018-09-21--2018-09-28,ar,31M5m42C3EGlbydf9XB5to
26,El Clavo (feat. Maluma) - Remix,Prince Royce,569858,2018-09-21--2018-09-28,ar,6bI00brFpeprqCDqKouEJS
27,Si Te Vas,Lit Killah,565955,2018-09-21--2018-09-28,ar,5VsHkOtg0Llpa6mTGZhp5e
28,La player (Bandolera),Zion & Lennox,565726,2018-09-21--2018-09-28,ar,0VKkyBKCXyR99navhVRqcP
29,Quiero Volver,TINI,561369,2018-09-21--2018-09-28,ar,1jcAZRfufvi67KWnwRmizE
30,Te Amo,Piso 21,533005,2018-09-21--2018-09-28,ar,2RVrdr062uLFxXwIxwdXPH
31,Dimelo,Paulo Londra,517644,2018-09-21--2018-09-28,ar,3uwehoqKSQLa5lFFvIX6M3
32,Me Dijeron,Ozuna,510221,2018-09-21--2018-09-28,ar,17UUYZ290omPaJY4wKeyHh
33,X - Remix,Nicky Jam,501894,2018-09-21--2018-09-28,ar,6JjPBQfI2Y8nIjnm65X6Pw
34,Otra Botella,Neo Pistea,490100,2018-09-21--2018-09-28,ar,2WH26XlMjUamdUwG56ZqWf
