Position,Track Name,Artist,Streams,date,region,id
1,I Love It (& Lil Pump),Kanye West,1811405,2018-09-21--2018-09-28,ca,4S8d14HvHb70ImctNgVzQQ
2,Falling Down - Bonus Track,Lil Peep,1548808,2018-09-21--2018-09-28,ca,0Dn40gxVCMo5TkgS8Ik18Q
3,Killshot,Eminem,1406474,2018-09-21--2018-09-28,ca,1jo3TwNGCXfNdB5uba3ZVv
4,Lucky You (feat. Joyner Lucas),Eminem,1341357,2018-09-21--2018-09-28,ca,60SdxE8apGAxMiRrpbmLY0
5,SICKO MODE,Travis Scott,1279975,2018-09-21--2018-09-28,ca,2xLMifQCjDGFmkHkpNLD9h
6,Happier,Marshmello,1171157,2018-09-21--2018-09-28,ca,2dpaYNEQHiRxtZbfNsse99
7,No Stylist,French Montana,1055190,2018-09-21--2018-09-28,ca,04MLEeAMuV9IlHEsD8vF6A
8,Eastside (with Halsey & Khalid),benny blanco,1028306,2018-09-21--2018-09-28,ca,0d2iYfpKoM0QCKvcLCkBao
9,In My Feelings,Drake,921157,2018-09-21--2018-09-28,ca,2G7V7zsVDxg1yRsu7Ew9RJ
10,Better,Khalid,920422,2018-09-21--2018-09-28,ca,4T3fNx3CgwDRRYgmFCbD4J
11,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,916571,2018-09-21--2018-09-28,ca,2E124GmJRnBJuXbTb4cPUB
12,New Patek,Lil Uzi Vert,916433,2018-09-21--2018-09-28,ca,0Fpen1PTuEnCmOJtUU9Iud
13,Lucid Dreams,Juice WRLD,906087,2018-09-21--2018-09-28,ca,0s3nnoMeVWz3989MkNQiRf
14,Nonstop,Drake,829555,2018-09-21--2018-09-28,ca,0TlLq3lA83rQOYtrqBqSct
15,Promises (with Sam Smith),Calvin Harris,786544,2018-09-21--2018-09-28,ca,5N5k9nd479b1xpDZ4usjrg
16,Taste (feat. Offset),Tyga,723097,2018-09-21--2018-09-28,ca,5IaHrVsrferBYDm0bDyABy
17,Better Now,Post Malone,707122,2018-09-21--2018-09-28,ca,7dt6x5M1jzdTEt8oCbisTK
18,Mo Bamba,Sheck Wes,667423,2018-09-21--2018-09-28,ca,3QybPutx0Tjk472bBKjNWn
19,No Brainer,DJ Khaled,664879,2018-09-21--2018-09-28,ca,5WvAo7DNuPRmk4APhdPzi8
20,SAD!,XXXTENTACION,662861,2018-09-21--2018-09-28,ca,3ee8Jmje8o58CHK66QrVC2
21,Youngblood,5 Seconds of Summer,647784,2018-09-21--2018-09-28,ca,2iUXsYOEPhVqEBwsqP70rE
22,Girls Like You (feat. Cardi B),Maroon 5,638287,2018-09-21--2018-09-28,ca,7fa9MBXhVfQ8P8Df9OEbD8
23,RAP DEVIL,Machine Gun Kelly,633305,2018-09-21--2018-09-28,ca,43TP6JCWXgkc2D7Xjz5hBr
24,I Like It,Cardi B,621638,2018-09-21--2018-09-28,ca,58q2HKrzhC3ozto2nDdN4z
25,Natural,Imagine Dragons,617470,2018-09-21--2018-09-28,ca,4zIO3ilp5HvTeK3HJHxhMP
26,Wake Up in the Sky,Gucci Mane,609004,2018-09-21--2018-09-28,ca,0QIjsbm2fh1cJ45XO9eGqq
