Position,Track Name,Artist,Streams,date,region,id
1,In My Mind,Dynoro,280669,2018-09-21--2018-09-28,ch,0E9ZjEAyAwOXZ7wJC0PD33
2,I Love It (& Lil Pump),Kanye West,229725,2018-09-21--2018-09-28,ch,4S8d14HvHb70ImctNgVzQQ
3,UFF,Veysel,210010,2018-09-21--2018-09-28,ch,6XjEOPgbgHKcaHcunEHSJJ
4,Falling Down - Bonus Track,Lil Peep,198889,2018-09-21--2018-09-28,ch,0Dn40gxVCMo5TkgS8Ik18Q
5,INTERNATIONAL GANGSTAS,Farid Bang,197635,2018-09-21--2018-09-28,ch,4IAVIBh9jbYN30DwpHFMD4
6,BONNIE & CLYDE,Loredana,190989,2018-09-21--2018-09-28,ch,5UtiebKGhsSce9gX1qCqic
7,Kokain,Bonez MC,187296,2018-09-21--2018-09-28,ch,1H3oIeKUEHpBhXUiso0IMH
8,Promises (with Sam Smith),Calvin Harris,171842,2018-09-21--2018-09-28,ch,5N5k9nd479b1xpDZ4usjrg
9,Lucky You (feat. Joyner Lucas),Eminem,169569,2018-09-21--2018-09-28,ch,60SdxE8apGAxMiRrpbmLY0
10,Happier,Marshmello,152533,2018-09-21--2018-09-28,ch,2dpaYNEQHiRxtZbfNsse99
11,Shotgun,George Ezra,146335,2018-09-21--2018-09-28,ch,4ofwffwvvnbSkrMSCKQDaC
12,Natural,Imagine Dragons,145473,2018-09-21--2018-09-28,ch,4zIO3ilp5HvTeK3HJHxhMP
13,Amore e Capoeira,Takagi & Ketra,142905,2018-09-21--2018-09-28,ch,5Vwqy3CS2aCB6jcgm1qWfk
14,Eastside (with Halsey & Khalid),benny blanco,139604,2018-09-21--2018-09-28,ch,0d2iYfpKoM0QCKvcLCkBao
15,Creep On Me,GASHI,137617,2018-09-21--2018-09-28,ch,1MUL6DO2gVimj2YrVedubd
16,Dior 2001,RIN,134372,2018-09-21--2018-09-28,ch,2eNSyVH3sNPiAj9WpRYK73
17,Be Alright,Dean Lewis,132992,2018-09-21--2018-09-28,ch,3EPXxR3ImUwfayaurPi3cm
