Position,Track Name,Artist,Streams,date,region,id
1,BEBE,6ix9ine,1779885,2018-09-21--2018-09-28,cl,7ATATJztoWLcqDAcVVof0C
2,Quiere Beber,Anuel AA,1610647,2018-09-21--2018-09-28,cl,3rPAD722s5FFNnwjC91t7Z
3,Vaina Loca,Ozuna,1534624,2018-09-21--2018-09-28,cl,48zFZh27QU5qsrBjn4C2FA
4,Hipócrita,Anuel AA,1438377,2018-09-21--2018-09-28,cl,6XBjCetHKdO5L9cwMDVffw
5,Cuando Te Besé,Becky G,1206726,2018-09-21--2018-09-28,cl,2XXMDz7SPZ4mSFN1PXfHUy
6,No Es Justo,J Balvin,1190000,2018-09-21--2018-09-28,cl,5qFeMRz4TvetPmzjre9Dq7
7,Culpables,KAROL G,1061119,2018-09-21--2018-09-28,cl,6q8Lb50EtqNeeJXXe8mMAH
8,Te Boté - Remix,Nio Garcia,923489,2018-09-21--2018-09-28,cl,3V8UKqhEK5zBkBb6d6ub8i
9,No Me Acuerdo,Thalía,854618,2018-09-21--2018-09-28,cl,00EPIEnX1JFjff8sC6bccd
10,Toda - Remix,Alex Rose,853549,2018-09-21--2018-09-28,cl,7nD2JPaxIKUdxd2UWgnaGL
11,Sin Pijama,Becky G,841178,2018-09-21--2018-09-28,cl,2ijef6ni2amuunRoKTlgww
12,Asesina,Brytiago,837110,2018-09-21--2018-09-28,cl,6rbhaJsE4uLzpPf8WYSHDK
13,La player (Bandolera),Zion & Lennox,807727,2018-09-21--2018-09-28,cl,0VKkyBKCXyR99navhVRqcP
14,Ya No Tiene Novio,Sebastian Yatra,670335,2018-09-21--2018-09-28,cl,7uQmJ1jgNzBpATSoWKSPFu
15,Me Dijeron,Ozuna,611741,2018-09-21--2018-09-28,cl,17UUYZ290omPaJY4wKeyHh
16,Por Perro,Sebastian Yatra,607785,2018-09-21--2018-09-28,cl,2alIsNw1mqEShbWyO1HXZZ
17,Duro y Suave,Leslie Grace,586456,2018-09-21--2018-09-28,cl,31M5m42C3EGlbydf9XB5to
18,Mala Mía,Maluma,579436,2018-09-21--2018-09-28,cl,62o8KoI44JfN7aYxgTnPvh
19,Chica Paranormal,Paulo Londra,560238,2018-09-21--2018-09-28,cl,2r77vqSZkOktTSgmAOoHsV
20,Madura (feat. Bad Bunny),Cosculluela,559749,2018-09-21--2018-09-28,cl,0r9d60ZYPAlFHq8qnUtkXN
21,Estamos Bien,Bad Bunny,558581,2018-09-21--2018-09-28,cl,7glCSQqV5o6NU88Cn4zPZn
22,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,534323,2018-09-21--2018-09-28,cl,5bITfqKGaPakO1l99hOMsI
23,Me Niego (feat. Ozuna & Wisin),Reik,529000,2018-09-21--2018-09-28,cl,6jA8JUuPCGYjFcgw0AoM5T
24,Pensando en Ti,Anuel AA,528392,2018-09-21--2018-09-28,cl,3aY5VP7fEtVHfEc1o8eRNK
25,Clandestino,Shakira,508312,2018-09-21--2018-09-28,cl,7DrluKkTviBwCc8AV3VGmf
26,Unica,Ozuna,499376,2018-09-21--2018-09-28,cl,33b2wX9d0kxqxhi7lcsC1A
27,Dura - Remix,Daddy Yankee,482150,2018-09-21--2018-09-28,cl,6U2NuJILEOEpW2tVCuqKHb
28,Brindemos,Anuel AA,477885,2018-09-21--2018-09-28,cl,7LeQ55Z5jPBB0ggYJtAiYO
29,Amigos Con Derechos,Reik,463506,2018-09-21--2018-09-28,cl,2zDj4WjbNDmrRL6Z4YjjCA
30,Supuestamente,Ozuna,460416,2018-09-21--2018-09-28,cl,1ZBU5DSoYQwaZVgep6pfn2
31,El Gil de Tu Ex,Santaferia,459743,2018-09-21--2018-09-28,cl,3cUE3p7E39CzGjQoEsg7sM
32,X - Remix,Nicky Jam,453489,2018-09-21--2018-09-28,cl,6JjPBQfI2Y8nIjnm65X6Pw
33,Zum Zum,Daddy Yankee,447766,2018-09-21--2018-09-28,cl,7lEhOiFtcLXY4P7cuTKuQ8
34,Unica - Remix,Ozuna,445712,2018-09-21--2018-09-28,cl,5Sv1rKKMX1yl9kfJ2HTluk
35,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,432452,2018-09-21--2018-09-28,cl,3TnhQSRwT3AVMdXw5JPq0x
36,¿Cual es tu plan?,Bad Bunny,416619,2018-09-21--2018-09-28,cl,4HRDBtek0ayfLQ6uc7rjO9
37,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,405261,2018-09-21--2018-09-28,cl,4QtiVmuA88tPQiCOHZuQ5b
38,Casualidad,Nacho,402952,2018-09-21--2018-09-28,cl,08rwXPBZ2DHOwnL7xaz044
39,Te Amo,Piso 21,393457,2018-09-21--2018-09-28,cl,2RVrdr062uLFxXwIxwdXPH
40,Suave (Remix),El Alfa,390454,2018-09-21--2018-09-28,cl,0alWUvsJHk83HVWCnyCG51
41,I Like It,Cardi B,380604,2018-09-21--2018-09-28,cl,58q2HKrzhC3ozto2nDdN4z
42,Ibiza,Ozuna,374474,2018-09-21--2018-09-28,cl,1h9P5WJwyvK8OB7O2YiXgp
43,Mi Cama - Remix,KAROL G,370190,2018-09-21--2018-09-28,cl,38QmUDpkoYlNbMKvpvAsrE
