Position,Track Name,Artist,Streams,date,region,id
1,Toda - Remix,Alex Rose,149367,2018-09-21--2018-09-28,cr,7nD2JPaxIKUdxd2UWgnaGL
2,Vaina Loca,Ozuna,144096,2018-09-21--2018-09-28,cr,48zFZh27QU5qsrBjn4C2FA
3,BEBE,6ix9ine,134692,2018-09-21--2018-09-28,cr,7ATATJztoWLcqDAcVVof0C
4,Quiere Beber,Anuel AA,133825,2018-09-21--2018-09-28,cr,3rPAD722s5FFNnwjC91t7Z
5,Te Boté - Remix,Nio Garcia,106060,2018-09-21--2018-09-28,cr,3V8UKqhEK5zBkBb6d6ub8i
6,No Es Justo,J Balvin,101722,2018-09-21--2018-09-28,cr,5qFeMRz4TvetPmzjre9Dq7
7,Cuando Te Besé,Becky G,101041,2018-09-21--2018-09-28,cr,2XXMDz7SPZ4mSFN1PXfHUy
8,Culpables,Manuel Turizo,98344,2018-09-21--2018-09-28,cr,3RD0PGolM0mETGHaprwgMn
9,Asesina,Brytiago,98266,2018-09-21--2018-09-28,cr,6rbhaJsE4uLzpPf8WYSHDK
10,La player (Bandolera),Zion & Lennox,88591,2018-09-21--2018-09-28,cr,0VKkyBKCXyR99navhVRqcP
11,Sin Pijama,Becky G,73429,2018-09-21--2018-09-28,cr,2ijef6ni2amuunRoKTlgww
12,Unica,Ozuna,71808,2018-09-21--2018-09-28,cr,33b2wX9d0kxqxhi7lcsC1A
13,In My Feelings,Drake,66696,2018-09-21--2018-09-28,cr,2G7V7zsVDxg1yRsu7Ew9RJ
14,I Like It,Cardi B,65730,2018-09-21--2018-09-28,cr,58q2HKrzhC3ozto2nDdN4z
15,Hipócrita,Anuel AA,65594,2018-09-21--2018-09-28,cr,6XBjCetHKdO5L9cwMDVffw
16,Madura (feat. Bad Bunny),Cosculluela,64508,2018-09-21--2018-09-28,cr,0r9d60ZYPAlFHq8qnUtkXN
17,Culpables,KAROL G,63487,2018-09-21--2018-09-28,cr,6q8Lb50EtqNeeJXXe8mMAH
18,I Love It (& Lil Pump),Kanye West,63218,2018-09-21--2018-09-28,cr,4S8d14HvHb70ImctNgVzQQ
19,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,62019,2018-09-21--2018-09-28,cr,3TnhQSRwT3AVMdXw5JPq0x
20,Te Amo,Piso 21,61113,2018-09-21--2018-09-28,cr,2RVrdr062uLFxXwIxwdXPH
21,No Me Acuerdo,Thalía,59467,2018-09-21--2018-09-28,cr,00EPIEnX1JFjff8sC6bccd
22,Ya No Tiene Novio,Sebastian Yatra,59287,2018-09-21--2018-09-28,cr,7uQmJ1jgNzBpATSoWKSPFu
23,Estamos Bien,Bad Bunny,58029,2018-09-21--2018-09-28,cr,7glCSQqV5o6NU88Cn4zPZn
24,Mala Mía,Maluma,58008,2018-09-21--2018-09-28,cr,62o8KoI44JfN7aYxgTnPvh
25,Chica Paranormal,Paulo Londra,57408,2018-09-21--2018-09-28,cr,2r77vqSZkOktTSgmAOoHsV
26,Me Niego (feat. Ozuna & Wisin),Reik,55587,2018-09-21--2018-09-28,cr,6jA8JUuPCGYjFcgw0AoM5T
27,Amigos Con Derechos,Reik,53766,2018-09-21--2018-09-28,cr,2zDj4WjbNDmrRL6Z4YjjCA
28,Clandestino,Shakira,53382,2018-09-21--2018-09-28,cr,7DrluKkTviBwCc8AV3VGmf
29,Girls Like You (feat. Cardi B),Maroon 5,53061,2018-09-21--2018-09-28,cr,7fa9MBXhVfQ8P8Df9OEbD8
30,Falling Down - Bonus Track,Lil Peep,49431,2018-09-21--2018-09-28,cr,0Dn40gxVCMo5TkgS8Ik18Q
31,Por Perro,Sebastian Yatra,48121,2018-09-21--2018-09-28,cr,2alIsNw1mqEShbWyO1HXZZ
32,Síguelo Bailando,Ozuna,46953,2018-09-21--2018-09-28,cr,5Y9fnynLlIvqtM710MHzfz
33,Brindemos,Anuel AA,46831,2018-09-21--2018-09-28,cr,7LeQ55Z5jPBB0ggYJtAiYO
34,Déjala que vuelva (feat. Manuel Turizo),Piso 21,46121,2018-09-21--2018-09-28,cr,1j6xOGusnyXq3l6IryKF3G
35,Ibiza,Ozuna,45340,2018-09-21--2018-09-28,cr,1h9P5WJwyvK8OB7O2YiXgp
36,No Hay Nadie Más,Sebastian Yatra,45133,2018-09-21--2018-09-28,cr,3IPJg1sdqLj12kFIndaonN
37,X - Remix,Nicky Jam,44862,2018-09-21--2018-09-28,cr,6JjPBQfI2Y8nIjnm65X6Pw
38,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,42169,2018-09-21--2018-09-28,cr,2E124GmJRnBJuXbTb4cPUB
39,La Modelo,Ozuna,42156,2018-09-21--2018-09-28,cr,2SbzdGpOKlH3HIAGTWTbwU
40,Me Dijeron,Ozuna,41725,2018-09-21--2018-09-28,cr,17UUYZ290omPaJY4wKeyHh
41,One Kiss (with Dua Lipa),Calvin Harris,41466,2018-09-21--2018-09-28,cr,7ef4DlsgrMEH11cDZd32M6
42,Quiero Repetir,Ozuna,40816,2018-09-21--2018-09-28,cr,0MIcPSq9n2z5H8TAfEstri
43,Se Preparó,Ozuna,40376,2018-09-21--2018-09-28,cr,1m69ELEgE6k5ZWsap40ozt
44,Cuando Nadie Ve,Morat,40319,2018-09-21--2018-09-28,cr,1Cxd4ZJJ9VOQQpNcpdcZEQ
45,X,Nicky Jam,40034,2018-09-21--2018-09-28,cr,39N9RPD9MRb5WmoLzNzPeA
46,Shape of You,Ed Sheeran,39268,2018-09-21--2018-09-28,cr,7qiZfU4dY1lWllzX7mPBI3
47,God's Plan,Drake,39260,2018-09-21--2018-09-28,cr,6DCZcSspjsKoFjzjrWoCdn
48,Loca Remix,Khea,38597,2018-09-21--2018-09-28,cr,2CRbiMK0W14l71SpDKqKZM
49,Lucky You (feat. Joyner Lucas),Eminem,37325,2018-09-21--2018-09-28,cr,60SdxE8apGAxMiRrpbmLY0
50,So High,Mr. Vegas,37034,2018-09-21--2018-09-28,cr,41Q5dO5UhYF7ufAZ9wbWHa
51,Criminal,Natti Natasha,36402,2018-09-21--2018-09-28,cr,6Za3190Sbw39BBC77WSS1C
52,Me Rehúso,Danny Ocean,34578,2018-09-21--2018-09-28,cr,6De0lHrwBfPfrhorm9q1Xl
53,Solita,Ozuna,33753,2018-09-21--2018-09-28,cr,7rwX0O3RlxqqIjQM8evm5E
54,SAD!,XXXTENTACION,32873,2018-09-21--2018-09-28,cr,3ee8Jmje8o58CHK66QrVC2
55,Promises (with Sam Smith),Calvin Harris,32753,2018-09-21--2018-09-28,cr,5N5k9nd479b1xpDZ4usjrg
56,Believer,Imagine Dragons,32538,2018-09-21--2018-09-28,cr,0pqnGHJpmpxLKifKRmU6WP
57,God is a woman,Ariana Grande,32186,2018-09-21--2018-09-28,cr,5OCJzvD7sykQEKHH7qAC3C
58,Dura - Remix,Daddy Yankee,32058,2018-09-21--2018-09-28,cr,6U2NuJILEOEpW2tVCuqKHb
59,Electricity (with Dua Lipa),Silk City,32014,2018-09-21--2018-09-28,cr,5N4erncE7kuUccm7zEmwzk
60,Taste (feat. Offset),Tyga,31977,2018-09-21--2018-09-28,cr,5IaHrVsrferBYDm0bDyABy
61,Perfect,Ed Sheeran,31944,2018-09-21--2018-09-28,cr,0tgVpDi06FyKpA1z0VMD4v
62,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,31079,2018-09-21--2018-09-28,cr,4QtiVmuA88tPQiCOHZuQ5b
63,New Rules,Dua Lipa,30770,2018-09-21--2018-09-28,cr,2ekn2ttSfGqwhhate0LSR0
64,rockstar (feat. 21 Savage),Post Malone,30209,2018-09-21--2018-09-28,cr,0e7ipj03S05BNilyu5bRzt
65,IDGAF,Dua Lipa,29367,2018-09-21--2018-09-28,cr,76cy1WJvNGJTj78UqeA5zr
66,Dembow,Danny Ocean,29173,2018-09-21--2018-09-28,cr,2EzRdhuoPyNJDlep7lnNf2
67,Calypso,Luis Fonsi,28859,2018-09-21--2018-09-28,cr,4178A5NkEjcsGc64jpBO6d
68,Epa Wei,Danny Ocean,28535,2018-09-21--2018-09-28,cr,2QmsKag0YaqhAbpR9Nwmpn
69,Adiós Amor,Christian Nodal,28533,2018-09-21--2018-09-28,cr,63bmZnBN1CiJ9sA4qTEe8y
70,no tears left to cry,Ariana Grande,28335,2018-09-21--2018-09-28,cr,2qT1uLXPVPzGgFOx4jtEuo
71,Happier,Marshmello,28320,2018-09-21--2018-09-28,cr,2dpaYNEQHiRxtZbfNsse99
72,Esperándote,Manuel Turizo,28100,2018-09-21--2018-09-28,cr,1nfyE13arjOuO54HH0zmqj
73,SICKO MODE,Travis Scott,28007,2018-09-21--2018-09-28,cr,2xLMifQCjDGFmkHkpNLD9h
74,Devuelveme,Ozuna,27495,2018-09-21--2018-09-28,cr,5uvucCRBTkxv7VxIDLOqe7
75,Mi Cama - Remix,KAROL G,27481,2018-09-21--2018-09-28,cr,38QmUDpkoYlNbMKvpvAsrE
76,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,27205,2018-09-21--2018-09-28,cr,5bITfqKGaPakO1l99hOMsI
77,Natural,Imagine Dragons,26751,2018-09-21--2018-09-28,cr,4zIO3ilp5HvTeK3HJHxhMP
78,Bella,Wolfine,26485,2018-09-21--2018-09-28,cr,3xcCix7Jv1Rp90YVmgo35D
79,Besos En Guerra,Morat,26421,2018-09-21--2018-09-28,cr,5KgdtjmglXPjJNKvMvSjgo
80,Escápate Conmigo (feat. Ozuna),Wisin,26290,2018-09-21--2018-09-28,cr,1KSqYYJFyfTecXFk9M0prc
81,Ponle,Rvssian,26050,2018-09-21--2018-09-28,cr,28O1p0bQXH2F6Qn8jBZZR4
82,Eastside (with Halsey & Khalid),benny blanco,25884,2018-09-21--2018-09-28,cr,0d2iYfpKoM0QCKvcLCkBao
83,Sensualidad,Bad Bunny,25623,2018-09-21--2018-09-28,cr,5hcisvFMidkMJlElTO9Qmw
84,Jocelyn Flores,XXXTENTACION,25621,2018-09-21--2018-09-28,cr,7m9OqQk4RVRkw9JJdeAw96
85,Una Lady Como Tú,Manuel Turizo,25588,2018-09-21--2018-09-28,cr,7MHN1aCFtLXjownGhvEQlF
86,Too Good At Goodbyes,Sam Smith,25530,2018-09-21--2018-09-28,cr,1mXVgsBdtIVeCLJnSnmtdV
87,Robarte un Beso,Carlos Vives,25194,2018-09-21--2018-09-28,cr,0JcNysfWVWaMS7R6vzGB2k
88,The Scientist,Coldplay,25129,2018-09-21--2018-09-28,cr,75JFxkI2RXiU7L9VXzMkle
89,Otra vez (feat. J Balvin),Zion & Lennox,24800,2018-09-21--2018-09-28,cr,3QwBODjSEzelZyVjxPOHdq
90,changes,XXXTENTACION,24451,2018-09-21--2018-09-28,cr,7AFASza1mXqntmGtbxXprO
91,Celoso,Lele Pons,24169,2018-09-21--2018-09-28,cr,33zcmmElV1YbRZe57biUjg
92,Bella - Remix,Wolfine,24039,2018-09-21--2018-09-28,cr,0SaYeGhSXN0dDWstyNTQ56
93,El Farsante - Remix,Ozuna,23749,2018-09-21--2018-09-28,cr,7uYgVgRSgqluZclLS7wpp4
94,Thinking out Loud,Ed Sheeran,23678,2018-09-21--2018-09-28,cr,1Slwb6dOYkBlWal1PGtnNg
95,In My Mind,Dynoro,23661,2018-09-21--2018-09-28,cr,0E9ZjEAyAwOXZ7wJC0PD33
96,Thunderclouds,Sia,23566,2018-09-21--2018-09-28,cr,5a8RPWgKSmcGBGcffmIrUi
97,Aura,Ozuna,23258,2018-09-21--2018-09-28,cr,1AVu7Kc2MRrLfOG1RCEf07
98,breathin,Ariana Grande,23104,2018-09-21--2018-09-28,cr,4OafepJy2teCjYJbvFE60J
99,Bipolar,Chris Jeday,23084,2018-09-21--2018-09-28,cr,4WzsycqZkpkS48H9AAAGux
100,Bohemian Rhapsody - Remastered 2011,Queen,22676,2018-09-21--2018-09-28,cr,7tFiyTwD0nx5a1eklYtX2J
101,Triste,Bryant Myers,22603,2018-09-21--2018-09-28,cr,5MNS5FF4LrTX0jIaI0gory
102,Ambiente,J Balvin,22508,2018-09-21--2018-09-28,cr,6VrBWh90BiwWmwKtvwWFcq
103,Solo (feat. Demi Lovato),Clean Bandit,22508,2018-09-21--2018-09-28,cr,6kPJZM97LwdG9QIsT7khp6
104,Moonlight,XXXTENTACION,22434,2018-09-21--2018-09-28,cr,0JP9xo3adEtGSdUEISiszL
105,Lucid Dreams,Juice WRLD,22400,2018-09-21--2018-09-28,cr,0s3nnoMeVWz3989MkNQiRf
106,Dimelo,Paulo Londra,22378,2018-09-21--2018-09-28,cr,3uwehoqKSQLa5lFFvIX6M3
107,Thunder,Imagine Dragons,22119,2018-09-21--2018-09-28,cr,1zB4vmk8tFRmM9UULNzbLB
108,Ahora Dice,Chris Jeday,22051,2018-09-21--2018-09-28,cr,5LVoGJTyG6fLJgoGkY2QAZ
109,Amor de Verdade,MC Kekel,21990,2018-09-21--2018-09-28,cr,76KDy62J99FKu6ZsxMJy3j
110,Killshot,Eminem,21850,2018-09-21--2018-09-28,cr,1jo3TwNGCXfNdB5uba3ZVv
111,La flaca,Jarabe De Palo,21676,2018-09-21--2018-09-28,cr,2LsbizbOeNa4x6qsi2jAMb
112,Havana (feat. Young Thug),Camila Cabello,21640,2018-09-21--2018-09-28,cr,1rfofaqEpACxVEHIZBJe6W
113,Zum Zum,Daddy Yankee,21621,2018-09-21--2018-09-28,cr,7lEhOiFtcLXY4P7cuTKuQ8
114,No Brainer,DJ Khaled,21320,2018-09-21--2018-09-28,cr,5WvAo7DNuPRmk4APhdPzi8
115,Nonstop,Drake,21182,2018-09-21--2018-09-28,cr,0TlLq3lA83rQOYtrqBqSct
116,Who Mad Again,Jahyanai,21181,2018-09-21--2018-09-28,cr,6sZ2zjebkPsXTrxhvaRFJF
117,One Dance,Drake,21052,2018-09-21--2018-09-28,cr,1zi7xx7UVEFkmKfv06H8x0
118,Que Va,Alex Sensation,20997,2018-09-21--2018-09-28,cr,6J1R5wtPXiHiwiPstOSI56
119,Dura,Daddy Yankee,20849,2018-09-21--2018-09-28,cr,6KuqAtoeVzxAYOaMveLNpH
120,Sweet Child O' Mine,Guns N' Roses,20748,2018-09-21--2018-09-28,cr,7o2CTH4ctstm8TNelqjb51
121,A Partir De Hoy,David Bisbal,20529,2018-09-21--2018-09-28,cr,7ojH6H4wE6XJNgzU4uvNc8
122,La Correcta,Nabález,20405,2018-09-21--2018-09-28,cr,1ISamB2lPDAeKb4Js2hLgq
123,Casualidad,Nacho,20400,2018-09-21--2018-09-28,cr,08rwXPBZ2DHOwnL7xaz044
124,Closer,The Chainsmokers,20277,2018-09-21--2018-09-28,cr,7BKLCZ1jbUBVqRi2FVlTVw
125,Coméntale,Ozuna,20271,2018-09-21--2018-09-28,cr,7oCGD6Ccuw8JmYWw6IrI8z
126,Me Dediqué a Perderte,Alejandro Fernandez,20059,2018-09-21--2018-09-28,cr,4NUt1fcnO9aQAELBgXq3Kr
127,Photograph,Ed Sheeran,20048,2018-09-21--2018-09-28,cr,6fxVffaTuwjgEk5h9QyRjy
128,Coolant,Farruko,20037,2018-09-21--2018-09-28,cr,2fHOqQ9K6eY0wsbVZiYZPw
129,La Incondicional,Luis Miguel,19990,2018-09-21--2018-09-28,cr,6F9yAYUaNbUhdlQyt5uZ3b
